abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
historical,adj. 历史的；史学的；基于史实的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
humanity,n. 人类；人道；仁慈；人文学科
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
imaginary,adj. 虚构的，假想的；想像的；虚数的
imagination,n.  想象力；空想；幻想物
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
imply,vt. 意味；暗示；隐含
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
inadequate,adj. 不充分的，不适当的
incidence,n. 发生率；影响； 入射；影响范围
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
induce,vt. 诱导；引起；引诱；感应
inevitable,adj. 必然的，不可避免的
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inner,"n. 内部
adj. 内部的；内心的；精神的"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
inquiry,n. 探究；调查；质询
insane,adj. 疯狂的；精神病的；极愚蠢的
insight,n. 洞察力；洞悉
inspiration,n. 灵感；鼓舞；吸气；妙计
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
instinct,"n. 本能，直觉；天性
adj. 充满着的"
instruct,vt. 指导；通知；命令；教授
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intensity,n. 强度；强烈； 亮度；紧张
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
interpret,"vi. 解释；翻译
vt. 说明；口译"
interpretation,n. 解释；翻译；演出
intimidate,vt. 恐吓，威胁；胁迫
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
justification,n. 理由；辩护；认为有理，认为正当；释罪
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
legislation,n. 立法；法律
lengthy,adj. 漫长的，冗长的；啰唆的
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
literary,adj. 文学的；书面的；精通文学的
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
location,n. 位置（形容词locational）；地点；外景拍摄场地
loyalty,n. 忠诚；忠心；忠实；忠于…感情
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
mainstream,n. 主流
maintain,vt. 维持；继续；维修；主张；供养
manipulate,vt. 操纵；操作；巧妙地处理；篡改
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
massive,adj. 大量的；巨大的，厚重的；魁伟的
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
mislead,vt. 误导；带错
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
modesty,n. 谦逊；质朴；稳重
modify,"vt. 修改，修饰；更改
vi. 修改"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
morality,n. 道德；品行，美德
motivate,vt. 刺激；使有动机；激发…的积极性
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
negotiation,n. 谈判；转让；顺利的通过
notify,vt. 通告，通知；公布
notion,n. 概念；见解；打算
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
obligation,n. 义务；职责；债务
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
observation,n. 观察；监视；观察报告
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
obvious,adj. 明显的；显著的；平淡无奇的
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
omit,vt. 省略；遗漏；删除；疏忽
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
opportunity,n. 时机，机会
opposition,n. 反对；反对派；在野党；敌对
optimistic,adj. 乐观的；乐观主义的
option,n.  选项；选择权；买卖的特权
optional,"adj. 可选择的，随意的
n. 选修科目"
originality,n. 创意；独创性，创造力；原始；新奇
overcome,"vt. 克服；胜过
vi. 克服；得胜"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
penalty,n. 罚款，罚金；处罚
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
performance,n. 性能；绩效；表演；执行；表现
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
personality,n. 个性；品格；名人
perspective,"n. 观点；远景；透视图
adj. 透视的"
pessimistic,adj. 悲观的，厌世的；悲观主义的
phenomenon,n. 现象；奇迹；杰出的人才
piracy,n. 海盗行为；剽窃；著作权侵害；非法翻印
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
popularity,n. 普及，流行；名气；受大众欢迎
powerful,"adj. 强大的；强有力的
adv. 很；非常"
precise,adj. 精确的；明确的；严格的
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
presumably,adv. 大概；推测起来；可假定
prevail,vi. 盛行，流行；战胜，获胜
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
priority,n. 优先；优先权； 优先次序；优先考虑的事
privilege,"n. 特权；优待
vt. 给与…特权；特免"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
profession,n. 职业，专业；声明，宣布，表白
prominent,adj. 突出的，显著的；杰出的；卓越的
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
property,n. 性质，性能；财产；所有权
proposal,n. 提议，建议；求婚
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prosperous,adj. 繁荣的；兴旺的
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
provoke,vt. 驱使；激怒；煽动；惹起
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
quake,"vi. 震动；颤抖
n. 地震；颤抖"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
reaction,n. 反应，感应；反动，复古；反作用
readily,adv. 容易地；乐意地；无困难地
realization,n. 实现；领悟
receipt,"n. 收到；收据；收入
vt. 收到"
reception,n. 接待；接收；招待会；感受；反应
recession,n. 衰退；不景气；后退；凹处
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
recognition,n. 识别；承认，认出；重视；赞誉；公认
reconcile,vt. 使一致；使和解；调停，调解；使顺从
recreation,n. 娱乐；消遣；休养
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reflection,n. 反射；沉思；映象
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
registration,n. 登记；注册；挂号
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
reluctance,n.  磁阻；勉强；不情愿
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
reputation,n. 名声，名誉；声望
rescue,"n. 营救；援救；解救
vt. 营救；援救"
reservation,n. 预约，预订；保留
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
resource,n. 资源，财力；办法；智谋
respective,adj. 分别的，各自的
respectively,adv. 分别地；各自地，独自地
response,n. 响应；反应；回答
