highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
oily,adj. 油的；油质的；油滑的；油腔滑调的
legislation,n. 立法；法律
immense,adj. 巨大的，广大的；无边无际的；非常好的
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
restraint,n. 抑制，克制；约束
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
complementary,adj. 补足的，补充的
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
fraud,n. 欺骗；骗子；诡计
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
hospitable,adj. 热情友好的；（环境）舒适的
turkey,n. 土耳其（横跨欧亚两洲的国家）
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
unemployed,adj. 失业的；未被利用的
monotony,n. 单调；千篇一律
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
gaol,"n. 监狱
vt. 监禁"
cracker,n. 爆竹；饼干；胡桃钳；解密高手
commune,"n. 公社
vi. 谈心，亲密交谈；密切联系"
mule,n. 骡；倔强之人，顽固的人；杂交种动物
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
contempt,n. 轻视，蔑视；耻辱
makeup,n. 化妆品；组成；补充；补考
deprive,vt. 使丧失，剥夺
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
refreshment,n. 点心；起提神作用的东西；精力恢复
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
astronomy,n. 天文学
confuse,vt. 使混乱；使困惑
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
emigrate,"vi. 移居；移居外国
vt. 移民"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
diverse,adj. 不同的；多种多样的；变化多的
application,n. 应用；申请；应用程序；敷用
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
violate,vt. 违反；侵犯，妨碍；亵渎
slogan,n. 标语；呐喊声
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
urgent,adj. 紧急的；急迫的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
navy,"n. 海军
深蓝色的"
foresee,vt. 预见；预知
distinctive,adj. 有特色的，与众不同的
relief,n. 救济；减轻，解除；安慰；浮雕
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
glorious,adj. 光荣的；辉煌的；极好的
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
survival,n. 幸存，残存；幸存者，残存物
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
attribute,"n. 属性；特质
vt. 归属；把…归于"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
immediate,adj. 立即的；直接的；最接近的
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
avoid,vt. 避免；避开，躲避；消除
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
fund,"n. 基金；资金；存款
vt. 投资；资助"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
anniversary,n. 周年纪念日
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
award,"n. 奖品；判决
vt. 授予；判定"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
urban,adj. 城市的；住在都市的
discover,"vi. 发现
vt. 发现；发觉"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
extent,n. 程度；范围；长度
accuracy,n.  精确度，准确性
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
notion,n. 概念；见解；打算
democracy,n. 民主，民主主义；民主政治
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
successive,adj. 连续的；继承的；依次的；接替的
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
remarkable,adj. 卓越的；非凡的；值得注意的
available,adj. 可获得的；可购得的；可找到的；有空的
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
readily,adv. 容易地；乐意地；无困难地
calculator,n. 计算器；计算者
reservoir,n. 水库；蓄水池
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
delegation,n. 代表团；授权；委托
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
gardener,n. 园丁；花匠；园艺家
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
coastal,adj. 沿海的；海岸的
concession,n. 让步；特许（权）；承认；退位
valid,adj. 有效的；有根据的；合法的；正当的
attendance,n. 出席；到场；出席人数；考勤
slippery,adj. 滑的；狡猾的；不稳定的
appetite,n. 食欲；嗜好
maintenance,n. 维护，维修；保持；生活费用
therapy,n. 治疗，疗法
proficiency,n. 精通，熟练
dime,n. 一角硬币
vocation,n. 职业；天职；天命；神召
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
smartphone,n. 智能手机
comprehend,vt. 理解；包含；由…组成
cookie,n. 饼干；小甜点
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
ware,"n. 陶器，器皿；制品；器具；货物
vt. 留心；小心"
willpower,n. 意志力；毅力
chef,n. 厨师，大师傅
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
formulate,vt. 规划；用公式表示；明确地表达
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
drought,n. 干旱；缺乏
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
ozone,n.  臭氧；新鲜的空气
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
absence,n. 没有；缺乏；缺席；不注意
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
liberate,vt. 解放；放出；释放
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
literacy,n. 读写能力；精通文学
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
signature,n. 署名；签名；信号
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
inquiry,n. 探究；调查；质询
respective,adj. 分别的，各自的
conceal,vt. 隐藏；隐瞒
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
delegate,"n. 代表
vt. 委派…为代表"
injection,n. 注射；注射剂；充血；射入轨道
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
gloomy,adj. 黑暗的；沮丧的；阴郁的
efficient,adj. 有效率的；有能力的；生效的
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
partial,adj. 局部的；偏爱的；不公平的
disposal,n. 处理；支配；清理；安排
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
proposal,n. 提议，建议；求婚
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
speculate,"vi. 推测；投机；思索
vt. 推断"
surgery,n. 外科；外科手术；手术室；诊疗室
concept,n. 观念，概念
loosen,"vt. 放松；松开
vi. 放松；松开"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
electronic,"adj. 电子的
n. 电子电路；电子器件"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
management,n. 管理；管理人员；管理部门；操纵；经营手段
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
punctual,adj. 准时的，守时的；精确的
necessity,n. 需要；必然性；必需品
precise,adj. 精确的；明确的；严格的
assert,vt. 维护，坚持；断言；主张；声称
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
flexible,adj. 灵活的；柔韧的；易弯曲的
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
wireless,"n. 无线电
adj. 无线的；无线电的
vt. 用无线电报与…联系；用无线电报发送
vi. 打无线电报；打无线电话"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
complaint,n. 抱怨；诉苦；疾病；委屈
specimen,n. 样品，样本；标本
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
region,n. 地区；范围；部位
empire,n. 帝国；帝王统治，君权
textile,"n. 纺织品，织物
adj. 纺织的"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
fertile,adj. 富饶的，肥沃的；能生育的
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
motivate,vt. 刺激；使有动机；激发…的积极性
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
mislead,vt. 误导；带错
prevail,vi. 盛行，流行；战胜，获胜
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
residence,n. 住宅，住处；居住
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
output,"n. 输出，输出量；产量；出产
vt. 输出"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
faculty,n. 科，系；能力；全体教员
formula,n.  公式，准则；配方；婴儿食品
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
execution,n. 执行，实行；完成；死刑
