agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
deflationary,adj. 通货紧缩的
deflatable,"a. 可放气的, 可紧缩的"
conflation,n. 合并；异文合成本
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reflection,n. 反射；沉思；映象
reflector,n.  反射物， 反射镜
reflex,"n. 反射；反映；映像；回复；习惯性思维
adj. 反射的；反省的；反作用的；优角的"
reflexible,"a. 可反射的, 反射性的"
flection,n. 弯曲; 屈曲; 弯曲的部分; 曲折
flectional,"a. 弯曲的, 词尾(可)变化的, 屈折的"
inflection,n. 弯曲，变形；音调变化
flex,"n. 屈曲；电线；松紧带
vt. 折曲；使收缩
adj. 弹性工作制的
vi. 弯曲；收缩"
flexible,adj. 灵活的；柔韧的；易弯曲的
flexure,n. 屈曲；折褶；弯曲部分
flexuous,adj. 弯曲的; 动摇不定的; 波状的; （多）曲折的
afflict,vt. 折磨；使痛苦；使苦恼
affliction,n. 苦难；苦恼；折磨
afflictive,adj. 带给人痛苦的，苦恼的，难受的
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
infliction,n. 施加；处罚，刑罚
inflicter,n. 加害者，惩罚者
inflictive,"a. 加以打击的, 使人难过的"
fragile,adj. 脆的；易碎的
fragility,n. 脆弱； 易碎性；虚弱
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
fragmentary,adj. 碎片的；不完全的；断断续续的
fragmentate,v. （使）成碎片（尤指爆炸），（使）碎裂
fragmentation,n. 破碎；分裂； 存储残片
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
fraction,n. 分数；部分；小部分；稍微
fractional,adj. 部分的； 分数的，小数的
anfractuous,adj. 错综复杂，曲折的，弯曲的
refract,vt. 使折射
refraction,n. 折射；折光
refractor,n. 折射透镜；折射媒体； 折射望远镜
refractable,a. 可折射的
refractive,adj. 折射的
frigid,adj. 寒冷的，严寒的；冷淡的
frigidity,n. 性冷淡；冷淡；寒冷
frigidarium,n. 冷水浴室，保持低温的房间
refrigerate,vt. 冷藏，冷冻；使冷却；使清凉
refrigeration,n. 制冷；冷藏； 冷却
refrigerative,a. 致冷的
refrigerator,n. 冰箱，冷藏库
refrigeratory,"n. 制冰室, 冷凝装置
a. 致冷的, 消热的"
refrigerant,"n. 制冷剂
adj. 制冷的；冷却的"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
refugee,n. 难民，避难者；流亡者，逃亡者
fugacious,adj. 无常的；短暂的；易逃逸的
fugacity,n. 无常；易逃逸；不安定
febrifuge,"n. 解热药，退热药
adj. 退热的，解热的"
febrifugal,"a. 退热的, 解热的
 退热的, 解热的"
insectifuge,n. 驱虫剂
lucifugous,adj. 畏光的；怕光的
lactifuge,"a. 回乳的, 止乳的
n. 回乳剂, 止乳剂"
vermifuge,"n. 杀虫药
adj. 驱虫的"
vermifugal, 驱(蠕)虫的
profound,adj. 深厚的；意义深远的；渊博的
profundity,n. 深刻；深度；深奥
fund,"n. 基金；资金；存款
vt. 投资；资助"
fundament,n. 基础；臀部；肛门
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
foundation,n. 基础；地基；基金会；根据；创立
foundational,adj. 基础的；基本的
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
foundress,n. 女创立者；女奠基者
monogamy,n. 一夫一妻制； 单配偶， 单配性
monogamous,adj. 一夫一妻的； 单配的
bigamy,n. 重婚罪，重婚
bigamous,adj. 重婚的；犯重婚罪的
bigamist,n. 重婚者
polygamy,n. 一夫多妻，一妻多夫，多配偶
misogamy,n. 厌恶结婚
misogamist,n. 厌恶结婚的人
neogamist, 新婚者
exogamy,n. 异族结婚； 异系交配
granary,n. 谷仓，粮仓；盛产粮食的地区
grange,n. 田庄；农场
granger,n. 农夫，农民，农民协进会会员
granule,n. 颗粒
granulate,"vt. 使成粒状；使表面变粗糙
vi. 成为粒状；表面变粗糙"
granular,adj. 颗粒的；粒状的
granularity,n. 间隔尺寸， 粒度
gravid,adj. 妊娠的；怀孕的
gravidity,n. 妊娠，怀孕
gravida,n. 孕妇
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
gravity,n. 重力，地心引力；严重性；庄严
gravimeter,n. 比重计，重力计
gravitate,vi. 受引力作用；被吸引
gravitation,n. 重力；万有引力；地心吸力
gravitative,adj. 重力的，受重力作用的
aggravate,vt. 加重；使恶化；激怒
aggravation,n. 加剧；激怒；更恶化
agravic,adj. 失重的，无重力区的
ingravescent,adj. 病越来越重的
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
grief,n. 悲痛；忧伤；不幸
gregarious,adj. 社交的；群居的
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
aggregation,n.  聚合，聚集；聚集体，集合体
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
congregation,n. 集会；集合；圣会
egregious,adj. 惊人的；过分的；恶名昭彰的
segregate,vt. 使隔离；使分离；在…实行种族隔离
segregation,n. 隔离，分离；种族隔离
segregationist,"n. 种族隔离主义者
adj. 种族隔离主义的；种族隔离主义者的"
gynecology,n. 妇科学，妇科医学
gynecologist,n. 妇科医生
gynecoid,adj. 有女性特征的；妇女的
gynecian, 妇女的
androgyny,n. 雌雄同体；双性性格
philogyny,n. 对女人喜欢，对女子的爱慕
philogynist,n. 爱慕女子的人；喜欢女子的人
misogyny,n. 厌恶女人； 厌女症
misogynic,adj. 厌女的，嫌忌女人的
misogynist,n. 厌恶女人的人
monogyny,n. 一妻制
monogynous,a. 一妻制的
polygyny,n. 一夫多妻
polygynous,adj. 一夫多妻的； 多花柱的；多雌蕊的
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
inhaler,n.  吸入器；空气过滤器；吸入者
inhalant,"n. 吸入剂；吸入器
adj. 供吸入的"
inhalation,n. 吸入；吸入药剂
inhalator,n. 气雾，吸入器，人工呼吸补助器
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
exhalation,n. 蒸发，呼气；散发物
exhalent,"a. 呼出的, 发散(性)的, 蒸发(性)的
n. 发散管, 蒸发管"
halitosis,n.  口臭
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
heliport,n.  直升飞机场，直升机停机坪
helilift,v. 用直升机运送
helical,adj. 螺旋形的
helicity,n. 螺旋性
helicoid,n. 螺旋面; 蜗牛式旋壳
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
hesitation,n. 犹豫
hesitant,adj. 迟疑的；踌躇的；犹豫不定的
hesitancy,n. 踌躇，犹豫
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adherent,"n. 信徒；追随者
adj. 附着的；粘着的"
adhesion,n. 粘附；支持；固定
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
cohere,vi. 凝聚；连贯；粘着；一致
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
coherence,n. 一致；连贯性；凝聚
cohesible, 可粘合的
cohesion,n. 凝聚；结合； 内聚力
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
incoherent,adj. 语无伦次的；不连贯的；不合逻辑的
inhere,vi. 固有；生来即存在；本质上即属
inherent,adj. 固有的；内在的；与生俱来的，遗传的
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
ignition,n. 点火，点燃；着火，燃烧；点火开关，点火装置
preignition,"n. 早点火
 早点火, 早火"
ignitable,adj. 易起火的，可燃性的
ignitron,n. 引燃管，放电管
igneous,adj. 火的； 火成的；似火的
ignescent,"n. 发火物，引火物
adj. 敲击而冒火的"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
integrality,n. 完整性；不可欠缺
integrity,n. 完整；正直；诚实；廉正
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
integration,n. 集成；综合
integrative,adj. 综合的
integrant,"adj. 部分的，必须的，构成整体的
n. 要素"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
disintegrator,n. 分解者，粉碎机
redintegrate,vt. 使恢复完整，使更新，重建
integer,n.  整数；整体；完整的事物
junction,n. 连接，接合；交叉点；接合点
juncture,n. 接缝；连接；接合
conjunct,adj. 结合的；共同的；连接的
conjunction,n. 结合； 连接词；同时发生
conjunctive,"n. 连接词
adj. 连接的；结合的"
disjunct,adj. 分离的；头、胸和腹部由缢缩分开的
disjunction,n. 分离；析取；分裂；折断
disjunctive,"n. 反意连接词
adj. 分隔的；分离的"
adjunct,"n. 附属物；助手；修饰语
adj. 附属的"
adjunctive,adj. 附属的；附加的
adjunction,n. 添加，附加，附加物; 附益
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
bilateral,adj. 双边的；有两边的
trilateral,"n. 三角形
adj. 有三边的"
quadrilateral,"n. 四边形
adj. 四边形的"
multilateral,adj.  多边的；多国的，多国参加的
equilateral,"n. 等边形
adj. 等边的；等面的"
laterad,adv. 向侧面地
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
laterality,n. 对一侧面的偏重
legible,adj. 清晰的；易读的；易辨认的
legibility,n. 易读性；易辨认
illegible,adj. 难辨认的；字迹模糊的
illegibility,n. 模糊；不清不楚
legend,n. 传奇；说明；图例；刻印文字
legendary,"adj. 传说的，传奇的
n. 传说集；圣徒传"
legendry,n. 传说集，轶话集，传奇文学
legal,adj. 法律的；合法的；法定的；依照法律的
legality,n. 合法；合法性；墨守法规
legalize,vt. 使合法化；公认；法律上认为…正当
legalization,n.  合法化；法律认可
legalist,n. 守法主义者，形式主义者，法律学家
legalese,n. 法律术语，法律措辞
legalism,n. 拘泥于法律或规定的人；律法尊重主义者；守法主义；法律术语
extralegal,adj. 不受法律支配的，未经法律制定的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
illegalize,v. 使成为非法，使违规
privilege,"n. 特权；优待
vt. 给与…特权；特免"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
legislator,n. 立法者
legislature,n. 立法机关；立法机构
lucent,adj. 透明的，光亮的；美国朗讯科技公司（原AT&T实验室）
lucency,n. 透明；光亮
lucid,adj. 明晰的；透明的；易懂的；头脑清楚的
lucidity,n. 明朗；清澈；清醒度
elucidate,vt. 阐明；说明
elucidation,n. 说明；阐明
elucidative,"a. 解释的, 说明的"
noctiluca,n. 夜光虫（一种原生动物）
noctilucent,adj. 夜光的；生物发光的；夜间可见的
translucent,adj. 透明的；半透明的
translucence,n. 半透明
lucifugous,adj. 畏光的；怕光的
luminary,n. 发光体；杰出人物；知识渊博的人
luminesce,v. 发冷光，变明亮
luminescent,adj. 发冷光的，冷光的
luminiferous,adj. 发光的，传光的
luminous,adj. 发光的；明亮的；清楚的
luminosity,n.  光度；光明；光辉
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illumination,n. 照明； 照度；启发；灯饰（需用复数）；阐明
illuminator,n. 照明器；照明者；彩饰书稿的人；反射镜
illuminant,"n. 发光体，光源
adj. 发光的"
illuminable,a. 可被照明的
relumine,vt. 重新点燃起，重新照亮
magnanimous,adj. 宽宏大量的；有雅量的；宽大的
magnanimity,n. 宽宏大量；慷慨
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
magnifiable,a. 放大的；扩大的
magnification,n. 放大；放大率；放大的复制品
magnifier,n.  放大镜； 放大器
magniloquent,adj. 夸张的；说大话的
magnitude,n. 大小；量级； 震级；重要；光度
magnific,adj. 庄严的，崇高的
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
magnifico,n. 显要人物；权贵；贵族
matriarch,n. 女家长；女统治者；女负责人；受人尊敬的妇女
matriarchy,n. 母权制；女家长制；女族长制；母系氏族
matrimony,n. 结婚，婚礼；婚姻生活
matrimonial,adj. 婚姻的；与婚姻有关的；根据结婚的惯例的
matron,n. 主妇；保姆；妇女；女舍监
matronage,n. 主妇们；主妇的身份
metropolis,n. 大都市；首府；重要中心
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
metropolitanize,"v. 使大都会化；使具有大都会特点
 使大都市化；化使大都会化"
maternal,adj. 母亲的；母性的；母系的；母体遗传的
maternity,"n. 母性，母道； 妇产科医院
adj. 产科的；产妇的，孕妇的"
megaphone,"n. 扩音器，喇叭筒
vt. 用扩音器对…讲话
vi. 用扩音器传达"
megalith,n. 巨石
megalithic,adj. 使用巨石的，巨石造成的
megacephalous,"a. 巨头的, 巨额的"
megapod,"a. 大脚的 
n. =megapode"
megascope,n. 显微镜幻灯（装置）
megascopic,adj. 放大的，肉眼可见的，依照肉眼观察的
immense,adj. 巨大的，广大的；无边无际的；非常好的
immensity,n. 巨大；无限；广大
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
dimensional,adj. 空间的；尺寸的
mensurable,adj. 可测量的
mensuration,n. 测量；测定法；求积法
mensural,adj. 关于度量的，定律的
commensurate,adj. 相称的；同量的；同样大小的
commensuration,"n. 同量, 相当的, 通约"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
mentality,n. 心态； 智力；精神力；头脑作用
mentalism,n. 心灵主义
mentalist,n. 算命者；精神第一性论者
mentation,n. 心理状态；精神作用；精神活动
dement,"n. 痴呆症
adj. 疯狂的
vt. 使发狂"
dementation,n. 发狂
demented,"adj. 发狂的，疯狂的；精神错乱的
v. 精神错乱；变得痴呆（dement的过去分词）"
dementia,n.  痴呆
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
mentionable," 可以提起的, 值得一提的"
mentioner,n. mention的变形
mentor,"n. 指导者，良师益友
vt. 指导"
amentia,n.  智力缺陷；白痴
ament,n. 智力缺陷者；柔夷花序
prominent,adj. 突出的，显著的；杰出的；卓越的
prominence,n. 突出；显著；突出物；卓越
eminent,adj. 杰出的；有名的；明显的
eminence,n. 显赫；卓越；高处
supereminent,adj. 卓越的；极为出色的；出类拔萃的
preeminent,adj. 卓越的；超群的
preeminence,n. 卓越；杰出
