accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
envision,vt. 想象；预想
envisage,vt. 正视，面对；想像
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
device,n. 装置；策略；图案
competition,n. 竞争；比赛，竞赛
competitive,adj. 竞争的；比赛的；求胜心切的
competitor,n. 竞争者，对手
scholar,n. 学者；奖学金获得者
scholarly,adj. 博学的；学者风度的；学者派头的
scholarship,n. 奖学金；学识，学问
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
integrity,n. 完整；正直；诚实；廉正
intangible,adj. 无形的，触摸不到的；难以理解的
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
norm,n. 标准，规范
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
commerce,n. 贸易；商业；商务
circulation,n. 流通，传播；循环；发行量
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
circumstance,n. 环境，情况；事件；境遇
alter,"vt. 改变，更改
vi. 改变；修改"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
connection,n. 连接；关系；人脉；连接件
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
ancestor,n. 始祖，祖先；被继承人
ancestry,n. 祖先；血统
anticipate,vt. 预期，期望；占先，抢先；提前使用
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
convincing,"v. 使相信；使明白（convince的现在分词）
adj. 令人信服的；有说服力的"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
confuse,vt. 使混乱；使困惑
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
diffusionist,n. 传流论者，（文化）传播论者
diffusionism, 弥漫说
refusal,n. 拒绝；优先取舍权；推却；取舍权
confusion,n. 混淆，混乱；困惑
tendency,n. 倾向，趋势；癖好
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
routinely,adv. 例行公事地；老一套地
route,"n. 路线；航线；通道
vt. 按某路线发送"
crucial,adj. 重要的；决定性的；定局的；决断的
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
inner,"n. 内部
adj. 内部的；内心的；精神的"
intrinsic,adj. 本质的，固有的
intimately,adv. 熟悉地；亲切地；私下地
extremely,adv. 非常，极其；极端地
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
context,n. 环境；上下文；来龙去脉
philosopher,n. 哲学家；哲人
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
engine,n. 引擎，发动机；机车，火车头；工具
capable,adj. 能干的，能胜任的；有才华的
unfortunately,adv. 不幸地
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
literacy,n. 读写能力；精通文学
literate,"adj. 受过教育的；精通文学的
n. 学者"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
literary,adj. 文学的；书面的；精通文学的
literature,n. 文学；文献；文艺；著作
primarily,adv. 首先；主要地，根本上
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
hostility,n. 敌意；战争行动
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
hospital,n. 医院
hostage,n. 人质；抵押品
improvement,n. 改进，改善；提高
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
enterprise,n. 企业；事业；进取心；事业心
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
richly,adv. 丰富地；富裕地；完全地
enrich,vt. 使充实；使肥沃；使富足
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
reasonable,adj. 合理的，公道的；通情达理的
citizen,n. 公民；市民；老百姓
citizenship,n.  公民身份，公民资格；国籍；公民权
journal,n. 日报，杂志；日记；分类账
journalist,n. 新闻工作者；报人；记日志者
journalism,n. 新闻业，新闻工作；报章杂志
journalistic,adj. 新闻业的，新闻工作者的
discovery,n. 发现，发觉；被发现的事物
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
discover,"vi. 发现
vt. 发现；发觉"
recovery,n. 恢复，复原；痊愈；重获
coverage,n. 覆盖，覆盖范围；新闻报道
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
segment,"n. 段；部分
vt. 分割
vi. 分割"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
sexual,adj. 性的；性别的；有性的
insect,n. 昆虫；卑鄙的人
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
celebrity,n. 名人；名声
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
reviewer,n. 评论者，评论家
republican,"n. 共和党人
adj. 共和党的
共和的"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
headhunter,n. 猎头者；物色人才的人；猎取人头的蛮人
headlong,"adj. 轻率的；头向前的；匆促而用力的
adv. 头向前地；猛然用力地"
headshot,n. 爆头；头部特写
headway,n. 前进；进步；航行速度；间隔时间
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
acceptance,n. 接纳；赞同；容忍
biological,adj. 生物的；生物学的
biology,n. （一个地区全部的）生物；生物学
unemployment,n. 失业；失业率；失业人数
conservation,n. 保存，保持；保护
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
majority,n. 多数；成年
exploration,n. 探测；探究；踏勘
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
foresight,n. 先见，远见；预见；深谋远虑
foresee,vt. 预见；预知
foreseeable,adj. 可预知的；能预测的
insightful,adj. 有深刻见解的，富有洞察力的
colony,n. 殖民地；移民队；种群；动物栖息地
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
colonist,"n. 殖民者；殖民地居民；移民
adj. 殖民主义者的；奉行殖民主义的"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
candidate,n. 候选人，候补者；应试者
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
coherence,n. 一致；连贯性；凝聚
adherence,n. 坚持；依附；忠诚
inherently,adv. 内在地；固有地；天性地
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distinction,n. 区别；差别；特性；荣誉、勋章
distinctive,adj. 有特色的，与众不同的
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
abundant,adj. 丰富的；充裕的；盛产
abound,vi. 富于；充满
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
careful,adj. 仔细的，小心的
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
properly,adv. 适当地；正确地；恰当地
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
symphony,n. 交响乐；谐声，和声
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
wisdom,n. 智慧，才智；明智；学识；至理名言
wit,"n. 智慧；才智；智力
v. <古>知道；即"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
radar,n.  雷达，无线电探测器
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
eradicate,vt. 根除，根绝；消灭
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
psychological,adj. 心理的；心理学的；精神上的
analogy,n. 类比；类推；类似
methodology,n. 方法学，方法论
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
psychology,n. 心理学；心理状态
