ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
crazy,adj. 疯狂的；狂热的，着迷的
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
sea,n. 海；海洋；许多；大量
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
momentum,n. 势头； 动量；动力；冲力
chemistry,n. 化学；化学过程
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
mutual,adj. 共同的；相互的，彼此的
mutual,adj. 共同的；相互的，彼此的
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
commuter,n. 通勤者，经常乘公共车辆往返者； 月季票乘客
old,"adj. 陈旧的，古老的；年老的
n. 古时"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
abolish,vt. 废除，废止；取消，革除
adolescence,n. 青春期
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
adult,"n. 成年人
adj. 成年的；成熟的"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
strict,adj. 严格的；绝对的；精确的；详细的
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
constrain,vt. 驱使；强迫；束缚
restrain,vt. 抑制，控制；约束；制止
restraint,n. 抑制，克制；约束
strict,adj. 严格的；绝对的；精确的；详细的
constrict,vt. 压缩；束紧
restrict,vt. 限制；约束；限定
restriction,n. 限制；约束；束缚
restrictive,"n. 限制词
adj. 限制的；限制性的；约束的"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
straighten,"vt. 整顿；使…改正；使…挺直；使…好转
vi. 变直；好转"
straightway,"adj. 直通的
adv. 立刻，马上；直接地"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
passion,n. 激情；热情；酷爱；盛怒
zeal,n. 热情；热心；热诚
passion,n. 激情；热情；酷爱；盛怒
passionate,adj. 热情的；热烈的，激昂的；易怒的
compassion,n. 同情；怜悯
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
zeal,n. 热情；热心；热诚
zealous,adj. 热心的，热情的，积极的
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
aggress,"vt. 侵犯；挑衅
vi. 攻击；侵略"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
congress,n. 国会；代表大会；会议；社交
prove,"vi. 证明是
vt. 证明；检验；显示"
prove,"vi. 证明是
vt. 证明；检验；显示"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approval,n. 批准；认可；赞成
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
provident,adj. 节俭的；有先见之明的；顾及未来的
prudent,adj. 谨慎的；精明的；节俭的
imprudent,adj. 轻率的，鲁莽的；不小心的
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
product,n. 产品；结果； 乘积；作品
production,n. 成果；产品；生产；作品
by-product,n. 副产品；附带产生的结果；意外收获
producer,n. 制作人，制片人；生产者；发生器
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
productivity,n. 生产力；生产率；生产能力
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reproduction,n. 繁殖，生殖；复制；复制品
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
onset,n. 开始，着手；发作；攻击，进攻
outset,n. 开始；开端
setback,n. 挫折；退步；逆流
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
unsettle,"vt. 使动摇；使不安定；使心神不宁
vi. 不安；动荡不定"
settled,"v. 解决；定居（settle的过去分词）
adj. 稳定的；固定的"
settlement,n. 解决，处理； 结算；沉降；殖民
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
sacred,adj. 神的；神圣的；宗教的；庄严的
sacred,adj. 神的；神圣的；宗教的；庄严的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
saint,找不到解释
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
correspond,vi. 符合，一致；相应；通信
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
correspondence,n. 通信；一致；相当
correspondent,n. 通讯记者；客户；通信者；代理商行
response,n. 响应；反应；回答
responsive,adj. 响应的；应答的；回答的
responsible,adj. 负责的，可靠的；有责任的
responsibility,n. 责任，职责；义务
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
spontaneous,adj. 自发的；自然的；无意识的
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
despise,vt. 轻视，鄙视
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
stability,n. 稳定性；坚定，恒心
instability,n. 不稳定（性）；基础薄弱；不安定
unstable,adj. 不稳定的；动荡的；易变的
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
stabilise,"vt. 使…坚固；使…安定；装稳定器（等于stablize）
vi. 稳定；安定"
establish,"vi. 植物定植
vt. 建立；创办；安置"
establishment,n. 确立，制定；公司；设施
introduce,vt. 介绍；引进；提出；采用
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conductor,n. 导体；售票员；领导者；管理人
deduce,vt. 推论，推断；演绎出
deduct,vt. 扣除，减去；演绎
deduction,n. 扣除，减除；推论；减除额
deductive,adj. 演绎的；推论的；推断的
educate,"vt. 教育；培养；训练
vi. 教育；训练"
educational,adj. 教育的；有教育意义的
induce,vt. 诱导；引起；引诱；感应
induct,vt. 引导；感应；使…就职；征召入伍
induction,n.  感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
inductive,adj.  归纳的； 感应的；诱导的
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
reduction,n. 减少；下降；缩小；还原反应
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conductor,n. 导体；售票员；领导者；管理人
semiconductor,n.  半导体
induce,vt. 诱导；引起；引诱；感应
induction,n.  感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
inductive,adj.  归纳的； 感应的；诱导的
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
reduction,n. 减少；下降；缩小；还原反应
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
trifling,"adj. 微不足道的；轻浮的
v. 浪费，闲聊（trifle的现在分词）"
trivial,adj. 不重要的，琐碎的；琐细的
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
cape,n.  海角，岬；披肩
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
capacity,n. 能力；容量；资格，地位；生产力
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
significantly,adv. 显著地；相当数量地
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assignment,n. 分配；任务；作业；功课
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
resignation,n. 辞职；放弃；辞职书；顺从
signature,n. 署名；签名；信号
signatory,"n. 签约国；签名人
adj. 签署的；签约的"
defend,"vi. 保卫；防守
vt. 辩护；防护"
defend,"vi. 保卫；防守
vt. 辩护；防护"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
defender,n. 防卫者，守卫者；辩护者；拥护者；卫冕者
defence,n. 防御；防卫；答辩；防卫设备
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offence,n. 犯罪；违反；过错；攻击
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
longing,"n. 渴望，热望；憧憬
adj. 渴望的，极想得到的
v. 渴望（long的ing形式）"
length,n. 长度，长；时间的长短；（语）音长
lengthen,"vt. 使延长；加长
vi. 延长；变长"
lengthy,adj. 漫长的，冗长的；啰唆的
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
longitude,n.  经度；经线
prolong,vt. 延长；拖延
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
assure,vt. 保证；担保；使确信；弄清楚
ensure,vt. 保证，确保；使安全
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
