apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
wretch,n. 可怜的人，不幸的人；卑鄙的人
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
fiery,adj. 热烈的，炽烈的；暴躁的；燃烧般的
flatter,vt. 奉承；谄媚；使高兴
fussy,adj. 爱挑剔的，难取悦的；易烦恼的
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
hypocrisy,n. 虚伪；伪善
idiot,n. 笨蛋，傻瓜；白痴
insane,adj. 疯狂的；精神病的；极愚蠢的
incompetence,n. 无资格，不胜任；无能力；不适当；不熟练
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
notorious,adj. 声名狼藉的，臭名昭著的
perfection,n. 完善；完美
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
practicable,adj. 可用的；行得通的；可实行的
priority,n. 优先；优先权； 优先次序；优先考虑的事
crucial,adj. 重要的；决定性的；定局的；决断的
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
profitable,adj. 有利可图的；赚钱的；有益的
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
cosy,"n. 保温罩
adj. 舒适的；惬意的"
serene,"n. 平静；晴朗
adj. 平静的；安详的；清澈的；晴朗的
vt. 使平静"
tranquil,adj. 安静的，平静的；安宁的；稳定的
attractive,adj. 吸引人的；有魅力的；引人注目的
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
tremendous,adj. 极大的，巨大的；惊人的；极好的
terrific,adj. 极好的；极其的，非常的；可怕的
sufficient,adj. 足够的；充分的
considerable,adj. 相当大的；重要的，值得考虑的
abound,vi. 富于；充满
abundance,n. 充裕，丰富
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
vivid,adj. 生动的；鲜明的；鲜艳的
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
consecutive,adj. 连贯的；连续不断的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
continuity,n. 连续性；一连串；分镜头剧本
unanimous,adj. 全体一致的；意见一致的；无异议的
authentic,adj. 真正的，真实的；可信的
authoritative,adj. 有权威的；命令式的；当局的
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
comparable,adj. 可比较的；比得上的
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
gorgeous,adj. 华丽的，灿烂的；极好的
luminous,adj. 发光的；明亮的；清楚的
glisten,"n. 闪光，闪耀
vi. 闪光，闪亮"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
watertight,adj. 水密的；不漏水的；无懈可击的
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
intricate,adj. 复杂的；错综的，缠结的
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
explicit,adj. 明确的；清楚的；直率的；详述的
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
flexible,adj. 灵活的；柔韧的；易弯曲的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
evident,adj. 明显的；明白的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
invaluable,adj. 无价的；非常贵重的
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
fragrance,n. 香味，芬芳
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
intact,adj. 完整的；原封不动的；未受损伤的
lenient,adj. 宽大的；仁慈的
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
drawback,n. 缺点，不利条件；退税
deficiency,n. 缺陷，缺点；缺乏；不足的数额
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
excessive,adj. 过多的，极度的；过分的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
bizarre,adj. 奇异的（指态度，容貌，款式等）
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
tedious,adj. 沉闷的；冗长乏味的
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
sticky,adj. 粘的；粘性的
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
trivial,adj. 不重要的，琐碎的；琐细的
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
ambiguous,adj. 模糊不清的；引起歧义的
pitfall,n. 陷阱，圈套；缺陷；诱惑
precarious,adj. 危险的；不确定的
plight,"n. 困境；境况；誓约
vt. 保证；约定"
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
tiresome,adj. 烦人的，无聊的；令人讨厌的
dreadful,adj. 可怕的；糟透的，令人不快的
coarse,adj. 粗糙的；粗俗的；下等的
brittle,adj. 易碎的，脆弱的；易生气的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
unworthy,adj. 不值得的；无价值的；不相称的
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
deficient,adj. 不足的；有缺陷的；不充分的
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
deviate,"vi. 脱离；越轨
vt. 使偏离"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
complicated,adj. 难懂的，复杂的
abnormal,adj. 反常的，不规则的；变态的
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
dismal,"n. 低落的情绪
adj. 凄凉的，忧郁的；阴沉的，沉闷的"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
arbitrary,adj.  任意的；武断的；专制的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
incredible,adj. 难以置信的，惊人的
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
fragile,adj. 脆的；易碎的
obstacle,n. 障碍，干扰；妨害物
erroneous,adj. 错误的；不正确的
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
horrify,vt. 使恐惧；惊骇；使极度厌恶
grim,adj. 冷酷的；糟糕的；残忍的
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
obscene,adj. 淫秽的；猥亵的；可憎的
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
impractical,adj. 不切实际的，不现实的；不能实行的
inaccessible,adj. 难达到的；难接近的；难见到的
inadequate,adj. 不充分的，不适当的
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
massive,adj. 大量的；巨大的，厚重的；魁伟的
numerous,adj. 许多的，很多的
gigantic,adj. 巨大的，庞大的
magnitude,n. 大小；量级； 震级；重要；光度
occasional,adj. 偶然的；临时的；特殊场合的
eternal,adj. 永恒的；不朽的
finite,"n. 有限之物
adj. 有限的；限定的"
essence,n. 本质，实质；精华；香精
exotic,adj. 异国的；外来的；异国情调的
facet,"n. 面；方面；小平面
vt. 在…上琢面"
inclusive,adj. 包括的，包含的
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
indefinite,adj. 不确定的；无限的；模糊的
innumerable,adj. 无数的，数不清的
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
resemblance,n. 相似；相似之处；相似物；肖像
inherent,adj. 固有的；内在的；与生俱来的，遗传的
intrinsic,adj. 本质的，固有的
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
minimal,adj. 最低的；最小限度的
negligible,adj. 微不足道的，可以忽略的
nostalgic,adj. 怀旧的；乡愁的
inevitable,adj. 必然的，不可避免的
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
prospective,"n. 预期；展望
adj. 未来的；预期的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
permanence,n. 持久；永久
perpetual,adj. 永久的；不断的；四季开花的；无期限的
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
soluble,adj.  可溶的，可溶解的；可解决的
texture,n. 质地；纹理；结构；本质，实质
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
unavoidable,adj. 不可避免的；不能废除的
unobtainable,adj. 难获得的；不能得到的
unparalleled,adj. 无比的；无双的；空前未有的
suspense,n. 悬念；悬疑；焦虑；悬而不决
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
superfluous,adj. 多余的；不必要的；奢侈的
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
uncertainty,n. 不确定，不可靠
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
successive,adj. 连续的；继承的；依次的；接替的
subsequent,adj. 后来的，随后的
various,adj. 各种各样的；多方面的
diverse,adj. 不同的；多种多样的；变化多的
conspicuous,adj. 显著的；显而易见的
distinct,adj. 明显的；独特的；清楚的；有区别的
distinctive,adj. 有特色的，与众不同的
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
avert,vt. 避免，防止；转移
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
clarity,n. 清楚，明晰；透明
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
coincidence,n. 巧合；一致；同时发生
combination,n. 结合；组合；联合； 化合
commence,v. 开始；着手；<英>获得学位
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
consist,vi. 由…组成；在于；符合
constitute,vt. 组成，构成；建立；任命
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
cope,"n. 长袍
vi. 处理；对付；竞争"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
decade,n. 十年，十年期；十
denote,vt. 表示，指示
differentiate,"vt. 区分，区别
vi. 区分，区别"
discrepancy,n. 不符；矛盾；相差
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
embody,vt. 体现，使具体化；具体表达
equality,n. 平等；相等； 等式
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
evoke,vt. 引起，唤起；博得
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
exception,n. 例外；异议
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
exemplify,vt. 例证；例示
extent,n. 程度；范围；长度
forthcoming,"n. 来临
adj. 即将来临的"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
frequency,n. 频率；频繁
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
impede,vt. 阻碍；妨碍；阻止
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
indiscriminately,adv. 不加选择地；任意地
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
instance,"n. 实例；情况；建议
vt. 举...为例"
instantaneous,adj. 瞬间的；即时的；猝发的
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interaction,"n. 相互作用； 交互作用
n. 互动"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
intermittent,adj. 间歇的；断断续续的；间歇性
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
likelihood,n. 可能性，可能
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
locality,n. 所在；位置；地点
lull,"vt. 使平静；使安静；哄骗
vi. 平息；减弱；停止
n. 间歇；暂停；暂时平静"
mash,"n. 饲料；糊状物；麦芽浆
vt. 捣碎；调情"
memorize,vt. 记住，背熟；记忆
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
necessitate,vt. 使成为必需，需要；迫使
nil,n. 无，零
notify,vt. 通告，通知；公布
obsession,n. 痴迷；困扰； 强迫观念
occurrence,n. 发生；出现；事件；发现
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
oriental,"adj. 东方的；东方人的
n. 东方人"
orientation,n. 方向；定向；适应；情况介绍；向东方
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
peddle,"vt. 叫卖；兜售；散播
vi. 沿街叫卖；忙于琐事"
preclude,vt. 排除；妨碍；阻止
pretext,"n. 借口；托辞
vt. 以…为借口"
procedure,n. 程序，手续；步骤
prolong,vt. 延长；拖延
recede,"vi. 后退；减弱
vt. 撤回"
recur,vi. 复发；重现；采用；再来；循环；递归
remnant,"n. 剩余
adj. 剩余的"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
retain,vt. 保持；雇；记住
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
ripple,"n. 波纹；涟漪； 涟波
vt. 在…上形成波痕
vi. 起潺潺声"
sake,n. 目的；利益；理由；日本米酒
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
scrutiny,n. 详细审查；监视；细看；选票复查
segregate,vt. 使隔离；使分离；在…实行种族隔离
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
shun,vt. 避开，避免；回避
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
transcend,vt. 胜过，超越
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
undermine,vt. 破坏，渐渐破坏；挖掘地基
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
consequently,adv. 因此；结果；所以
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
furthermore,adv. 此外；而且
henceforth,adv. 今后；自此以后
hitherto,adv. 迄今；至今
incidentally,adv. 顺便；偶然地；附带地
invariably,adv. 总是；不变地；一定地
largely,adv. 主要地；大部分；大量地
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
moreover,adv. 而且；此外
needless,adj. 不必要的，不需要的；多余的，无用的
nonetheless,adv. 尽管如此，但是
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
presumably,adv. 大概；推测起来；可假定
primarily,adv. 首先；主要地，根本上
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
purposely,adv. 故意地；蓄意地
rarely,adv. 很少地；难得；罕有地
readily,adv. 容易地；乐意地；无困难地
respective,adj. 分别的，各自的
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
seemingly,adv. 看来似乎；表面上看来
seldom,adv. 很少，不常
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
terribly,adv. 非常；可怕地；极度地
thereafter,adv. 其后；从那时以后
thereby,adv. 从而，因此；在那附近；在那方面
timely,"adj. 及时的；适时的
adv. 及时地；早"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
versus,prep. 对；与...相对；对抗
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
whereas,conj. 然而；鉴于；反之
whereby,adv. 凭借；通过…；借以；与…一致
