code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
avoidance,n. 逃避；废止；职位空缺
apparatus,n. 装置，设备；仪器；器官
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
oversimplification,n. 过度单纯化；过分简单化
explosion,n. 爆炸；爆发；激增
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
intervention,n. 介入；调停；妨碍
suspicious,adj. 可疑的；怀疑的；多疑的
fierce,adj. 凶猛的；猛烈的；暴躁的
large-scale,adj. 大规模的，大范围的；大比例尺的
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
assess,vt. 评定；估价；对…征税
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
interdependence,n. 互相依赖
trait,n. 特性，特点；品质；少许
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
conception,n. 怀孕；概念；设想；开始
forerunner,n. 先驱；先驱者；预兆
autonomous,adj. 自治的；自主的；自发的
gymnastic,adj. 体操的，体育的
unevenly,adv. 不均衡地；不平坦地；不平行地
expenditure,n. 支出，花费；经费，消费额
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
median,"n. n. 中值，中位数；三角形中线；梯形中位线
adj. 中值的；中央的"
devastate,vt. 毁灭；毁坏
revival,n. 复兴；复活；苏醒；恢复精神；再生效
heredity,n. 遗传，遗传性
projection,n. 投射；规划；突出；发射；推测
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
essence,n. 本质，实质；精华；香精
corruption,n. 贪污，腐败；堕落
thereby,adv. 从而，因此；在那附近；在那方面
exert,vt. 运用，发挥；施以影响
skull,n. 头盖骨，脑壳
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
questionnaire,n. 问卷；调查表
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
timescale,"时间量程
时标"
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
endanger,vt. 危及；使遭到危险
rebellion,n. 叛乱；反抗；谋反；不服从
ensure,vt. 保证，确保；使安全
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
enforce,vt. 实施，执行；强迫，强制
audition,"n. 听力，听觉；试听
vt. 对…进行面试；让…试唱
vi. 试听；试音"
clearing,"n. 结算；空地；清扫
v. 澄清；放晴（clear的ing形式）"
manual,"adj. 手工的；体力的
n. 手册，指南"
blacksmith,n. 铁匠；锻工
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
phoenix,n. 凤凰；死而复生的人
maximal,adj. 最高的，最大的；最全面的
physiology,n. 生理学；生理机能
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
attribute,"n. 属性；特质
vt. 归属；把…归于"
conformity,n. 一致，适合；符合；相似
incur,vt. 招致，引发；蒙受
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
rid,vt. 使摆脱；使去掉
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
devotion,n. 献身，奉献；忠诚；热爱
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
undertake,vt. 承担，保证；从事；同意；试图
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
humiliate,vt. 羞辱；使…丢脸；耻辱
disruption,n. 破坏，毁坏；分裂，瓦解
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
granite,n. 花岗岩；坚毅；冷酷无情
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
posit,"n. 假设；设想
vt. 安置；假定"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
hypothesis,n. 假设
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
generalization,n. 概括；普遍化；一般化
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
aggressiveness,n. 攻击性；进取精神；霸气
deficit,n. 赤字；不足额
ultimately,adv. 最后；根本；基本上
collaborate,vi. 合作；勾结，通敌
rodent,"n.  啮齿动物
adj. 啮齿类的；咬的，嚼的；侵蚀性的"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
problematic,adj. 问题的；有疑问的；不确定的
restoration,n. 恢复；复位；王政复辟；归还
maritime,adj. 海的；海事的；沿海的；海员的
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
aluminum,n. 铝
dynasty,n. 王朝，朝代
eliminate,vt. 消除；排除
definite,adj. 一定的；确切的
equator,n. 赤道
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
identification,n. 鉴定，识别；认同；身份证明
sighting,"n. 瞄准；照准；视线
v. 看见（sight的ing形式）"
procedure,n. 程序，手续；步骤
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
rectangle,n. 矩形；长方形
perimeter,n. 周长；周界； 视野计
voltage,n.  电压
proverb,n. 谚语，格言；众所周知的人或事
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
lawn,n. 草地；草坪
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
domain,n. 领域；域名；产业；地产
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
necklace,n. 项链
installation,n. 安装，装置；就职
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
aroma,n. 芳香
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
energetic,adj. 精力充沛的；积极的；有力的
primate,"n. 大主教；灵长类的动物；首领
adj. 灵长目动物的；首要的"
sneaker,n. 运动鞋；卑鄙者；鬼鬼祟祟做事的人
tattoo,"n. 文身
vt. 刺花纹于
vi. 刺花样"
cancer, 巨蟹座
cautious,adj. 谨慎的；十分小心的
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
tournament,n. 锦标赛，联赛；比赛
waist,n. 腰，腰部
accusation,n. 控告，指控；谴责
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
extension,n. 延长；延期；扩大；伸展；电话分机
immigration,n. 外来移民；移居
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
medication,n. 药物；药物治疗；药物处理
paraphrase,"n. 释义；解释；意译
vt. 释义"
receipt,"n. 收到；收据；收入
vt. 收到"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
audible,"adj. 听得见的
听得见地"
fireworks,"n. 烟火, 激烈争论
 焰火"
graphic,adj. 形象的；图表的；绘画似的
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
disclose,vt. 公开；揭露
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
aisle,n. 通道，走道；侧廊
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
medal,n. 勋章，奖章；纪念章
newsletter,n. 时事通讯
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
torrent,n. 奔流；倾注；迸发；连续不断
trademark,"n. 商标
标志"
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
wig,"n. 假发；要人；头脑
vt. 使戴假发；斥责
vi. 激动；发狂"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
reaper,"n. 收割者；收割机；收获者； 死神,死"
debug,vt. 调试；除错，改正有毛病部分； 除去窃听器
sap,"n.  树液；精力，元气；活力；坑道
vt. 使衰竭，使伤元气；挖掘以破坏基础
vi. 挖坑道"
displacement,n. 取代，位移； 排水量
inject,vt. 注入；注射
arbitrary,adj.  任意的；武断的；专制的
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
consulate,n. 领事；领事馆；领事任期；领事职位
Scandinavia,n. 斯堪的纳维亚（半岛）
norm,n. 标准，规范
evoke,vt. 引起，唤起；博得
glossary,n. 术语（特殊用语）表；词汇表；专业词典
denominator,n.  分母；命名者；共同特征或共同性质；平均水平或标准
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
engrave,vt. 雕刻；铭记
embellish,"vt. 修饰；装饰；润色
vi. 装饰起来；加以润色"
irreversible,adj. 不可逆的；不能取消的；不能翻转的
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
resonance,n.  共振；共鸣；反响
anthropology,"n. 人类学
人类学家"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
soluble,adj.  可溶的，可溶解的；可解决的
decipher,"n. 密电译文
vt. 解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
financier,"vi. 欺骗；从事欺骗性金融活动
vt. 对…提供资金
n. 金融家；投资家"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
liquefy,vt. 液化；溶解
flora,n. 植物区系；植物群
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
colossal,adj. 巨大的；异常的，非常的
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
topography,n. 地势；地形学；地志
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
saline,"n. 盐湖；碱盐泻药
adj. 盐的；含盐分的"
specimen,n. 样品，样本；标本
ore,n. 矿；矿石
aquarium,n. 水族馆；养鱼池；玻璃缸
unearned,adj. 不劳而获的；非劳动所得的；不相称的
spontaneous,adj. 自发的；自然的；无意识的
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
sinkhole,n. 污水坑；排水口；阴沟口
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
courtship,n. 求爱；求婚；求爱期
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
paleontology,n. 古生物学
utterly,adv. 完全地；绝对地；全然地；彻底地，十足地
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
recharge,"vt. 再充电；再袭击；再控告
n. 再袭击；再装填
vi. 再袭击"
erratic,"n. 漂泊无定的人；古怪的人
adj. 不稳定的；古怪的"
gateway,n. 门；网关；方法；通道；途径
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
premier,"n. 总理，首相
adj. 第一的；最初的"
outpost,n. 前哨；警戒部队；边区村落
dilemma,n. 困境；进退两难；两刀论法
influx,n. 流入；汇集；河流的汇集处
plume,"n. 羽毛
vt. 用羽毛装饰
vi. 骚首弄姿"
succession,n. 连续；继位；继承权； 演替
vacate,"vt. 空出，搬出；取消；使撤退
vi. 空出，腾出；辞职；休假"
mosaic,"adj. 摩西的；拼成的；嵌花式的
n. 马赛克；镶嵌；镶嵌细工"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
inconclusive,adj. 不确定的；非决定性的；无结果的
debris,n. 碎片，残骸
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
artisan,n. 工匠，技工
derivative,"n.  衍生物，派生物；导数
adj. 派生的；引出的"
deterioration,n. 恶化；退化；堕落
overemphasize,"vt. 过分强调
vi. 过分强调
如何强调也不为过"
Celsius,找不到解释
radiator,n. 散热器；暖气片；辐射体
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
