emperor,n. 皇帝，君主
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
optometrist,n. 验光师；视力测定者
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
particle,n. 颗粒； 质点；极小量；小品词
downpour,n. 倾盆大雨；注下
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
registration,n. 登记；注册；挂号
chaos,n. 混沌，混乱
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
recreational,adj. 娱乐的，消遣的；休养的
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
subtropical,adj.  亚热带的
detract,"vi. 贬低；减去
vt. 转移，使分心"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
depress,vt. 压抑；使沮丧；使萧条
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
besides,"prep. 除…之外
adv. 此外；而且"
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
majority,n. 多数；成年
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
herbivore,n.  食草动物
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
occasionally,adv. 偶尔；间或
harridan,n. 脾气暴躁的老泼妇；枯槁的老妇人
accommodation,n. 住处，膳宿；调节；和解；预订铺位
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
constantly,adv. 不断地；时常地
ailment,n. 小病；不安
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
extracurricular,adj. 课外的；业余的；婚外的
propel,vt. 推进；驱使；激励；驱策
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
industrialise,vt. 使工业化（等于industrialize）
empire,n. 帝国；帝王统治，君权
mechanic,"n. 技工，机修工
adj. 手工的"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
glacial,adj. 冰的；冰冷的；冰河时代的
badminton,n. 羽毛球
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
argument,n. 论证；论据；争吵；内容提要
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
brochure,n. 手册，小册子
convince,vt. 说服；使确信，使信服
teem,"vt. 倒出
vi. 大量出现；充满"
confront,vt. 面对；遭遇；比较
exhibition,n. 展览，显示；展览会；展览品
whereas,conj. 然而；鉴于；反之
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
additional,adj. 附加的，额外的
overlapping,"adj. 重叠；覆盖
v. 与…重叠；盖过（overlap的ing形式）"
poultry,"n. 家禽
家禽肉"
pregnancy,n. 怀孕；丰富，多产；意义深长
confirmation,n. 确认；证实；证明；批准
unquote,"vt. （句、文等）结束（引文）
vi. （句、文等）结束（引文）"
embezzlement,n. 侵占；挪用；盗用
acrobatic,adj. 杂技的；特技的
numerous,adj. 许多的，很多的
balcony,n. 阳台；包厢；戏院楼厅
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
well-being,n. 幸福；康乐
at random,"na. 碰运气地；无目标地
 随便地；随机地；随意地"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
fallow,"n. 休耕地；休耕
adj. 休耕的；不活跃的
vt. 使（土地）休闲；潜伏"
troupe,"n. 剧团；一班；一团
vi. 巡回演出"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
discerning,"adj. 有辨识能力的；眼光敏锐的
v. 辨别（discern的ing形式）"
niggle,"vi. 拘泥小节；为琐事费时；挑剔
vt. 小气地给…；玩忽"
prospectus,n. 内容说明书；样张；创办计划书；学校的入学简介
liaise,vi. 保持联络；担任联络官
excavation,n. 挖掘，发掘
continental,"n. 欧洲人
adj. 大陆的；大陆性的"
modernism,n. 现代主义；现代思想；现代作风
artery,n. 动脉；干道；主流
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
adapt,"vi. 适应
vt. 使适应；改编"
gullibly,"易受骗地
轻信地"
succession,n. 连续；继位；继承权； 演替
sift,"vt. 筛选；撒；过滤；详查
vi. 筛；详查；撒下；细究"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
sympathy,n. 同情；慰问；赞同
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
exposure,n. 暴露；曝光；揭露；陈列
fierce,adj. 凶猛的；猛烈的；暴躁的
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
constitute,vt. 组成，构成；建立；任命
deceive,v. 欺骗；行骗
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
emission,n. （光、热等的）发射，散发；喷射；发行
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
bistro,n. 小酒馆
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
workforce,n. 劳动力；工人总数，职工总数
surpass,vt. 超越；胜过，优于；非…所能办到或理解
sociology,n. 社会学；群体生态学
violent,adj. 暴力的；猛烈的
frock,n. 女装；连衣裙；僧袍；罩袍
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
appliance,n. 器具；器械；装置
facility,n. 设施；设备；容易；灵巧
consolation,n. 安慰；慰问；起安慰作用的人或事物
texture,n. 质地；纹理；结构；本质，实质
assumption,n. 假定；设想；担任；采取
dissatisfied,"v. 使不满（dissatisfy的过去式和过去分词）
adj. 不满意的；不高兴的；流露不满的"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
sundial,n. 日晷，日规；羽扇豆（产于美国东部）
toxic,adj. 有毒的；中毒的
utilise,vt. 使用（等于utilize）；利用
conformity,n. 一致，适合；符合；相似
overrate,vt. 过高估计；对…估价过高
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
displace,vt. 取代；置换；转移；把…免职；排水
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
engrave,vt. 雕刻；铭记
disrespectful,adj. 无礼的；失礼的；不尊敬的
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
arcade,"n. 拱廊；（内设投角子电子游戏机等的）游乐场；有拱廊的街道
vt. 使有拱廊"
commentary,n. 评论；注释；评注；说明
recreate,"vt. 再创造；使得到娱乐/消遣
vi. 娱乐；消遣"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
territory,n. 领土，领域；范围；地域；版图
prohibit,vt. 阻止，禁止
shipment,n. 装货；装载的货物
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
eruption,n. 爆发，喷发；火山灰；出疹
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
assignment,n. 分配；任务；作业；功课
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
microbiology,n. 微生物学
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
hallowed,adj. 神圣的，神圣化的
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
climate,n. 气候；风气；思潮；风土
bring around,"na. 说服；使恢复知觉；把(某人)作为客人带来
 使信服；使复苏；使改变观点"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
relevance,n. 关联；适当；中肯
reluctant,adj. 不情愿的；勉强的；顽抗的
regularity,n. 规则性；整齐；正规；匀称
laterality,n. 对一侧面的偏重
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
daunt,vt. 使气馁，使畏缩；威吓
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
acclimatise,vi.& vt. （使）服水土，（使）适应新气候或环境
meadow,n. 草地；牧场
forthcoming,"n. 来临
adj. 即将来临的"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
quantity,n. 量，数量；大量；总量
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
acknowledge,vt. 承认；答谢；报偿；告知已收到
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
presence,n. 存在；出席；参加；风度；仪态
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
pudding,n. 布丁
greatly,adv. 很，大大地；非常
sporadically,adv. 零星地；偶发地
imitate,vt. 模仿，仿效；仿造，仿制
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
photography,n. 摄影；摄影术
modem,n. 调制解调器（等于modulator-demodulator）
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
maintenance,n. 维护，维修；保持；生活费用
spouse,"n. 配偶
vt. 和…结婚"
furnace,n. 火炉，熔炉
expedition,n. 远征；探险队；迅速
incendiary,"n. 燃烧弹；纵火犯，放火者；煽动者
adj. 煽动的；放火的，纵火的"
expansion,n. 膨胀；阐述；扩张物
encase,vt. 包住；围绕；包装
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
unbiased,adj. 公正的；无偏见的
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
retain,vt. 保持；雇；记住
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
robotic,"n. 机器人学
adj. 机器人的，像机器人的；自动的"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
salinity,n. 盐度；盐分；盐性
aggravation,n. 加剧；激怒；更恶化
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
lull,"vt. 使平静；使安静；哄骗
vi. 平息；减弱；停止
n. 间歇；暂停；暂时平静"
county,n. 郡，县
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
