considerable,adj. 相当大的；重要的，值得考虑的
phone book,"na. 电话簿
 电话本；通迅录；电话薄"
public radio,找不到解释
put through,"na. 经受；测试；试验；使…通过
 接通；完成；把……接通"
radio wave,"n. 无线电波；无线电频谱
 射频信号；之无线电波；长波无线电波"
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
rebroadcast,"n. 重播；转播；重播（或转播）的节目
vt. 重播；转播
vi. 重播；转播"
receiver,n. 接收器；接受者；收信机；收款员，接待者
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
short wave,"n. （无线电）短波
 短波广播；短波热療机；有短波频率"
supervision,n. 监督，管理
tape recorder,"n. 录音机
 磁带录音机；磁带记录器；磁带机"
telecom,n. 电信，远距通信；电讯
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
transmitter,n.  发射机， 发报机；传达人
unavailable,adj. 难以获得的；不能利用的；不近便的
voicemail,n. 语音信箱
wave length,"n. 波长
 波长设置为；光波长；波距"
working mode, 工作方式；工作模式；工程模式
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
invention,n. 发明；发明物；虚构；发明才能
inventive,adj. 发明的；有发明才能的；独出心裁的
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
significance,n. 意义；重要性；意思
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
significantly,adv. 显著地；相当数量地
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
achievement,n. 成就；完成；达到；成绩
depend on,"v. 依靠
 依赖；取决于；视……而定"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
origination,n. 起源；开始；起始
originator,n. 发起人；起源；起因
originative,adj. 有创作力的，有发明之才能的
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
chiefly,adv. 主要地；首先
crucial,adj. 重要的；决定性的；定局的；决断的
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
elementary,adj. 基本的；初级的； 元素的
elite,n. 精英；精华；中坚分子
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
fateful,adj. 重大的；决定性的；宿命的
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
gist,n. 主旨，要点；依据
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
largely,adv. 主要地；大部分；大量地
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
momentous,adj. 重要的；重大的
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
pivotal,"n. 关键事物；中心事物
adj. 关键的；中枢的；枢轴的"
predominantly,adv. 主要地；显著地
predominate,"vt. 支配，主宰；在…中占优势
vi. 占主导（或支配）地位；占优势"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primarily,adv. 首先；主要地，根本上
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
vital,adj. 至关重要的；生死攸关的；有活力的
comparative,"n. 比较级；对手
adj. 比较的；相当的"
comparatively,adv. 比较地；相当地
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
counterpart,n. 副本；配对物；极相似的人或物
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equality,n. 平等；相等； 等式
equally,adv. 同样地；相等地，平等地；公平地
equate,"vt. 使相等；视为平等
vi. 等同"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
inferiority,n. 自卑；下属；次等；下部
peerless,adj. 无与伦比的；出类拔萃的；无比的
preferable,adj. 更好的，更可取的；更合意的
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
relatively,adv. 相当地；相对地，比较地
resemble,vt. 类似，像
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
versus,prep. 对；与...相对；对抗
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
mercury,n. 水星
emission,n. （光、热等的）发射，散发；喷射；发行
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
implementation,n.  实现；履行；安装启用
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
execute,vt. 实行；执行；处死
utensil,n. 用具，器皿
instrument,n. 仪器；工具；乐器；手段；器械
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
acetate,n.  醋酸盐；醋酸纤维素及其制成的产品
aluminium,"n. 铝
adj. 铝的"
amalgam,n.  汞合金， 汞齐；混合物
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
carbonic oxide,"un. 一氧化碳
 一氧化炭；一氧化碳电池"
chemical element,"n. 化学元素
 元素的原子序数；化学成分表"
cohere,vi. 凝聚；连贯；粘着；一致
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
coke,n. 可口可乐（等于Coca-Cola）
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
corrosive,"n. 腐蚀物
adj. 腐蚀的；侵蚀性的"
desalinise,vt. =desalinize
factorable,adj. 可分解因子的
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
halogen,n.  卤素
inert gases,"un. 惰性气体
 稀有气体；贵气体；非活性气体"
inorganic chemistry,"n. 无机化学
 无机化学常用词汇；非有机化学；无机化学与无机化学工程"
inorganic matter,"na. 无机物
 无机物质"
inorganic polymer, 无机高分子；无机聚合物；无机高聚物
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
lifeless,adj. 无生命的；死气沉沉的；无趣味的
natural polymer,"un. 天然聚合物
 天然高分子；天然聚合体；天然高分子材料"
organic chemistry,"n. 有机化学
 化学丛书之有机化学；有机化学常用词汇；有机化学领域"
organic polymer,有机聚合物
organics,  有机物
oxidize,"vt. 使氧化；使生锈
vi. 氧化"
patina,n.  铜绿；光泽；神态；圣餐盘
periodic table of elements,"un. 元素周期表；无素周期表
 化学元素周期表"
polymer,n.  聚合物
rare metal,"n. 稀有金属
 稀少金属；稀土金属；希有金属"
scalding,"n.  烫伤
v. 烫（scald的ing形式）
adj. 滚烫的；尖刻的"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
sodium,n.  钠（11号元素，符号 Na）
supra polymer,找不到解释
synthetic fibre,"na. 合成纤维
 人造纤维；吸湿性合成纤维；指某些合成纤维"
synthetic plastics,"un. 合成塑料
 合成塑胶"
synthetic rubber,"na. 合成橡胶
 人造橡胶；合成胶；人工橡胶"
titanium,n.  钛（金属元素）
toxic chemical, 有毒化学品；有毒的化学物品；毒性化学物质
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
advisor,n. 顾问；指导教师；劝告者
consultant,n. 顾问；咨询者；会诊医生
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
dividend,n. 红利；股息； 被除数；奖金
expected return,"un. 预期收益
 预期回报率；预期收益率；期望收益"
financial plan,"un. 财政计划；财务计划
 财务计画；财务规划；理财计划"
financing,"n. 融资；财务；筹措资金
v. 筹措资金；财政管理；从事金融活动（finance的ing形式）"
fixed income,"un. 固定所得；固定收入
 固定收益；定息债券；固定收益投资"
foreign exchange,"n. 外汇；外汇市场；国际汇兑；外币兑换处
 外汇交易；国外汇兑；国际交换生"
forward rate,"un. 期货汇价
 远期汇率；远期利率；远期收益率"
futures,n. 期货；未来，前途（future的复数形式）
house property,"n. 房产
 房产权属；房产领域；房屋产权"
increment,n.  增量；增加；增额；盈余
investment diversification,"un. 投资分散
 分散投资；投资多样化；投资分散化定理"
money management,"un. 货币管理
 资金管理；理财；金钱管理"
ratio,n. 比率，比例
risk assessment,"n. 风险评估；（尤指公司中涉及员工或公众安全的）危险性评估
 风险评价；风险评监；危险评估"
store of value, 价值储存手段
systematic risk, 系统性风险；系统风险；冒系统风险
trust product,找不到解释
task,"n. 工作，作业；任务
vt. 分派任务"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
paraconsciously,找不到解释
accessible,adj. 易接近的；可进入的；可理解的
consciousness,n. 意识；知觉；觉悟；感觉
self-consciousness,n. 自觉意识
conscious,adj. 意识到的；故意的；神志清醒的
altruistic,adj. 利他的；无私心的
altruism,n. 利他；利他主义
confusion,n. 混淆，混乱；困惑
confuse,vt. 使混乱；使困惑
differentiation,n. 变异， 分化；区别
differentiate,"vt. 区分，区别
vi. 区分，区别"
egoism,n. 利己主义，自我主义
emotional state,"un. 情绪状态
 心情；情感状态；情绪状态指数"
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
identification,n. 鉴定，识别；认同；身份证明
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
interaction,"n. 相互作用； 交互作用
n. 互动"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
introspection,n. 内省；反省
introspective,adj. 内省的；反省的
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
metacognition,n. 元认知；后设认知
psychology,n. 心理学；心理状态
self,"n. 自己，自我；本质；私心
adj. 同一的
vt. 使自花授精；使近亲繁殖
vi. 自花授精"
self-aware,adj. 有自知之明的
all-round,adj. 多才多艺的；全面的；多方面的；综合性的
all-round talent,找不到解释
basic education, 基础教育；基本教育；国民基本教育
basic quality,"un. 基本素质
 基本质素；基本品质；基本质量"
compulsory education,"na. 强迫教育
 义务教育；普及教育；任务教育"
enlightening,"adj. 使人领悟的；有启发作用的
v. 启蒙；通知（enlighten的ing形式）"
exam-oriented education,找不到解释
higher education,"n. （尤指达到学位水平的）高等教育
 高等教育学；高等教育课程；高教"
labor skill,找不到解释
lower secondary education,找不到解释
moral value, 道德价值；道德观；可能导致道德
pedagogy,n. 教育；教育学；教授法
pedagogic,adj. 教师的（等于pedagogical）；教育学的；教授法的
pre-primary education,"《英汉医学词典》pre-primary education
小学前教育"
primary education,"na. 初等教育
 小学教育；基础教育；初级教育"
quality-oriented education,找不到解释
registered school,找不到解释
amenable,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
inappropriate,adj. 不适当的；不相称的
consequently,adv. 因此；结果；所以
consequent,"n. 结果
adj. 随之发生的；作为结果的"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
even-tempered,adj. 性情平和的；不易激动的
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
inherited,"v. 继承；经遗传而得（inherit的过去分词）
adj. 遗传的；继承权的；通过继承得到的"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
lead by example, 以身作则；榜样；垂范后世
maturation,n. 成熟；化脓；生殖细胞之形成
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
modesty,n. 谦逊；质朴；稳重
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
naughtiness,n. 顽皮；淘气；无礼
obedient,adj. 顺从的，服从的；孝顺的
obedience,n. 顺从；服从；遵守
outcome,n. 结果，结局；成果
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
