gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
interpret,"vi. 解释；翻译
vt. 说明；口译"
verify,vt. 核实；查证
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
greenhouse,"n. 温室
造成温室效应的"
garlic,n. 大蒜；蒜头
monarchy,n. 君主政体；君主国；君主政治
subsistence,n. 生活；生存；存在
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
theory,n. 理论；原理；学说；推测
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
bravery,n. 勇敢；勇气
flashlight,n. 手电筒；闪光灯
procedure,n. 程序，手续；步骤
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
commitment,n. 承诺，保证；委托；承担义务；献身
discrimination,n. 歧视；区别，辨别；识别力
condemn,vt. 谴责；判刑，定罪；声讨
journalist,n. 新闻工作者；报人；记日志者
suitcase,n.  手提箱；衣箱
cheerful,adj. 快乐的；愉快的；高兴的
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
cooperate,vi. 合作，配合；协力
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
enlighten,vt. 启发，启蒙；教导，开导；照耀
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
strategy,n. 战略，策略
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
disadvantage,n. 缺点；不利条件；损失
merciful,adj. 仁慈的；慈悲的；宽容的
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
vain,adj. 徒劳的；自负的；无结果的；无用的
amusement,n. 消遣，娱乐；乐趣
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
optimistic,adj. 乐观的；乐观主义的
attitude,n. 态度；看法；意见；姿势
anxious,adj. 焦虑的；担忧的；渴望的；急切的
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
grief,n. 悲痛；忧伤；不幸
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
nutrition,n. 营养，营养学；营养品
compete,vi. 竞争；比赛；对抗
virtue,n. 美德；优点；贞操；功效
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
motivate,vt. 刺激；使有动机；激发…的积极性
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
enrich,vt. 使充实；使肥沃；使富足
spectator,n. 观众；旁观者
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
controversy,n. 争论；论战；辩论
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
route,"n. 路线；航线；通道
vt. 按某路线发送"
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
gratitude,n. 感谢（的心情）；感激
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
dual,"n. 双数；双数词
adj. 双的；双重的"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
gaze,"n. 凝视；注视
vi. 凝视；注视"
mood,n. 情绪，语气；心境；气氛
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
revolution,n. 革命；旋转；运行；循环
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
pollution,"n. 污染
污染物"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
arrangement,n. 布置；整理；准备
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
intend,"vi. 有打算
vt. 打算；想要；意指"
occur,vi. 发生；出现；存在
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
behalf,n. 代表；利益
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
correction,n. 改正，修正
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
bury,vt. 埋葬；隐藏
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
numerous,adj. 许多的，很多的
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
prevail,vi. 盛行，流行；战胜，获胜
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
reception,n. 接待；接收；招待会；感受；反应
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
entertainment,n. 娱乐；消遣；款待
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
irrigation,n. 灌溉； 冲洗；冲洗法
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
require,vt. 需要；要求；命令
speech,n. 演讲；讲话； 语音；演说
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
drawback,n. 缺点，不利条件；退税
precise,adj. 精确的；明确的；严格的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
criterion,n. （批评判断的）标准；准则；规范；准据
fate,"n. 命运
vt. 注定"
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
eminent,adj. 杰出的；有名的；明显的
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
inject,vt. 注入；注射
colonel,n. 陆军上校
glacier,n. 冰河，冰川
metro,n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）
superstition,n. 迷信
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
summon,vt. 召唤；召集；鼓起；振作
uprising,"n. 起义；升起
v. 起义（uprise的ing形式）；升起
adj. 升起的"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
entrepreneur,n. 企业家；承包人；主办者
exert,vt. 运用，发挥；施以影响
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
enterprise,n. 企业；事业；进取心；事业心
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
faculty,n. 科，系；能力；全体教员
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
constitute,vt. 组成，构成；建立；任命
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
suppress,vt. 抑制；镇压；废止
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
administration,n. 管理；行政；实施；行政机构
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
resemble,vt. 类似，像
preparation,n. 预备；准备
harmony,n. 协调；和睦；融洽；调和
belief,n. 相信，信赖；信仰；教义
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
unfit,"adj. 不适宜的；不合格的；不健康的
vt. 使不合格；使不相宜；使不胜任"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
conservation,n. 保存，保持；保护
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
