spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
judicial,adj. 公正的，明断的；法庭的；审判上的
longitude,n.  经度；经线
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
hospitality,n. 好客；殷勤
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
soluble,adj.  可溶的，可溶解的；可解决的
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
slippery,adj. 滑的；狡猾的；不稳定的
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
cavity,n. 腔；洞，凹处
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
toxic,adj. 有毒的；中毒的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
anonymous,adj. 匿名的，无名的；无个性特征的
coverage,n. 覆盖，覆盖范围；新闻报道
tract,n. 束；大片土地，地带；小册子
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
management,n. 管理；管理人员；管理部门；操纵；经营手段
cling,vi. 坚持，墨守；紧贴；附着
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
trademark,"n. 商标
标志"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
indignation,n. 愤慨；愤怒；义愤
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
tragic,adj. 悲剧的；悲痛的，不幸的
controversial,adj. 有争议的；有争论的
trait,n. 特性，特点；品质；少许
demonstrate,"vt. 证明；展示；论证
vi. 示威"
abolish,vt. 废除，废止；取消，革除
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
deduct,vt. 扣除，减去；演绎
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
Easter,n. 复活节
intermittent,adj. 间歇的；断断续续的；间歇性
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
commonwealth,n. 联邦；共和国；国民整体
transaction,n. 交易；事务；办理；会报，学报
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
norm,n. 标准，规范
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
considerate,adj. 体贴的；体谅的；考虑周到的
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
transcend,vt. 胜过，超越
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
reproach,"n. 责备；耻辱
vt. 责备；申斥"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
retention,n. 保留；扣留，滞留；记忆力；闭尿
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
notation,n. 符号；乐谱；注释；记号法
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
specification,n. 规格；说明书；详述
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
memorize,vt. 记住，背熟；记忆
inhibit,vt. 抑制；禁止
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
empirical,adj. 经验主义的，完全根据经验的；实证的
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
install,vt. 安装；任命；安顿
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
ignore,vt. 驳回诉讼；忽视；不理睬
catastrophe,n. 大灾难；大祸；惨败
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
transistor,n. 晶体管（收音机）
metallic,adj. 金属的，含金属的
transit,"n. 运输；经过
vt. 运送
vi. 经过"
involve,vt. 包含；牵涉；使陷于；潜心于
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
expend,vt. 花费；消耗；用光；耗尽
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
transition,n. 过渡；转变； 转换；变调
casualty,n. 意外事故；伤亡人员；急诊室
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
inhabitant,n. 居民；居住者
pendulum,n. 钟摆；摇锤；摇摆不定的事态
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
royalty,n. 皇室；版税；王权；专利税
dentist,"n. 牙科医生
牙医诊所"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
literary,adj. 文学的；书面的；精通文学的
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
aviation,n. 航空；飞行术；飞机制造业
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
anticipate,vt. 预期，期望；占先，抢先；提前使用
genetic,adj. 遗传的；基因的；起源的
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
reliance,n. 信赖；信心；受信赖的人或物
literature,n. 文学；文献；文艺；著作
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
salvation,n. 拯救；救助
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
portray,vt. 描绘；扮演
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
reconciliation,n. 和解；调和；和谐；甘愿
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
enforce,vt. 实施，执行；强迫，强制
coalition,n. 联合；结合，合并
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
treaty,n. 条约，协议；谈判
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
authority,n. 权威；权力；当局
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
liner,n. 班轮，班机；衬垫；画线者
tremendous,adj. 极大的，巨大的；惊人的；极好的
resent,vt. 怨恨；愤恨；厌恶
afflict,vt. 折磨；使痛苦；使苦恼
recession,n. 衰退；不景气；后退；凹处
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
electronic,"adj. 电子的
n. 电子电路；电子器件"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
tribe,n. 部落；族；宗族；一伙
fragile,adj. 脆的；易碎的
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
continuity,n. 连续性；一连串；分镜头剧本
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
transmission,n. 传动装置， 变速器；传递；传送；播送
inherent,adj. 固有的；内在的；与生俱来的，遗传的
contention,n. 争论，争辩；争夺；论点
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
clearance,n. 清除；空隙
autonomy,n. 自治，自治权
fraction,n. 分数；部分；小部分；稍微
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
clarity,n. 清楚，明晰；透明
instrument,n. 仪器；工具；乐器；手段；器械
confusion,n. 混淆，混乱；困惑
ambiguous,adj. 模糊不清的；引起歧义的
speculate,"vi. 推测；投机；思索
vt. 推断"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
donation,n. 捐款，捐赠物；捐赠
cynical,adj. 愤世嫉俗的；冷嘲的
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
grief,n. 悲痛；忧伤；不幸
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
scrutiny,n. 详细审查；监视；细看；选票复查
breakthrough,n. 突破；突破性进展
disaster,n. 灾难，灾祸；不幸
deceive,v. 欺骗；行骗
arrangement,n. 布置；整理；准备
rehearsal,n. 排演；预演；练习；训练；叙述
hatred,n. 憎恨；怨恨；敌意
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
necessitate,vt. 使成为必需，需要；迫使
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
cite,vt. 引用；传讯；想起；表彰
incidence,n. 发生率；影响； 入射；影响范围
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
trivial,adj. 不重要的，琐碎的；琐细的
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
kidney,n.  肾脏；腰子；个性
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
disturbance,n. 干扰；骚乱；忧虑
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
multitude,n. 群众；多数
atlas,n. 地图集；寰椎
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
describe,vt. 描述，形容；描绘
exemplify,vt. 例证；例示
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
existence,n. 存在，实在；生存，生活；存在物，实在物
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
enclosure,n. 附件；围墙；围场
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
derive,"vt. 源于；得自；获得
vi. 起源"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
intrinsic,adj. 本质的，固有的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
obligation,n. 义务；职责；债务
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
tuition,n. 学费；讲授
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
appliance,n. 器具；器械；装置
disastrous,adj. 灾难性的；损失惨重的；悲伤的
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
intense,adj. 强烈的；紧张的；非常的；热情的
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
dignity,n. 尊严；高贵
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
