relationship,n. 关系；关联
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
jet lag,"n. 时差反应；时差综合症
 飞行时差反应；时差失调；缘来有转机"
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
judgement,n. 意见；判断力； 审判；评价
kettle,n. 壶； 釜；罐；鼓
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
know-how,n. 诀窍；实际知识；专门技能
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
laptop,n. 膝上型轻便电脑，笔记本电脑
lass,n. 小姑娘；情侣；（苏格兰）女佣
lawn,n. 草地；草坪
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
legend,n. 传奇；说明；图例；刻印文字
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
literal,adj. 文字的；逐字的；无夸张的
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
livelihood,n. 生计，生活；营生
loophole,n. 漏洞；枪眼；换气孔；射弹孔
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
mainstream,n. 主流
make-up,n. 化妆品；（美）补考；性格；构造；排版
mammal,n.  哺乳动物
mankind,n. 人类；男性
manly,"adj. 男子气概的；强壮的；适于男人的
adv. 雄赳赳地"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
massage,"vt. 按摩；揉
n. 按摩；揉"
masterpiece,n. 杰作；绝无仅有的人
mayor,n. 市长
mechanize,vt. 使机械化；机动化；用机械装置
mechanise,vt. 使……用机械装置；使……机械化
memorandum,n. 备忘录；便笺
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
metro,n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）
microphone,n. 扩音器，麦克风
microscope,n. 显微镜
misfortune,n. 不幸；灾祸，灾难
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
motorway,n. 高速公路，汽车高速公路
mule,n. 骡；倔强之人，顽固的人；杂交种动物
municipal,adj. 市政的，市的；地方自治的
napkin,n. 餐巾；餐巾纸；尿布
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
nationality,n. 国籍，国家；民族；部落
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
navy,"n. 海军
深蓝色的"
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
nightclub,"n. 夜总会
vi. 去夜总会"
nucleus,n. 核，核心；原子核
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
obese,adj. 肥胖的，过胖的
odor,n. 气味；名声
odour,n. 气味；声誉
old-fashioned,adj. 老式的；过时的；守旧的
opener,n.  开启工具；开启的人
opt,vi. 选择
optimism,n. 乐观；乐观主义
ore,n. 矿；矿石
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
outsider,n. 外人；无取胜希望者
outskirts,n. 市郊，郊区
oven,n. 炉，灶；烤炉，烤箱
overdue,adj. 过期的；迟到的；未兑的
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
oversight,n. 监督，照管；疏忽
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
ozone,n.  臭氧；新鲜的空气
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
paddy,n. 稻田（复数paddies）；爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
parking,"n. 停车
adj. 停车的
v. 停车（park的ing形式）"
password,n. 密码；口令
pastime,n. 娱乐，消遣
payroll,n. 工资单；在册职工人数；工资名单
peanut,n. 花生
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
peril,"n. 危险；冒险
vt. 危及；置…于险境"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
pessimism,n. 悲观，悲观情绪；厌世主义
petty,adj. 琐碎的；小气的；小规模的
pigeon,n. 鸽子
pint,n. 品脱；一品脱的量；一品脱牛奶或啤酒
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
plentiful,adj. 丰富的；许多的；丰饶的；众多的
plumbing,"n. 铅工业；铅管品制造
v. 探究；垂直悬挂；用铅锤测量；灌铅以增重（plumb的现在分词）"
plural,"n. 复数
adj. 复数的"
poster,n. 海报，广告；招贴
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
preposition,n. 介词；前置词
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
proverb,n. 谚语，格言；众所周知的人或事
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
quota,n. 配额；定额；限额
recreation,n. 娱乐；消遣；休养
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
refreshment,n. 点心；起提神作用的东西；精力恢复
renovate,vt. 更新；修复；革新；刷新
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
reside,vi. 住，居住；属于
reviewer,n. 评论者，评论家
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
rumor,"n. 谣言；传闻
vt. 谣传；传说"
rumour,"n. 谣言
vt. 传闻"
runway,n. 跑道；河床；滑道
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
schooling,"n. 学校教育；学费
v. 教育（school的ing形式）；培养"
selfish,adj. 自私的；利己主义的
setback,n. 挫折；退步；逆流
sexual,adj. 性的；性别的；有性的
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shit,"n. 屎；粪
vi. 拉屎
vt. 欺骗；在…拉屎
int. 狗屁；呸"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
situate,"adj. 位于…的
vt. 使位于；使处于"
skyline,"n. 地平线；空中轮廓线；架空索
vt. 天空映衬出…的轮廓"
smelly,adj. 有臭味的，发臭的
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
snack bar,"n. 小吃部；快餐柜台；快餐部；点心铺
 小吃店；快餐店；快餐厅"
socialism,n. 社会主义
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
sociology,n. 社会学；群体生态学
soft drink,"n. 软饮料（不含酒精）
 汽水；软性饮料；清凉饮料"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
staircase,n. 楼梯
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
statute,n.  法规；法令；条例
steak,n. 牛排；肉排；鱼排
stool,"n. 凳子；粪便；厕所
vt. 引诱，诱捕
vi. 长新枝；分檗"
storey,n.  楼层；叠架的一层
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
strive,vi. 努力；奋斗；抗争
subway,"n. 地铁；地道
vi. 乘地铁"
sunset,n. 日落，傍晚
superb,adj. 极好的；华丽的；宏伟的
swipe,"n. 猛击；尖刻的话
vt. 猛击；偷窃；刷…卡
vi. 猛打；大口喝酒"
takeoff,"起飞
开始
起跳
起跳的，起飞的"
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
temple,n. 庙宇；寺院；神殿；太阳穴
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
terrific,adj. 极好的；极其的，非常的；可怕的
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
thanksgiving,n. 感恩
thermometer,n. 温度计；体温计
thesis,n. 论文；论点
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
trademark,"n. 商标
标志"
transcript,n. 成绩单；抄本，副本；文字记录
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
tuition,n. 学费；讲授
tumor,n. 肿瘤；肿块；赘生物
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
underestimate,"n. 低估
vt. 低估；看轻"
unemployed,adj. 失业的；未被利用的
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
vendor,n. 卖主；小贩；供应商； 自动售货机
versus,prep. 对；与...相对；对抗
viewpoint,n. 观点，看法；视角
vigor,n.  活力，精力
vocation,n. 职业；天职；天命；神召
voltage,n.  电压
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
waggon,n. 四轮运货马车；运货车
ware,"n. 陶器，器皿；制品；器具；货物
vt. 留心；小心"
warfare,n. 战争；冲突
warrior,n. 战士，勇士；鼓吹战争的人
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
watertight,adj. 水密的；不漏水的；无懈可击的
weapon,n. 武器，兵器
well-being,n. 幸福；康乐
well-off,adj. 富裕的；顺利的，走运的；繁荣昌盛的
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
width,n. 宽度；广度
wilderness,n. 荒地；大量，茫茫一片
willpower,n. 意志力；毅力
wireless,"n. 无线电
adj. 无线的；无线电的
vt. 用无线电报与…联系；用无线电报发送
vi. 打无线电报；打无线电话"
workout,n. 锻炼；练习；试验
workshop,n. 车间；研讨会；工场；讲习班
worthless,adj. 无价值的；不值钱的；卑微的
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
youngster,n. 年轻人；少年
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
