alter,"vt. 改变，更改
vi. 改变；修改"
jealously,adv. 妒忌地；猜疑地
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
relationship with ...,找不到解释
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
frustration,n. 挫折
unwilling,adj. 不愿意的；不情愿的；勉强的
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
independently,adv. 独立地；自立地
be unwilling to do,找不到解释
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
noted,"adj. 著名的；显著的；附有乐谱的
v. 注意；记下（note的过去式和过去分词）"
guitarist,n. 吉他弹奏者
noticeable,adj. 显而易见的，显著的；值得注意的
proclaim,vt. 宣告，公布；声明；表明；赞扬
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
emotionally,adv. 感情上；情绪上；令人激动地；情绪冲动地
refusal,n. 拒绝；优先取舍权；推却；取舍权
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
dearly,adv. 深深地；昂贵地
I can tell that ...,找不到解释
freshman,n. 新手，生手；大学一年级学生
hastily,adv. 匆忙地；急速地；慌忙地
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
sporting,"adj. 运动的；冒险性的；公正的；喜好运动的
v. 娱乐；玩弄（sport的ing形式）"
legend,n. 传奇；说明；图例；刻印文字
patiently,adv. 耐心地；有毅力地
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
teach ... to do,找不到解释
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
contempt,n. 轻视，蔑视；耻辱
interviewer,n. 采访者；会见者；面谈者；进行面试者
keep doing, 继续做；坚持做某事；一直做某事
keep on doing, 继续做某事；坚持做某事；继续作某事
pony,"n. 矮种马；小型马
adj. 小型的；每日摘要的
vt. 付清
vi. 付清"
gallop,"n. 疾驰；飞奔
vi. 飞驰；急速进行；急急忙忙地说
vt. 使飞跑；迅速运输"
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
eagerly,adv. 急切地；渴望地；热心地
gaze,"n. 凝视；注视
vi. 凝视；注视"
mummy,n. 妈妈；木乃伊；干瘪的人
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
rush out of ...,找不到解释
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
painfully,adv. 痛苦地，费力地
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
reluctant,adj. 不情愿的；勉强的；顽抗的
seemingly,adv. 看来似乎；表面上看来
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
be serious about doing,找不到解释
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
beat cream,找不到解释
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
agony,n. 苦恼；极大的痛苦；临死的挣扎
obedience,n. 顺从；服从；遵守
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
rosy,adj. 蔷薇色的，玫瑰红色的；美好的；乐观的；涨红脸的
tenderly,adv. 温和地；体贴地；柔和地
by way of ...,找不到解释
unemployment,n. 失业；失业率；失业人数
urban,adj. 城市的；住在都市的
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
fierce,adj. 凶猛的；猛烈的；暴躁的
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
technically,adv. 技术上；专门地；学术上；工艺上
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
motorbike,n. 摩托车
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
sneeze,"n. 喷嚏
vi. 打喷嚏"
nonstop,"adj. 直达的；不休息的；不着陆的
n. 直达车
adv. 不休息地"
initially,adv. 最初，首先；开头
flu,n. 流感
homesick,adj. 想家的；思乡病的
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
used to do, 过去常常做某事；过去常做某事；过去常常作某事
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
doorstep,n. 门阶
forehead,n. 额，前额
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
cautious,adj. 谨慎的；十分小心的
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
icy,adj. 冰冷的；冷淡的；结满冰的
slippery,adj. 滑的；狡猾的；不稳定的
armed,adj. 武装的；有扶手的；有防卫器官的（指动物）
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
separately,adv. 分别地；分离地；个别地
run off,"na. 逃走；流出；(火车等)出轨；越轨
 跑掉；跑掉，逃掉；复印"
unfair,adj. 不公平的，不公正的
abolish,vt. 废除，废止；取消，革除
pessimistic,adj. 悲观的，厌世的；悲观主义的
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
experienced,adj. 老练的，熟练的；富有经验的
skilled,adj. 熟练的；有技能的；需要技能的
a team of ...,找不到解释
ideally,adv. 理想地；观念上地
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
immensely,adv. 极大地；无限地；广大地；庞大地
imaginative,adj. 富于想象的；有创造力的
astonish,vt. 使惊讶
elementary,adj. 基本的；初级的； 元素的
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
strategy,n. 战略，策略
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
lantern,n. 灯笼；提灯；灯笼式天窗
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
Halloween,n. 万圣节前夕（指十月三十一日夜晚）
jack-o'-lantern,n. 鬼火；空心南瓜灯；行踪不定的人
reservation,n. 预约，预订；保留
accommodation,n. 住处，膳宿；调节；和解；预订铺位
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
symphony,n. 交响乐；谐声，和声
conductor,n. 导体；售票员；领导者；管理人
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
conceal,vt. 隐藏；隐瞒
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
extensive,adj. 广泛的；大量的；广阔的
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
presently,adv. （美）目前；不久
confront,vt. 面对；遭遇；比较
challenging,"v. 要求；质疑；反对；向…挑战；盘问（challenge的ing形式）
adj. 挑战的；引起挑战性兴趣的"
reasonably,adv. 合理地；相当地；适度地
fluent,adj. 流畅的，流利的；液态的；畅流的
confuse,vt. 使混乱；使困惑
typically,adv. 代表性地；作为特色地
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
vast amounts of ...,找不到解释
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
riches,n. 财富；富有；房地产（rich的复数）
patron,n. 赞助人；保护人；主顾
cope,"n. 长袍
vi. 处理；对付；竞争"
loneliness,n. 寂寞，孤独
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
cultivate,vt. 培养；陶冶；耕作
fertile,adj. 富饶的，肥沃的；能生育的
organic,adj.  有机的；组织的；器官的；根本的
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
wholly,adv. 完全地；全部；统统
deprive,vt. 使丧失，剥夺
dignity,n. 尊严；高贵
devote,vt. 致力于；奉献
historic,adj. 有历史意义的；历史上著名的
architecture,n. 建筑学；建筑风格；建筑式样；架构
around the country, 环绕国家；全国各地
prominent,adj. 突出的，显著的；杰出的；卓越的
embassy,n. 大使馆；大使馆全体人员
dine,"vi. 进餐，用餐
vt. 宴请"
ambassador,n. 大使；代表；使节
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
sunglasses,n. 太阳镜；凸透镜（sunglass的复数）
liver,n. 肝脏；生活者，居民
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
surgery,n. 外科；外科手术；手术室；诊疗室
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
mechanic,"n. 技工，机修工
adj. 手工的"
break into ...,找不到解释
environmental,adj. 环境的，周围的；有关环境的
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
legally,adv. 合法地；法律上
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
surprisingly,adv. 惊人地；出人意料地
hairdresser,n. 美发师
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
blond,"adj. 金发的
n. 白肤碧眼金发的人"
edit,"vt. 编辑；校订
n. 编辑工作"
adventurer,n. 冒险家；投机商人
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
expedition,n. 远征；探险队；迅速
the South Pole,"na. 南极
 南极点；南极生态；在南极"
accomplishment,n. 成就；完成；技艺，技能
entitle,vt. 称做…；定名为…；给…称号；使…有权利
researcher,n. 研究员
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
powerless,adj. 无力的； 无能力的，无权的
stomachache,n. 腹痛，肚子痛；胃痛
exclude,vt. 排除；排斥；拒绝接纳；逐出
sentiment,n. 感情，情绪；情操；观点；多愁善感
out of consideration for ...,找不到解释
forbid,vt. 禁止；不准；不允许；严禁
physically,adv. 身体上，身体上地
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
obligation,n. 义务；职责；债务
generously,adv. 慷慨地；宽大地；丰盛地
furnish,vt. 提供；供应；装备
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
punctual,adj. 准时的，守时的；精确的
impatient,adj. 焦躁的；不耐心的
survival,n. 幸存，残存；幸存者，残存物
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
significance,n. 意义；重要性；意思
rental,"n. 租金收入，租金；租赁
adj. 租赁的；收取租金的"
hitchhike,"n. 搭便车（旅行）
vt. 要求（搭便车）
vi. 搭便车"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
Thanksgiving,找不到解释
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
recipe,n. 食谱； 处方；秘诀；烹饪法
leadership,n. 领导能力；领导阶层
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
numerous,adj. 许多的，很多的
imply,vt. 意味；暗示；隐含
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
robbery,n. 抢劫，盗窃；抢掠
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
at random,"na. 碰运气地；无目标地
 随便地；随机地；随意地"
install,vt. 安装；任命；安顿
burglar,n. 夜贼，窃贼
had better do,"na. 最好；最好…
 最好做某事；最好还是；应该"
glorious,adj. 光荣的；辉煌的；极好的
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
interpret,"vi. 解释；翻译
vt. 说明；口译"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
architect,"n. 建筑师
缔造者"
modify,"vt. 修改，修饰；更改
vi. 修改"
astonishing,"adj. 惊人的；令人惊讶的
v. 使…惊讶；使…诧异（astonish的ing形式）"
infection,n. 感染；传染；影响；传染病
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
isolated,"adj. 孤立的；分离的；单独的； 绝缘的
v. 使孤立；使绝缘；脱离（isolate的过去分词）"
omit,vt. 省略；遗漏；删除；疏忽
unimportant,adj. 不重要的；琐碎的
satisfactory,adj. 满意的；符合要求的；赎罪的
someday,adv. 有一天，有朝一日
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
considering,"conj. 考虑到
prep. 考虑到；就...而论
v. 考虑到（consider的ing形式）"
tournament,n. 锦标赛，联赛；比赛
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
peel,"n. 皮
v. 剥，剥落；削"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
touching,"prep. 至于，关于
v. 接触；感动（touch的ing形式）
adj. 动人的，令人同情的"
portray,vt. 描绘；扮演
courageous,adj. 有胆量的，勇敢的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
conservation,n. 保存，保持；保护
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
utterly,adv. 完全地；绝对地；全然地；彻底地，十足地
prohibit,vt. 阻止，禁止
for the sake of ...,找不到解释
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
at a time,"na. 一次(多少)；同时；曾经；连续
 每次；一下子；每一次"
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
