dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
classroom,n. 教室
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
lifestyle,"n. 生活方式
保健的"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
ago,"adj. 以前的；过去的
adv. 以前，以往"
fisherman,n. 渔夫；渔人
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
soda,n. 苏打；碳酸水
tomato,n. 番茄，西红柿
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
landlord,n. 房东，老板；地主
lifeboat,n.  救生艇，救生船
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
backup,"n. 支持；后援；阻塞
adj. 支持的；候补的
vt. 做备份"
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
offline,"n. 脱机；挂线
adj. 脱机的；离线的，未连线的
adv. 未连线地"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
wasteland,n. 荒地，不毛之地；未开垦地，荒漠；（精神或文化上的）贫乏
thanksgiving,n. 感恩
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
metre,n. 米；公尺；韵律
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
human,"n. 人；人类
adj. 人的；人类的"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
backyard,n. 后院；后庭
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
vocabulary,n. 词汇；词表；词汇量
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
spider,n. 蜘蛛；设圈套者；三脚架
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
emperor,n. 皇帝，君主
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
dumpling,n. 饺子，汤团；面团布丁
idea,n. 想法；主意；概念
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
poet,n. 诗人
deadline,n. 截止期限，最后期限
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
supper,n. 晚餐，晚饭；夜宵
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
god,找不到解释
whereas,conj. 然而；鉴于；反之
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
meanwhile,"adv. 同时，其间
n. 其间，其时"
washroom,n. 洗手间；盥洗室；厕所
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
firework,n. 烟火；激烈情绪
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
cloth,"n. 布；织物；桌布
adj. 布制的"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
typewrite,v. 打字，用打字机打
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
song,n. 歌曲；歌唱；诗歌；鸣声
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
petrol,n. （英）汽油
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
eve,n. 前夕；傍晚；重大事件关头
homemade,adj. 自制的；国产的；像家里做的
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
friend,n. 朋友；助手；赞助者
pair,"n. 一对，一双，一副
vt. 把…组成一对"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
luck,"n. 运气；幸运；带来好运的东西
vi. 靠运气，走运；凑巧碰上"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
heaven,n. 天堂；天空；极乐
therefore,adv. 因此；所以
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
volleyball,n. 排球
spaceship,n.  宇宙飞船
mountain,n. 山；山脉
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
could,"aux. 能够
v. 能（can的过去式）"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
seatbelt,n. 座位安全带
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
deer,n. 鹿
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
community,n. 社区； 群落；共同体；团体
numerous,adj. 许多的，很多的
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
text,"n.  文本；课文；主题
vt. 发短信"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
noon,n. 中午；正午；全盛期
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
postcard,n. 明信片
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
superpower,n. 超级大国；超级强权
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
toothache,n.  牙痛
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
pupil,n. 学生； 瞳孔；未成年人
insect,n. 昆虫；卑鄙的人
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
logo,n. 商标，徽标；标识语
hen,n. 母鸡；女人；雌禽
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
policemen,n. 警察（policeman的复数形式）
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
maybe,"adv. 也许；可能；大概
n. 可能性；不确定性"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
zone,  地带、地区（德语）
workmate,n. 同事；工友
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
penny,n. （美）分；便士
dolphin,n. 海豚
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
upward,"adj. 向上的；上升的
adv. 向上"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
headache,n. 头痛；麻烦；令人头痛之事
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
astronaut,n. 宇航员，航天员；太空旅行者
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
