unofficial,adj. 非官方的；非正式的
considerate,adj. 体贴的；体谅的；考虑周到的
considerable,adj. 相当大的；重要的，值得考虑的
innumerable,adj. 无数的，数不清的
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
implant,"n.  植入物；植入管
vt. 种植；灌输；嵌入
vi. 被移植"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
supplant,vt. 代替；排挤掉
audible,"adj. 听得见的
听得见地"
edible,"n. 食品；食物
adj. 可食用的"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
impinge,"vi. 撞击；侵犯
vt. 撞击"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
option,n.  选项；选择权；买卖的特权
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
cooperate,vi. 合作，配合；协力
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
profession,n. 职业，专业；声明，宣布，表白
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
obsess,vt. 迷住，缠住；使…着迷；使…困扰
assess,vt. 评定；估价；对…征税
accessible,adj. 易接近的；可进入的；可理解的
accentuate,vt. 强调；重读
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
mixed,"adj. 混合的；形形色色的；弄糊涂的
v. 混合；弄混（mix的过去式和过去分词）"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
interlock,v.  互锁；连锁
interlink,"n. 连环
vt. 连接；把……互相连结"
brink,n. （峭壁的）边缘
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
shrank,v. 收缩（shrink的过去式）；缩小
shrunk,v. 收缩（shrink的过去分词）
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
sank,"vt. 沉陷（sink的过去式）
vi. 沉陷（sink的过去式）"
sunk,"adj. 凹陷的
vi. 下沉（sink的过去分词和过去式）"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
totem,n. 图腾；崇拜物
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
emotion,n. 情感；情绪
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
motivate,vt. 刺激；使有动机；激发…的积极性
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
scorch,"n. 烧焦；焦痕
vt. 烧焦；使枯萎；挖苦
vi. 烧焦；枯萎"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
resource,n. 资源，财力；办法；智谋
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
bulge,"n. 胀；膨胀；凸出部分
vt. 使膨胀；使凸起
vi. 膨胀；凸出"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
thaw,"n. 解冻；融雪
vt. 使融解；使变得不拘束
vi. 融解；变暖和"
thwart,"prep. 横过
n. 划手座；独木舟的横梁
vt. 挫败；反对；阻碍；横过
adj. 横放的；固执的
adv. 横过"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
drew,draw的过去式
drawn,"v. 画，绘图（draw的过去分词）
adj. 拔出的"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
withdrew,v. 收回（withdraw的过去式）
withdrawn,"v. 取出；撤退（withdraw的过去分词）
adj. 偏僻的；沉默寡言的；孤独的"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
manual,"adj. 手工的；体力的
n. 手册，指南"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
well-being,n. 幸福；康乐
dwell,vi. 居住；存在于；细想某事
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
increment,n.  增量；增加；增额；盈余
deceased,"n. 死者； 被继承人
adj. 已故的
vi. 死亡（decease的过去式）"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
cessation,n. 停止；中止；中断
incessant,adj. 不断的；不停的；连续的
etch,"n. 刻蚀；腐蚀剂
vt. 蚀刻；鲜明地描述；铭记
vi. 蚀刻"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
cautious,adj. 谨慎的；十分小心的
precarious,adj. 危险的；不确定的
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
gloomy,adj. 黑暗的；沮丧的；阴郁的
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
boon,"n. 恩惠；福利；利益
adj. 愉快的；慷慨的"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
concoct,vt. 捏造；混合而制；调合；图谋
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
scenery,n. 风景；景色；舞台布景
scenario,n. 方案；情节；剧本；设想
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
configuration,n. 配置；结构；外形
metaphor,n. 暗喻，隐喻；比喻说法
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
affirm,"vt. 肯定；断言
vi. 确认；断言"
confirm,vt. 确认；确定；证实；批准；使巩固
assure,vt. 保证；担保；使确信；弄清楚
reassure,vt. 使…安心，使消除疑虑
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
slid,v. 滑；滑落；不知不觉地陷入（slide的过去分词）
slid,v. 滑；滑落；不知不觉地陷入（slide的过去分词）
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
interplay,"n. 相互影响，相互作用
vi. 相互影响，相互作用"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
nervous,adj. 神经的；紧张不安的；强健有力的
classify,vt. 分类；分等
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
statistic,"n. 统计数值
adj. 统计的，统计学的"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
tradition,n. 惯例，传统；传说
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
situation,n. 情况；形势；处境；位置
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
captivate,vt. 迷住，迷惑
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
recount,"n. 重算
vt. 叙述；重新计算"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
insist,"vi. 坚持，强调
vt. 坚持，强调"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
consist,vi. 由…组成；在于；符合
consistent,adj. 始终如一的，一致的；坚持的
resilient,"adj. 弹回的，有弹力的
adj. 能复原的；有复原力的"
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
empower,vt. 授权，允许；使能够
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
harmony,n. 协调；和睦；融洽；调和
alarming,"adj. 令人担忧的；使人惊恐的
v. 使惊恐（alarm的ing形式）"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
available,adj. 可获得的；可购得的；可找到的；有空的
prevail,vi. 盛行，流行；战胜，获胜
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
recollect,v. 回忆，想起
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
