purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
clever,"adj. 聪明的；机灵的；熟练的
"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
wisdom,n. 智慧，才智；明智；学识；至理名言
wit,"n. 智慧；才智；智力
v. <古>知道；即"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
ego,n. 自我；自负；自我意识
idiot,n. 笨蛋，傻瓜；白痴
elite,n. 精英；精华；中坚分子
talent,n. 才能；天才；天资
talented,adj. 有才能的；多才的
genius,n. 天才，天赋；精神
ability,n. 能力，能耐；才能
able,adj. 能； 有能力的；能干的
capable,adj. 能干的，能胜任的；有才华的
capability,n. 才能，能力；性能，容量
capacity,n. 能力；容量；资格，地位；生产力
skill,n. 技能，技巧；本领，技术
skilled,adj. 熟练的；有技能的；需要技能的
excellent,adj. 卓越的；极好的；杰出的
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
diligent,adj. 勤勉的；用功的，费尽心血的
diligence,n. 勤奋，勤勉；注意的程度
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endeavorer,n. 努力；尽力（等于endeavour） (endeavor的变形)
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
eloquently,adv. 善辩地；富于表现力地
eloquentness, 雄辩
instruct,vt. 指导；通知；命令；教授
instruction,n. 指令，命令；指示；教导；用法说明
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
theory,n. 理论；原理；学说；推测
theoretical,adj. 理论的；理论上的；假设的；推理的
theoretic,adj. 理论上的；空谈的
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
concept,n. 观念，概念
conception,n. 怀孕；概念；设想；开始
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
revision,n.  修正；复习；修订本
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
recitation,n. 背诵；朗诵；详述；背诵的诗
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
scanner,n.  扫描仪；扫描器；光电子扫描装置
admission,n. 承认；入场费；进入许可；坦白；录用
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptable,adj. 可接受的；合意的；可忍受的
acceptance,n. 接纳；赞同；容忍
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concentration,n. 浓度；集中；浓缩；专心；集合
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
emphasise,vt. （英）强调；加强…的语气（等于emphasize ）
emphasize,vt. 强调，着重
emphasis,n. 重点；强调；加强语气
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
detailed,"adj. 详细的，精细的；复杂的，详尽的
v. 详细说明（detail的过去分词）"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perception,n. 知觉； 感觉；看法；洞察力；获取
detect,vt. 察觉；发现；探测
detection,n. 侦查，探测；发觉，发现；察觉
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observation,n. 观察；监视；观察报告
observer,n. 观察者； 观测者；遵守者
comprehend,vt. 理解；包含；由…组成
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
misunderstand,vt. 误解；误会
misunderstanding,n. 误解；误会；不和
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
imply,vt. 意味；暗示；隐含
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
clarification,n. 澄清，说明；净化
specify,vt. 指定；详细说明；列举；把…列入说明书
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
illustration,n. 说明；插图；例证；图解
demonstrate,"vt. 证明；展示；论证
vi. 示威"
demonstration,n. 示范；证明；示威游行
demonstrator,n. 示威者；论证者；指示者；证明者
describe,vt. 描述，形容；描绘
description,n. 描述，描写；类型；说明书
define,vt. 定义；使明确；规定
definite,adj. 一定的；确切的
definitely,adv. 清楚地，当然；明确地，肯定地
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expansion,n. 膨胀；阐述；扩张物
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
exaggeration,n. 夸张；夸大之词；夸张的手法
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
distinct,adj. 明显的；独特的；清楚的；有区别的
diverse,adj. 不同的；多种多样的；变化多的
diversity,n. 多样性；差异
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
substance,n. 物质；实质；资产；主旨
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
inspection,n. 视察，检查
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
pronunciation,n. 发音；读法
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
recorder,n. 录音机；记录器；记录员；八孔直笛
seminar,n. 讨论会，研讨班
forum,n. 论坛，讨论会；法庭；公开讨论的广场
lesson,"n. 教训；课
vt. 教训；上课"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
lecturer,n. 讲师，演讲者
textbook,n. 教科书，课本
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
alpha,n. 希腊字母的第一个字母；开端；最初
vocabulary,n. 词汇；词表；词汇量
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
grammar,n. 语法；语法书
grammatical,adj. 文法的；符合语法规则的
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
optimal,adj. 最佳的；最理想的
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
tackle the problem,找不到解释
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
enlighten,vt. 启发，启蒙；教导，开导；照耀
enlightenment,n. 启迪；启蒙运动；教化
enhance,vt. 提高；加强；增加
enable,vt. 使能够，使成为可能；授予权利或方法
able,adj. 能； 有能力的；能干的
ability,n. 能力，能耐；才能
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
inspiration,n. 灵感；鼓舞；吸气；妙计
motivate,vt. 刺激；使有动机；激发…的积极性
motivation,n. 动机；积极性；推动
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
stimulation,n. 刺激；激励，鼓舞
stimulus,n. 刺激；激励；刺激物
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
impetus,n. 动力；促进；冲力
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
indulgent,adj. 放纵的；宽容的；任性的
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
orientation,n. 方向；定向；适应；情况介绍；向东方
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
literature,n. 文学；文献；文艺；著作
literary,adj. 文学的；书面的；精通文学的
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
author,"n. 作者；作家；创始人
vt. 创作出版"
magazine,n. 杂志；弹药库；胶卷盒
journal,n. 日报，杂志；日记；分类账
journey,"n. 旅行；行程
vi. 旅行"
bibliography,n. 参考书目；文献目录
encyclopedia,n. 百科全书（亦是encyclopaedia）
biography,n. 传记；档案；个人简介
biology,n. （一个地区全部的）生物；生物学
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
documentation,"n. 文件, 证明文件, 史实, 文件编制"
series,n. 系列，连续； 串联；级数；丛书
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
shorthand,"n. 速记；速记法
adj. 速记法的"
shorthanded,adj. 人手不够的，人手不足的
brochure,n. 手册，小册子
manual,"adj. 手工的；体力的
n. 手册，指南"
manually,adv. 手动地；用手
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
category,n. 种类，分类； 范畴
inventory,n. 存货，存货清单；详细目录；财产清册
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
assignment,n. 分配；任务；作业；功课
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
dictation,n. 听写；口述；命令
thesis,n. 论文；论点
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
composer,n. 作曲家；作家，著作者；设计者
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
printer,n.  打印机；印刷工；印花工
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
overhead projector,"n. 投影仪
 投影机；高射投影仪；高影机"
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
outset,n. 开始；开端
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
questionnaire,n. 问卷；调查表
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
opinion,n. 意见；主张
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
cite,vt. 引用；传讯；想起；表彰
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
quotation,n.  报价单；引用语；引证
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extraction,n. 取出；抽出；拔出；抽出物；出身
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
excerption,"n. 摘, 选录, 抄录"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abstracted,adj. 心不在焉的；出神的；分离出来的；抽出的
abstraction,n. 抽象；提取；抽象概念；空想；心不在焉
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
exemplify,vt. 例证；例示
paradigm,n. 范例；词形变化表
paradigmatic,adj. 词形变化的；范例的
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
instance,"n. 实例；情况；建议
vt. 举...为例"
confirm,vt. 确认；确定；证实；批准；使巩固
affirmative,"n. 肯定语；赞成的一方
adj. 肯定的；积极的"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
prove,"vi. 证明是
vt. 证明；检验；显示"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
determinant,"n. 决定因素； 行列式
adj. 决定性的"
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
resolution,n.  分辨率；决议；解决；决心
solution,n. 解决方案；溶液；溶解；解答
