economic,adj. 经济的，经济上的；经济学的
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
specification,n. 规格；说明书；详述
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
stimulus,n. 刺激；激励；刺激物
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
underestimate,"n. 低估
vt. 低估；看轻"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
appliance,n. 器具；器械；装置
authentic,adj. 真正的，真实的；可信的
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
detection,n. 侦查，探测；发觉，发现；察觉
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
energetic,adj. 精力充沛的；积极的；有力的
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
obsession,n. 痴迷；困扰； 强迫观念
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
insane,adj. 疯狂的；精神病的；极愚蠢的
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
massive,adj. 大量的；巨大的，厚重的；魁伟的
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
odor,n. 气味；名声
optical,adj. 光学的；眼睛的，视觉的
partial,adj. 局部的；偏爱的；不公平的
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
prospective,"n. 预期；展望
adj. 未来的；预期的"
religion,n. 宗教；宗教信仰
transit,"n. 运输；经过
vt. 运送
vi. 经过"
universe,n. 宇宙；世界；领域
wallet,n. 钱包，皮夹
arrogant,adj. 自大的，傲慢的
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
incur,vt. 招致，引发；蒙受
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
predecessor,n. 前任，前辈
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
allege,vt. 宣称，断言；提出…作为理由
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
assistance,n. 援助，帮助；辅助设备
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
collaboration,n. 合作；勾结；通敌
concentration,n. 浓度；集中；浓缩；专心；集合
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
feasible,adj. 可行的；可能的；可实行的
implicit,adj. 含蓄的；暗示的；盲从的
indefinite,adj. 不确定的；无限的；模糊的
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
sentiment,n. 感情，情绪；情操；观点；多愁善感
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
consensus,n. 一致；舆论；合意
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
formulate,vt. 规划；用公式表示；明确地表达
literal,adj. 文字的；逐字的；无夸张的
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
minimal,adj. 最低的；最小限度的
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
tragic,adj. 悲剧的；悲痛的，不幸的
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
condemn,vt. 谴责；判刑，定罪；声讨
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
nonetheless,adv. 尽管如此，但是
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
testimony,n.  证词，证言；证据
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
celebrity,n. 名人；名声
dressing,"n. 穿衣；加工；调味品；装饰；梳理
v. 给…穿衣；为…打扮（dress的现在分词）"
ecosystem,n. 生态系统
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
malpractice,n. 玩忽职守；不法行为；治疗不当
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
accordance,n. 一致；和谐
acquaintance,n. 熟人；相识；了解；知道
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
anonymous,adj. 匿名的，无名的；无个性特征的
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
classification,n. 分类；类别，等级
cling,vi. 坚持，墨守；紧贴；附着
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
commodity,n. 商品，货物；日用品
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
conception,n. 怀孕；概念；设想；开始
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
displace,vt. 取代；置换；转移；把…免职；排水
ecology,n. 生态学；社会生态学
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
elicit,vt. 抽出，引出；引起
empirical,adj. 经验主义的，完全根据经验的；实证的
expel,vt. 驱逐；开除
extinguish,vt. 熄灭；压制；偿清
fabricate,vt. 制造；伪造；装配
famine,n. 饥荒；饥饿，奇缺
fertilizer,n.  肥料；受精媒介物；促进发展者
finite,"n. 有限之物
adj. 有限的；限定的"
fitting,"n. 装配，装置；试穿，试衣
adj. 适合的，适宜的；相称的"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
garbage,n. 垃圾；废物
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
hurricane,n. 飓风，暴风
impatient,adj. 焦躁的；不耐心的
impetus,n. 动力；促进；冲力
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
inhibit,vt. 抑制；禁止
intelligible,adj. 可理解的；明了的；仅能用智力了解的
intimidate,vt. 恐吓，威胁；胁迫
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
negligible,adj. 微不足道的，可以忽略的
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
pastime,n. 娱乐，消遣
porch,n. 门廊；走廊
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
preclude,vt. 排除；妨碍；阻止
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
scenario,n. 方案；情节；剧本；设想
medication,n. 药物；药物治疗；药物处理
mentor,"n. 指导者，良师益友
vt. 指导"
allergic,adj. 对…过敏的；对…极讨厌的
questionnaire,n. 问卷；调查表
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
reassure,vt. 使…安心，使消除疑虑
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
reside,vi. 住，居住；属于
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
rhythm,n. 节奏；韵律
scandal,n. 丑闻；流言蜚语；诽谤；公愤
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
