bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
august,"n. 八月（简写为Aug）
adj. 威严的；令人敬畏的"
corpulent,adj. 肥胖的
jab,"n. 戳；猛击；注射
vi. 戳；刺；用拳猛击
vt. 戳；猛击；用拨火棒等捅"
semblance,n. 外貌；假装；类似
cross-examine,"vt. 盘诘；反复询问
vi. 盘问"
offhand,"adj. 随便的；即时的；无准备的；即席的
adv. 随便地；即席地；即时地"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
exemplary,adj. 典范的；惩戒性的；可仿效的
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
flatten,"vt. 击败，摧毁；使……平坦
vi. 变平；变单调"
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
divulge,vt. 泄露；暴露
reprove,"vt. 责骂；谴责；非难
vi. 责备；指责；非难"
gabble,"n. 急促不清的话
vt. 喋喋不休地说；七嘴八嘴地说
vi. 急促而含糊地说话"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
rationalize,"vt. 使……合理化；使……有理化；为……找借口
vi. 实行合理化；作辩解；合理地思考"
dainty,"n. 美味
adj. 美味的；讲究的；秀丽的；挑剔的"
propel,vt. 推进；驱使；激励；驱策
simmer,"vt. 炖
vi. 炖；内心充满；即将爆发
n. 炖；即将沸腾的状态；即将发作"
gregarious,adj. 社交的；群居的
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
bulge,"n. 胀；膨胀；凸出部分
vt. 使膨胀；使凸起
vi. 膨胀；凸出"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
eerie,adj. 可怕的；怪异的
hump,"n. 驼峰；驼背；圆形隆起物
vt. 使隆起；使烦恼
vi. 隆起；弓起；努力；急速行进"
cramp,"n. 痉挛，绞痛； 铁夹钳
adj. 狭窄的；难解的；受限制的
vt. 束缚，限制；使…抽筋；以铁箍扣紧"
redraw,vt. 重画
reorient,vt. 使适应；再调整
dapper,adj. 短小精悍的；衣冠楚楚的；整洁的；整齐的
extradite,vt. 引渡；获取…的引渡
accentuate,vt. 强调；重读
bizarre,adj. 奇异的（指态度，容貌，款式等）
venerate,vt. 崇敬，尊敬
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
electrify,vt. 使电气化；使充电；使触电；使激动
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
credentials,"n.  证书；文凭；信任状（credential的复数）
v. 得到信用；授…以证书（credential的三单形式）"
erratic,"n. 漂泊无定的人；古怪的人
adj. 不稳定的；古怪的"
constancy,n. 坚定不移；恒久不变
illustrious,adj. 著名的，杰出的；辉煌的
pervade,vt. 遍及；弥漫
errant,adj. 不定的；周游的；错误的；偏离正路的
peripheral,"adj. 外围的；次要的；（神经）末梢区域的
n. 外部设备"
ingenuous,adj. 天真的；坦白的；正直的；朴实的
hector,"n. 虚张声势的人；威吓者；恃强凌弱的人
vt. 威吓；欺凌
vi. 威吓；愚弄"
lucid,adj. 明晰的；透明的；易懂的；头脑清楚的
lush,"adj. 丰富的，豪华的；苍翠繁茂的
vi. 喝酒
n. 酒；酒鬼
vt. 饮"
transfigure,vt. 使变形；使改观；美化；理想化
spout,"n. 喷口；水龙卷；水落管；水柱
vt. 喷出；喷射；滔滔不绝地讲；把…典当掉
vi. 喷出；喷射；滔滔不绝地讲"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
prolific,adj. 多产的；丰富的
protracted,"adj. 拖延的
v. 拖延；绘制；伸展（protract的过去分词）"
incise,vt. 切；切割；雕刻
cursory,adj. 粗略的；草率的；匆忙的
ludicrous,adj. 滑稽的；荒唐的
disparity,n. 不同；不一致；不等
irascible,adj. 易怒的
transfuse,vt. 输血；灌输；注入
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
mellow,"adj. 圆润的，柔和的；成熟的；芳醇的
vt. 使成熟；使柔和
vi. 成熟；变柔和"
transcend,vt. 胜过，超越
seduce,vt. 引诱；诱惑；诱奸；怂恿
irrepressible,adj. 抑制不住的；压服不了的
dispensable,adj. 可有可无的；非必要的
impending,"adj. 即将发生的；迫切的；悬挂的
v. 迫近；悬空（impend的现在分词）"
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
segregate,vt. 使隔离；使分离；在…实行种族隔离
pounce,"n. 猛扑，爪
vt. 扑过去抓住
vi. 突袭，猛扑"
fend,"vi. 照料；供养；力争
vt. 谋生；保护；挡开；供养"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
whisk,"n. 搅拌器；扫帚；毛掸子
vt. 拂，掸；搅拌；挥动
vi. 飞奔，疾过"
pretentious,adj. 自命不凡的；炫耀的；做作的
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
blurt,vt. 未加思索地冲口说出；突然说出
retaliate,"vi. 报复；回敬
vt. 报复"
hassle,"n. 困难，麻烦；激战
vt. 找麻烦，搅扰；与…争辩；使…烦恼
vi. 争论，争辩"
conjecture,"n. 推测；猜想
vt. 推测
vi. 推测；揣摩"
perceptive,adj. 感知的，知觉的；有知觉力的
snuff,"n. 鼻烟；烛花；灯花
vt. 剪烛花；掐灭；消灭；嗅出
vi. 扑灭；断气；嗅"
incoherent,adj. 语无伦次的；不连贯的；不合逻辑的
convulse,vt. 震撼；使剧烈震动；使抽搐
entreat,"vt. 恳求；请求
vi. 恳求；乞求"
eavesdrop,"n. 屋檐上流下来的水
vi. 偷听，窃听"
swivel,"n. 转环；转椅座架
vt. 使旋转
vi. 旋转"
extraneous,adj. 外来的；没有关联的；来自体外的
inescapable,adj. 不可避免的；逃脱不了的
versatility,n. 多功能性；多才多艺；用途广泛
defoliate,"vt. 使落叶
vi. 落叶"
prospective,"n. 预期；展望
adj. 未来的；预期的"
obliterate,vt. 消灭；涂去；冲刷；忘掉
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
centralize,"vt. 使集中；使成为…的中心；使集权
vi. 集中；实行中央集权"
sufferance,n. 容许；忍耐；默许
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
mash,"n. 饲料；糊状物；麦芽浆
vt. 捣碎；调情"
swoop,"n. 猛扑；俯冲；突然袭击
vt. 攫取；抓起
vi. 猛扑；突然袭击；突然下降；飞扑"
condescend,vi. 屈尊；俯就；（对某人）表现出优越感
domesticate,"vt. 驯养；教化；引进
vi. 驯养；使习惯于或喜爱家务和家庭生活"
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
turmoil,n. 混乱，骚动
tout,"vt. 兜售；招徕；刺探赛马情报
vi. 兜售；招徕顾客；拉选票
n. 侦查者；兜售者"
husky,"adj. 声音沙哑的；有壳的；强壮的
n. 强壮结实之人；爱斯基摩人"
agonizing,"adj. 苦恼的；痛苦难忍的
vt. 使极度痛苦；折磨（agonize的ing形式）
vi. 感到极度痛苦（agonize的ing形式）"
superimpose,vt. 添加；重叠；附加；安装
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
fetter,"n. 束缚；羁绊；脚镣
vt. 束缚；加脚镣"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
wreathe,"vt. 用花环装饰；将…做成花环；包围；覆盖
vi. 缭绕；成圈状；扭曲；环绕盘旋"
indisposed,"adj. 不舒服的；不愿意的；不合适的
v. 使厌恶，使不适当，使不能（indispose的过去式）"
itemize,vt. 逐条列记
hoary,adj. 久远的，古老的；灰白的
shun,vt. 避开，避免；回避
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
remorse,n. 懊悔；同情
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
haggard,"n. 野鹰
adj. 憔悴的；野性的"
boisterous,adj. 喧闹的；狂暴的；猛烈的
intermingle,"vt. 使混合；使搀和
vi. 混合；掺杂"
heart-rending,adj. 悲惨的；令人心碎的
luscious,adj. 甘美的；满足感官的
livid,adj. 铅色的；青灰色的；非常生气的
languish,vi. 憔悴；凋萎；失去活力；苦思
forego,vt. 放弃；居先；在……之前
egocentric,"adj.  自我中心的；利己主义的
n. 利己主义者"
knowhow,n. 诀窍，技巧；情报；实际的能力；专门技术
decelerate,"vt. 使减速
vi. 减速，降低速度"
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
preoccupied,"v. 抢先占有；使…全神贯注（preoccupy的过去式）
adj. 全神贯注的；心事重重的；被先占的"
cumulative,adj. 累积的
highhanded,adj. 1。专横的
capsize,"vt. 倾覆（特指船）；翻覆；弄翻
vi. 翻；倾覆；翻覆"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
odds,n. 几率；胜算；不平等；差别
ejaculate,"n. 一次射出的精液
vt. 突然说出；射出
vi. 射精；射出液体"
resurrect,"vt. 使复活；复兴；挖出
vi. 复活"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
ardor,n. 热情；狂热；灼热
ardour,n. 激情；热情；情欲；灼热
elucidate,vt. 阐明；说明
precarious,adj. 危险的；不确定的
loll,"vi. 懒洋洋地倚靠
vt. 懒洋洋地倚靠"
mutilate,vt. 切断，毁坏；使…残缺不全；使…支离破碎
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
clinch,"n. 拥吻；钉牢
v. 扭住；敲弯；最终确定或解决"
gloss,"n. 光彩；注释；假象
vt. 使光彩；掩盖；注释"
forsake,vt. 放弃；断念
supplant,vt. 代替；排挤掉
preclude,vt. 排除；妨碍；阻止
sidle,"n. 侧走；挨近
vt. 侧身而行；悄悄贴近
vi. 侧身而行；悄悄贴近"
repine,vi. 抱怨；不满
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
corroborate,vt. 证实；使坚固
potent,adj. 有效的；强有力的，有权势的；有说服力的
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
paralysis,n. 麻痹；无力；停顿
wring,"vt. 拧；绞；紧握；使痛苦；折磨
vi. 蠕动；扭动；感到痛苦；感到苦恼
n. 拧；绞；挤；扭动"
quizzical,adj. 古怪的；引人发笑的；探询的；嘲弄的
endow,vt. 赋予；捐赠；天生具有
fudge,"n. 软糖；胡说；谎话
vt. 捏造；粗制滥造；回避
vi. 逃避责任；欺骗；蒙混
int. 胡说八道！"
infallible,"n. 永远正确的人；绝无谬误的事物
adj. 绝对可靠的；绝无错误的"
constrain,vt. 驱使；强迫；束缚
rid,vt. 使摆脱；使去掉
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
pedantic,adj. 迂腐的；学究式的；卖弄学问的；假装学者的
formulate,vt. 规划；用公式表示；明确地表达
multilateral,adj.  多边的；多国的，多国参加的
heterodox,adj. 异端的；非正统的
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
acquiesce,vi. 默许；勉强同意
outspoken,adj. 坦率的，直言不讳的
heresy,n. 异端；异端邪说；异教
legitimize,vt. 使…合法；立为嫡嗣
prodigal,"n. 浪子；挥霍者
adj. 挥霍的；十分慷慨的"
apathy,n. 冷漠，无兴趣，漠不关心；无感情
entice,vt. 诱使；怂恿
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
precipitous,adj. 险峻的；急躁的，鲁莽的
deterrent,"n. 威慑；妨碍物；挽留的事物
adj. 遏制的，威慑的；制止的"
gaiety,n. 快乐，兴高采烈；庆祝活动，喜庆；（服饰）华丽，艳丽
calculating,"adj. 计算的；深谋远虑的；审慎的
v. 计算（calculate的ing形式）"
illicit,adj. 违法的；不正当的
slimy,adj. 黏滑的；泥泞的；谄媚的，虚伪的
slug,"n. 鼻涕虫；动作缓慢的人；金属小块
vt. 重击
vi. 偷懒；动作迟缓"
capricious,adj. 反复无常的；任性的
repulse,"n. 拒绝；击退
vt. 拒绝；驱逐；憎恶"
fiscal,adj. 会计的，财政的；国库的
vicarious,adj. 替代的；代理的；发同感的
accredit,vt. 授权；信任；委派；归因于
inoffensive,adj. 不触犯人的；无害的；没恶意的
virtue,n. 美德；优点；贞操；功效
mumble,"vt. 含糊地说；抿着嘴嚼
vi. 含糊地说话
n. 含糊的话；咕噜"
similar,"n. 类似物
adj. 相似的"
woo,"vt. 追求；招致；向…求爱；恳求
vi. 求爱；恳求"
taunt,"n. 嘲弄；讥讽
adj. 很高的
vt. 奚落；逗弄"
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
superfluous,adj. 多余的；不必要的；奢侈的
sidestep,"n. 台阶；横跨的一步
vt. 回避；横跨一步躲避
vi. 回避问题；侧向跨步"
expunge,vt. 擦去；删掉
oblivion,n. 遗忘；湮没；赦免
paralytic,"n. 中风患者；麻痹患者
adj. 麻痹的；瘫痪的；中风的"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
delimit,vt. 划界；定界限
dilapidated,"adj. 荒废的，要塌似的；破坏的
v. 变得荒废（dilapidate的过去分词）"
abusive,adj. 辱骂的；滥用的；虐待的
deride,vt. 嘲笑；嘲弄
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
relentless,adj. 无情的；残酷的；不间断的
ceremonious,adj. 隆重的；讲究仪式的；正式的
nibble,"vi. 细咬；一点一点地咬；吹毛求疵
vt. 细咬；一点一点地咬；吹毛求疵
n. 轻咬；啃；细咬"
execrable,adj. 恶劣的；可憎恨的
respite,"n. 缓解；暂缓；暂时的休息；缓期执行
vt. 使缓解；使暂缓；使延期；缓期执行"
budge,"n. 羔羊皮
vt. 使让步；移动；使改变态度或意见
vi. 挪动；微微移动；改变态度或意见；服从"
enhance,vt. 提高；加强；增加
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
wail,"n. 哀号；悲叹；恸哭声
vt. 为某人死亡而悲痛；哀悼某人；哀号着说
vi. 哀号；悲叹"
prerequisite,"n. 先决条件
adj. 首要必备的"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
maladjusted,adj. 失调的；不适应环境的
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
domineer,"vt. 盛气凌人
vi. 跋扈；作威作福"
quaver,"n. 颤抖；八分音符；颤音
vt. 颤抖
vi. 颤抖；发颤音"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
intrinsic,adj. 本质的，固有的
stalwart,"n. 坚定分子
adj. 坚定的；健壮的"
misappropriate,vt. 侵占；盗用；滥用
mesh,"n. 网眼；网丝；圈套
vi. 相啮合
vt.  啮合；以网捕捉"
circumstance,n. 环境，情况；事件；境遇
dilate,"vt. 使扩大；使膨胀
vi. 扩大；膨胀；详述"
impair,vt. 损害；削弱；减少
dislodge,"vt. 逐出，驱逐；使……移动；用力移动
vi. 驱逐，逐出；离开原位"
obligatory,adj. 义务的；必须的；义不容辞的
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
stalemate,"n. 僵局；陷于困境
vt. 使僵持；使陷入困境
vi. 僵持；陷入僵局"
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
hackle,"n. 针排；颈羽；手工梳麻台
vt. 梳理；乱砍"
hanker,vi. 向往，追求；渴望，期望
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
