state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
alphabetically,adv. 照字母顺序排列地
vocabulary,n. 词汇；词表；词汇量
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
amendment,n. 修正案；改善；改正
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
approximately,adv. 大约，近似地；近于
more or less,"na. 有几分；约；或多或少；一点也…
 差不多；有点儿；溢短装"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
arbitrary,adj.  任意的；武断的；专制的
bureaucracy,n. 官僚主义；官僚机构；官僚政治
bureaucrat,n. 官僚；官僚主义者
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circulation,n. 流通，传播；循环；发行量
catholic,"n. 天主教徒；罗马天主教
adj. 天主教的；宽宏大量的"
dreadful,adj. 可怕的；糟透的，令人不快的
fearful,adj. 可怕的；担心的；严重的
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
appalling,"adj. 可怕的；令人震惊的
v. 使惊愕；惊吓（appal的ing形式）"
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
self-contradictory,adj. 自相矛盾的
paradoxical,adj. 矛盾的；诡论的；似非而是的
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
digestive,"n. 助消化药
adj. 消化的；助消化的"
drought,n. 干旱；缺乏
famine,n. 饥荒；饥饿，奇缺
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
earnestness,n. 认真；诚挚；正经
in earnest,"na. 诚挚
 认真地；认真的；诚挚地"
scrupulous,adj. 细心的；小心谨慎的；一丝不苟的
diligent,adj. 勤勉的；用功的，费尽心血的
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
aroma,n. 芳香
atmosphere,n. 气氛；大气；空气
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
confront,vt. 面对；遭遇；比较
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
hospitality,n. 好客；殷勤
be hostile to,"na. 敌视
 怀有敌意；仇视；对……有敌意"
hostility,n. 敌意；战争行动
hemisphere,n. 半球
incompetent,"n. 无能力者
adj. 无能力的，不胜任的；不合适的；不适当的；无力的"
competently,adv. 胜任地；适合地
incompetently,adv. 无能力地；不胜任地
competent,adj. 胜任的；有能力的；能干的；足够的
incompetent to do sth.,找不到解释
hydrogen,n.  氢
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
element,n. 元素；要素；原理；成分；自然环境
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
inject,vt. 注入；注射
injection,n. 注射；注射剂；充血；射入轨道
be injected into,找不到解释
inset,"n. 插图，插页；插入物
vt. 嵌入；插入"
install,vt. 安装；任命；安顿
lest,conj. 唯恐，以免；担心
junction,n. 连接，接合；交叉点；接合点
disjunction,n. 分离；析取；分裂；折断
conjunction,n. 结合； 连接词；同时发生
connection,n. 连接；关系；人脉；连接件
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
lung,n. 肺；呼吸器
at the top of lungs,找不到解释
at the top of one's lungs,"na. 用最高嗓子
 声嘶力竭；用尽量大的声音；大声喊"
microscope,n. 显微镜
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
remold,vt. 改造；改铸
mold ... into ...,找不到解释
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
nervous,adj. 神经的；紧张不安的；强健有力的
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
forerunner,n. 先驱；先驱者；预兆
predecessor,n. 前任，前辈
practitioner,n. 开业者，从业者，执业医生
refreshment,n. 点心；起提神作用的东西；精力恢复
refreshing,"adj. 提神的；使清爽的；使人重新振作的
v. 使清新；恢复精神（refresh的ing形式）"
respectively,adv. 分别地；各自地，独自地
individually,adv. 个别地，单独地
slogan,n. 标语；呐喊声
motto,n. 座右铭，格言；箴言
proverb,n. 谚语，格言；众所周知的人或事
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
stumble across,"un. 踌躇地转着；偶然发现
 无意中发现"
stumble upon,"un. 踌躇地转着；碰上
 偶然发现；偶然找到；被卷入"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
vigorous,adj. 有力的；精力充沛的
vigorously,adv. 精神旺盛地，活泼地
robust,adj. 强健的；健康的；粗野的；粗鲁的
virus,n.  病毒；恶毒；毒害
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
breadth,n. 宽度，幅度；宽宏
abreast of," (使)与…齐头并列,(使)与…并驾齐驱;(使)不落后于;跟上"
keep abreast of,"na. 跟着(时代)跑
 了解……的最新情况；跟贴；跟上"
bellyful,n. 满腹；满肚子；过量
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
casualty,n. 意外事故；伤亡人员；急诊室
incapable,adj. 不能的；无能力的；不能胜任的
capacity,n. 能力；容量；资格，地位；生产力
cape,n.  海角，岬；披肩
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
assault on sb.,找不到解释
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
have some bearing on,找不到解释
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transferable,adj. 可转让的； 可转移的
comedy,n. 喜剧；喜剧性；有趣的事情
tragedy,n. 悲剧；灾难；惨案
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
relief,n. 救济；减轻，解除；安慰；浮雕
alleviate,vt. 减轻，缓和
palliate,vt. 减轻；掩饰；辩解
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
Bible,找不到解释
impinge,"vi. 撞击；侵犯
vt. 撞击"
arbiter,n.  仲裁者；裁决人
adornment,n. 装饰；装饰品
dweller,n. 居民，居住者
endorse,vt. 背书；认可；签署；赞同；在背面签名
intrusion,n. 侵入；闯入
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
differentiate,"vt. 区分，区别
vi. 区分，区别"
lenient,adj. 宽大的；仁慈的
leniency,n. 宽大，仁慈；温和
rule out,"na. 排除
 排除…的可能性；划去；拒绝考虑"
nostalgia,n. 乡愁；怀旧之情；怀乡病
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情"
anthropologist,n. 人类学家；人类学者
mundane,adj. 世俗的，平凡的；世界的，宇宙的
infuriating,"v. 使发怒（infuriate的ing形式）
adj. 令人大怒的"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
ecosystem,n. 生态系统
renaissance,n. 文艺复兴（欧洲14至17世纪）
ancestral,adj. 祖先的；祖传的
bribery,n.  贿赂；受贿；行贿
plump,"n. 扑通声
adj. 圆胖的，丰满的；鼓起的
vt. 使丰满；使鼓起；突然放下
adv. 沉重地；突然地
vi. 变丰满；鼓起"
panorama,n. 全景，全貌；全景画；概论
errand,n. 使命；差事；差使
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
