compatible,adj. 兼容的；能共处的；可并立的
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
thigh,n. 大腿，股
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
division,n.  除法；部门；分配；分割；师（军队）；赛区
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
mixture,n. 混合；混合物；混合剂
passerby,n. 行人，过路人
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
canteen,n. 食堂，小卖部；水壶
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
intricate,adj. 复杂的；错综的，缠结的
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
typical,adj. 典型的；特有的；象征性的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
concept,n. 观念，概念
injure,vt. 伤害，损害
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
property,n. 性质，性能；财产；所有权
lofty,adj. 高的；崇高的；高级的；高傲的
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
domain,n. 领域；域名；产业；地产
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
ruthless,adj. 无情的，残忍的
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
stability,n. 稳定性；坚定，恒心
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
congratulation,n. 祝贺；贺辞
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
intrinsic,adj. 本质的，固有的
facilitate,vt. 促进；帮助；使容易
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
intimidate,vt. 恐吓，威胁；胁迫
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
pest,n. 害虫；有害之物；讨厌的人
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
layout,n. 布局；设计；安排；陈列
survival,n. 幸存，残存；幸存者，残存物
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
zebra,"n.  斑马
adj. 有斑纹的"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
cricket,n. 板球，板球运动；蟋蟀
voltage,n.  电压
footstep,n. 脚步；脚步声；足迹
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
exemplify,vt. 例证；例示
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
zone,  地带、地区（德语）
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
certainty,n. 必然；确实；确实的事情
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
terrify,vt. 恐吓；使恐怖；使害怕
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
fireplace,n. 壁炉
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
injury,n. 伤害，损害；受伤处
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
largely,adv. 主要地；大部分；大量地
gratitude,n. 感谢（的心情）；感激
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
derive,"vt. 源于；得自；获得
vi. 起源"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
hospitality,n. 好客；殷勤
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
muscular,adj. 肌肉的；肌肉发达的；强健的
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
autonomy,n. 自治，自治权
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
genius,n. 天才，天赋；精神
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
waterfall,n. 瀑布；瀑布似的东西
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
reed,"n.  芦苇；簧片；牧笛；不可依靠的人
vt. 用芦苇盖；用芦苇装饰"
biased,adj. 有偏见的；结果偏倚的，有偏的
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
edit,"vt. 编辑；校订
n. 编辑工作"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
arrogant,adj. 自大的，傲慢的
instinct,"n. 本能，直觉；天性
adj. 充满着的"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
via,prep. 渠道，通过；经由
scenery,n. 风景；景色；舞台布景
statute,n.  法规；法令；条例
forum,n. 论坛，讨论会；法庭；公开讨论的广场
oriental,"adj. 东方的；东方人的
n. 东方人"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
mutton,n. 羊肉
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
considerate,adj. 体贴的；体谅的；考虑周到的
rat,"n. 鼠；卑鄙小人，叛徒
vi. 捕鼠；背叛，告密"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
kidney,n.  肾脏；腰子；个性
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
variety,n. 多样；种类；杂耍；变化，多样化
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
brittle,adj. 易碎的，脆弱的；易生气的
scrutiny,n. 详细审查；监视；细看；选票复查
pavement,"n. 人行道
路面"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
indignant,adj. 愤愤不平的；义愤的
emphasis,n. 重点；强调；加强语气
revenue,n. 税收，国家的收入；收益
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
instruct,vt. 指导；通知；命令；教授
rarely,adv. 很少地；难得；罕有地
evolution,n. 演变；进化论；进展
mingle,"vi. 混合；交往
vt. 使混合；使相混"
nitrogen,n.  氮
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
ministry,n. （政府的）部门
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
magnetic,adj. 地磁的；有磁性的；有吸引力的
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
Christ,"n. 基督；救世主
int. 天啊！"
jargon,n. 行话，术语；黄锆石
identification,n. 鉴定，识别；认同；身份证明
analyse,vt. 分析；分解；细察
analyze,vt. 对…进行分析，分解（等于analyse）
civilisation,n. （英）文明（等于civilization）
civilization,n. 文明；文化
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
circumstance,n. 环境，情况；事件；境遇
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
award,"n. 奖品；判决
vt. 授予；判定"
awful,adj. 可怕的；极坏的；使人敬畏的
glorious,adj. 光荣的；辉煌的；极好的
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
version,n. 版本；译文；倒转术
enclose,vt. 围绕；装入；放入封套
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
embody,vt. 体现，使具体化；具体表达
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
empire,n. 帝国；帝王统治，君权
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
conscious,adj. 意识到的；故意的；神志清醒的
complement,"n. 补语；余角；补足物
vt. 补足，补助"
fiction,n. 小说；虚构，编造；谎言
niece,n. 外甥女，侄女
accustom,vt. 使习惯于
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
obedience,n. 顺从；服从；遵守
laboratory,n. 实验室，研究室
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
perspective,"n. 观点；远景；透视图
adj. 透视的"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
superstition,n. 迷信
holder,n. 持有人；所有人；固定器；（台、架等）支持物
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
insight,n. 洞察力；洞悉
resource,n. 资源，财力；办法；智谋
superiority,n. 优越，优势；优越性
auditorium,n. 礼堂，会堂；观众席
explicit,adj. 明确的；清楚的；直率的；详述的
mercury,n. 水星
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
loudspeaker,n. 喇叭，扬声器；扩音器
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
