appoint,"vt. 任命；指定；约定
vi. 任命；委派"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
insurance,n. 保险；保险费；保险契约；赔偿金
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
laughter,n. 笑；笑声
manual,"adj. 手工的；体力的
n. 手册，指南"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
obtain,"vi. 获得；流行
vt. 获得"
occupation,n. 职业；占有；消遣；占有期
patience,n. 耐性，耐心；忍耐，容忍
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
relationship,n. 关系；关联
scholar,n. 学者；奖学金获得者
scholarship,n. 奖学金；学识，学问
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
widespread,adj. 普遍的，广泛的；分布广的
ability,n. 能力，能耐；才能
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
competent,adj. 胜任的；有能力的；能干的；足够的
debt,n. 债务；借款；罪过
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
explain,v. 说明；解释
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
facility,n. 设施；设备；容易；灵巧
genius,n. 天才，天赋；精神
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
interpret,"vi. 解释；翻译
vt. 说明；口译"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
exemplify,vt. 例证；例示
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
obstacle,n. 障碍，干扰；妨害物
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
preference,n. 偏爱，倾向；优先权
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
unity,n. 团结；一致；联合；个体
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
congratulate,vt. 祝贺；恭喜；庆贺
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
framework,n. 框架，骨架；结构，构架
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
illustration,n. 说明；插图；例证；图解
invent,vt. 发明；创造；虚构
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
maintenance,n. 维护，维修；保持；生活费用
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
religion,n. 宗教；宗教信仰
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
tragedy,n. 悲剧；灾难；惨案
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
worthwhile,adj. 值得做的，值得花时间的
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
data,n. 数据（datum的复数）；资料
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
durable,"n. 耐用品
adj. 耐用的，持久的"
equip,vt. 装备，配备
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
illusion,n. 幻觉，错觉；错误的观念或信仰
glorious,adj. 光荣的；辉煌的；极好的
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
improvement,n. 改进，改善；提高
installation,n. 安装，装置；就职
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
nationality,n. 国籍，国家；民族；部落
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
rational,"n. 有理数
adj. 合理的；理性的"
territory,n. 领土，领域；范围；地域；版图
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
urban,adj. 城市的；住在都市的
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
deprive,vt. 使丧失，剥夺
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
assure,vt. 保证；担保；使确信；弄清楚
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
civilization,n. 文明；文化
discourage,vt. 阻止；使气馁
democratic,adj. 民主的；民主政治的；大众的
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
tendency,n. 倾向，趋势；癖好
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
electronic,"adj. 电子的
n. 电子电路；电子器件"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
financial,adj. 金融的；财政的，财务的
frequency,n. 频率；频繁
gravity,n. 重力，地心引力；严重性；庄严
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
mysterious,adj. 神秘的；不可思议的；难解的
outset,n. 开始；开端
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
protection,n. 保护；防卫；护照
realm,n. 领域，范围；王国
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
scenery,n. 风景；景色；舞台布景
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
formulate,vt. 规划；用公式表示；明确地表达
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
cooperate,vi. 合作，配合；协力
correspond,vi. 符合，一致；相应；通信
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
departure,n. 离开；出发；违背
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
emit,vt. 发出，放射；发行；发表
emphasis,n. 重点；强调；加强语气
fierce,adj. 凶猛的；猛烈的；暴躁的
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
greedy,adj. 贪婪的；贪吃的；渴望的
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
justice,n. 司法，法律制裁；正义；法官，审判员
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
prohibit,vt. 阻止，禁止
ratio,n. 比率，比例
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
