abnormal,adj. 反常的，不规则的；变态的
amiable,adj. 和蔼可亲的，亲切的
benign,adj. 良性的；和蔼的，亲切的；吉利的
graphic,adj. 形象的；图表的；绘画似的
demographic,adj. 人口统计学的；人口学的
linguistic,adj. 语言的；语言学的
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
toxic,adj. 有毒的；中毒的
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
esthetic,"n. 美学；审美家；唯美主义者
adj. 审美的（等于aesthetic）；感觉的"
greed,n. 贪婪，贪心
miser,n. 守财奴；吝啬鬼；（石油工程上用的）凿井机
jealousy,n. 嫉妒；猜忌；戒备
grief,n. 悲痛；忧伤；不幸
agony,n. 苦恼；极大的痛苦；临死的挣扎
sorrowful,adj. 悲伤的，伤心的
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
mourn,v. 哀悼；忧伤；服丧
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
drainage,n. 排水；排水系统；污水；排水面积
reservoir,n. 水库；蓄水池
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
inhibit,vt. 抑制；禁止
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
handicraft,n. 手工艺；手工艺品
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
artifact,n. 人工制品；手工艺品
polytechnic,"n. 工艺学校；理工专科学校
adj. 各种工艺的；综合技术的"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
facet,"n. 面；方面；小平面
vt. 在…上琢面"
embroidery,n. 刺绣；刺绣品；粉饰
manual,"adj. 手工的；体力的
n. 手册，指南"
hatred,n. 憎恨；怨恨；敌意
malice,n. 恶意；怨恨；预谋
grudge,"n. 怨恨；恶意；妒忌
vt. 怀恨；吝惜；妒忌；不情愿做"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
dinosaur,n. 恐龙；过时、落伍的人或事物
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
livestock,n. 牲畜；家畜
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
hierarchy,n. 层级；等级制度
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
monarchy,n. 君主政体；君主国；君主政治
regime,n. 政权，政体；社会制度；管理体制
coup,"n. 政变；妙计；出乎意料的行动；砰然的一击
vt. 使…颠倒；使…倾斜
vi. 推倒；倾斜；溢出"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
expedition,n. 远征；探险队；迅速
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
atlas,n. 地图集；寰椎
hitherto,adv. 迄今；至今
henceforth,adv. 今后；自此以后
thereafter,adv. 其后；从那时以后
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
therein,adv. 在其中；在那里
whereby,adv. 凭借；通过…；借以；与…一致
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
horn,"n. 喇叭，号角；角
vt. 装角于"
hostage,n. 人质；抵押品
ransom,"n. 赎金；赎身，赎回
vt. 赎回，赎；勒索赎金；救赎；得赎金后释放"
kidnap,vt. 绑架；诱拐；拐骗
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
humanity,n. 人类；人道；仁慈；人文学科
humane,adj. 仁慈的，人道的；高尚的
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
grumble,"n. 怨言
adv. 抱怨地表示；嘟囔地说
vi. 抱怨；嘟囔
vt. 喃喃地说出"
humiliate,vt. 羞辱；使…丢脸；耻辱
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
stigma,n.  柱头；耻辱；污名；烙印；特征
hygiene,n. 卫生；卫生学；保健法
sanitation,n.  环境卫生；卫生设备；下水道设施
surgery,n. 外科；外科手术；手术室；诊疗室
clinic,n. 临床；诊所
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
icon,n. 图标；偶像；肖像，画像；圣像
idol,n. 偶像，崇拜物；幻象；谬论
ego,n. 自我；自负；自我意识
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
eternal,adj. 永恒的；不朽的
idealism,n. 唯心主义，理想主义；理念论
ideology,n. 意识形态；思想意识；观念学
ideological,adj. 思想的；意识形态的
identity,n. 身份；同一性，一致；特性；恒等式
identic,adj. 同一的; 恒等的; 完全相同的; 措词相同的
identification,n. 鉴定，识别；认同；身份证明
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
cigar,n. 雪茄
lighter,"n. 打火机；驳船；点火者
vt. 驳运
adj. 明亮的；光明的；照明好的；光线充足的"
firework,n. 烟火；激烈情绪
ignore,vt. 驳回诉讼；忽视；不理睬
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
imitate,vt. 模仿，仿效；仿造，仿制
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
fabricate,vt. 制造；伪造；装配
fabrication,n. 制造，建造；装配；伪造物
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
immerse,vt. 沉浸；使陷入
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
impair,vt. 损害；削弱；减少
impede,vt. 阻碍；妨碍；阻止
barricade,"n. 街垒；路障；争论之处
vt. 设路障；阻碍"
hindrance,n. 障碍；妨碍；妨害；阻碍物
prevention,n. 预防；阻止；妨碍
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
impetus,n. 动力；促进；冲力
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
stimulus,n. 刺激；激励；刺激物
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
impractical,adj. 不切实际的，不现实的；不能实行的
inaccessible,adj. 难达到的；难接近的；难见到的
inadequate,adj. 不充分的，不适当的
invariable,"n. 常数；不变的东西
adj. 不变的；常数的"
imminent,adj. 即将来临的；迫近的
imprison,vt. 监禁；关押；使…下狱
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
indict,vt. 控告，起诉； 揭发
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
improbable,adj. 不大可能的，未必确实的；不可信的；未必会发生的
probation,n. 试用；缓刑；查验
probability,n. 可能性；机率； 或然率
incapable,adj. 不能的；无能力的；不能胜任的
incompetence,n. 无资格，不胜任；无能力；不适当；不熟练
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
fragile,adj. 脆的；易碎的
incredible,adj. 难以置信的，惊人的
astonishment,n. 惊讶；令人惊讶的事物
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
appall,vt. 使胆寒；使惊骇
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
indicate,vt. 表明；指出；预示；象征
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
dictator,n. 独裁者；命令者
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
verdict,n. 结论；裁定
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
basis,n. 基础；底部；主要成分；基本原则或原理
induce,vt. 诱导；引起；引诱；感应
evoke,vt. 引起，唤起；博得
incur,vt. 招致，引发；蒙受
inevitable,adj. 必然的，不可避免的
inevitably,adv. 不可避免地；必然地
inevitability,n. 必然性；不可逃避
infectious,adj. 传染的；传染性的；易传染的
infection,n. 感染；传染；影响；传染病
contagious,adj. 感染性的；会蔓延的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
