foods,n.  食品
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
receiver,n. 接收器；接受者；收信机；收款员，接待者
instruments,"n.  仪器（instrument的复数）； 工具；乐器
v. 用器械装备；给乐器谱写（instrument的三单形式）"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
piano,n. 钢琴
flute,"n. 长笛；(刀具的)出屑槽
vt. 用长笛吹奏
vi. 吹长笛"
violins,n. 小提琴( violin的名词复数 )
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
dancing,"n. 跳舞；舞蹈
v. 跳舞；摇晃（dance的ing形式）"
dance class,
dance show,
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
arts,n. 文科
art gallery,"n. 美术馆；艺术展览馆
 画廊；艺术画廊；艺廊"
artists,n. 艺术家，设计师（artist的复数）
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
portraits,n. 肖像（portrait的复数）；画像
realism,n. 现实主义；实在论；现实主义的态度和行为
symbolism,n. 象征，象征主义；符号论；记号
symbols,n. 符号；象征；标志；符号表（symbol的复数）
graphics,n.  制图学；制图法；图表算法
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
design research, 设计研究；设计研究学会；设计研究与创新
designers,n.  设计师， 设计者；设计器（designer的复数形式）
photo,n. 照片
pictures,"n. 图片；绘画作品（picture的复数）；电影院
v. 画；设想；用图表示（picture的第三人称单数）"
picture library, 图片库；图形库；图片图书馆
patterns,"n. 模式（pattern的复数形式）
v. 摹制；用图案装饰；复写（pattern的第三人称单数形式）"
images,"n. 图像,影像,肖像,想像"
painters,n. 画家( painter的名词复数 ); 油漆匠; （系船的）缆绳
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
painting class,
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
open gallery,
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
exhibitions,n. 与展览，展示会；展示会（exhibition复数）
literature,n. 文学；文献；文艺；著作
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
story conference,
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
cultural,adj. 文化的；教养的
culture context,
culture awareness, 文化意识；文化意识目标；文化觉识
edit,"vt. 编辑；校订
n. 编辑工作"
editor,n. 编者，编辑；社论撰写人；编辑装置
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
context,n. 环境；上下文；来龙去脉
poet,n. 诗人
writing,"n. 书写；作品；著作； 笔迹
v. 书写（write的ing形式）"
written,"adj. 书面的，成文的；文字的
v. 写（write的过去分词）"
written language,"na. 书面语
 书面语言；书写语言；语言的书面形式"
journal,n. 日报，杂志；日记；分类账
diaries,n. 日记，日记簿；日志（diary的复数形式）
words,"n.  字（word的复数）；话语；言语
v. 用言语表达（word的三单形式）"
vocabulary,n. 词汇；词表；词汇量
grammar,n. 语法；语法书
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
language,n. 语言；语言文字；表达能力
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
modern language,"n. 现代语言（尤指在学校里教授的欧洲语言）
 现代语言学；现代语言研究；现代语言学专业"
campus,n. （大学）校园；大学，大学生活；校园内的草地
notice board,"na. 布告牌
 布告栏；公告栏；公告板"
poster,n. 海报，广告；招贴
post design,
participation,n. 参与；分享；参股
activities,n. （activity复数形式）活动；活动区；活动性
enjoy,vt. 欣赏，享受；喜爱；使过得快活
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
excitement,n. 兴奋；刺激；令人兴奋的事物
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
personal interest,"un. 个人利益
 个人兴趣；兴趣爱好；个人兴趣爱好"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
entertainment,n. 娱乐；消遣；款待
passion,n. 激情；热情；酷爱；盛怒
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
parties,n.  当事人；党派；聚会；政党机关；同行者（party的复数）
after-school,adj. 课后的，课外的
games,"n. 游戏；比赛（game的复数形式）；游戏程序
v. 赌博（game的第三人称单数）"
game room,"na. 娱乐室
 游戏室；游戏厅；游戏屋"
chess,n. 国际象棋，西洋棋
play area, 游乐场地；游戏区；游乐区
playroom,n. 游戏室；娱乐室
playground,n. 运动场，操场；游乐场
sports,"n. 运动；运动会（sport的复数）；（报纸）体育版面；突变；娱乐
adj. 运动的；适用于运动的
v. 娱乐；戏弄（sport的第三人称单数）"
sports equipment, 运动设备；运动器材；运动器械
sports service,
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
exercises,n. 练习题，演习；运动
sensible exercise,
regular exercises,
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
practical,adj. 实际的；实用性的
practical course, 实践课；实践课程；实习指导课
sports centre," 体育运动中心, 运动场"
sports hall,"un. 体育馆
 体育活动房；体育馆或体育场；体育大厅"
stadium,n. 体育场；露天大型运动场
health club,"n. 健身俱乐部
 健康俱乐部；健身房；健身中心"
fitness centre, 健身房
gym,n. 健身房；体育；体育馆
clubs,"n. 俱乐部；社团（club的复数）；（扑克牌）梅花
v. 用棍棒打（club的第三人称单数形式）"
club office,
clubroom,n. 俱乐部聚会室
girl club,
joining fees,
member,n. 成员；会员；议员
membership,n. 资格；成员资格；会员身份
action,n. 行动；活动；功能；战斗；情节
action points,(议程上)优先考虑事项 (如劳务谈判中的重点项目等)
movement,n. 运动；活动；运转；乐章
competitions,n. 比赛， 竞争（competition的复数形式）
competitive,adj. 竞争的；比赛的；求胜心切的
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
baseball,n. 棒球；棒球运动
coaches,"n. 教练；车厢（coach的复数形式）
v. 训练，指导（coach的单三形式）"
baseball coach, 棒球教练
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
soccer,n. 英式足球，足球
stopwatch,"n. 码表；跑表
vt. 用秒表测定时间"
cycling,n. 骑脚踏车消遣；骑脚踏车兜风
surfing,"n. 冲浪游戏
v. 冲浪（surf的ing形式）"
wind surfing,
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
swimming pool,"n. 游泳池；游泳场；游泳馆
 泳池情杀案；酒店泳池；泳池谋杀案"
diving,"n. 跳水，潜水
adj. 跳水的，潜水的
v. 跳水（dive的现在分词）；潜水"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
diving mask,"un. 潜水面罩
 潜水镜；面镜；浮潜必备三宝浮潜面镜"
rescue diver,
wetsuit,n. 潜水服；防寒泳衣；湿式保暖服
snow boarding,
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
golf court,
judo,"n. （日）柔道
adj. 柔道的；柔道术的"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
tennis,n. 网球（运动）
tennis court,"n. 网球场
 网球场图片；网球场的工作程序；网球场地"
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
runner,n. 跑步者；走私者；推销员；送信人
walking,"n. 步行；散步
v. 步行（walk的ing形式）
adj. 步行的"
walking boots, 步行靴；行军靴；靴子
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
prizes,"n.  奖品；奖项（prize的复数）；奖励
v. 评价（prize的第三人称单数）；珍视"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
weight class, 级别；重量级；加权等级
lateral-line,
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
lifting,"adj. 举起的，起重的
n. 举起，起重；提高，上升
v. 举起，抬起（lift的ing形式）"
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
strength,n. 力量；力气；兵力；长处
lectures,"n. 演讲，讲演（lecture复数形式）
v. 向…讲演；训斥（lecture的第三人称单数）"
lecturer,n. 讲师，演讲者
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
short lecture,
speakers,n.  扬声器；发言者（speaker的复数）；演说家
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
presentation,n. 展示；描述，陈述；介绍；赠送
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
slide presentation,放映幻灯片
presentation skills, 演示技巧；演讲技巧；表达技巧
presenting result,
seminars,n. 研讨会（seminar的复数）；专题讨论会
seminar group,
seminar room,(大学)研究室
representation,n. 代表；表现；表示法；陈述
performance,n. 性能；绩效；表演；执行；表现
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
effectiveness,n. 效力
efficiency,n. 效率；效能；功效
efficient,adj. 有效率的；有能力的；生效的
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
project background,
project outline,
reports,"n. 报告（report的复数）； 报表；专题
v. 报告；记录（report的三单形式）；传达"
report findings,
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
microscope,n. 显微镜
micro-radiogram,
samples,n.  样品；采样；例子(sample的复数形式）
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
fluids,n.  流体（fluid的复数形式）； 液体
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
research approach, 研究方法；研究途径；研究方案
research finding,
researcher,n. 研究员
fieldwork,n. 野外工作；现场工作；野战工事
fields,"n. 域，字段；场设置（field复数形式）
v. 使上场（field的单三形式）"
essay writing,
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
incorrect,adj. 错误的，不正确的；不适当的；不真实的
error message,"n. 错误信息（在计算机屏幕上出现，表示有错误）
 错误讯息；错误消息；出错信息"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
correction,n. 改正，修正
version,n. 版本；译文；倒转术
formats,n.  格式（format的复数）；幅度
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
topics,abbr. 总联机程序和信息控制系统（Total On-line Program and Information Control System）
subtopics,(subtopic 的复数) n. 副主题；小标题
theory chapters,
theoretical,adj. 理论的；理论上的；假设的；推理的
font,n. 字体；字形；泉；洗礼盘，圣水器
paragraphs,n. 段落（paragraph的复数形式）
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
stages,"n.  阶段（stage的复数）；舞台；戏剧表演
v. 计划；表演；分阶段进行（stage的三单形式）"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
