approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
exacting,"adj. 严格的；苛求的；吃力的
v. 逼取；急需（exact的ing形式）"
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
give rise to,"na. 惹起
 引起；导致；使发生"
guarded,"v. 保卫，看守（guard的过去式）
adj. 谨慎的；被监视着的；警戒着的；被看守著的"
in favor of,"na. 赞成；有利于；付与
 支持；赞同；为了支持"
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
interconnected,"adj. 连通的；有联系的
v. 互相连接（interconnect的过去式）"
life span,"n. 寿命
 使用寿命；生命期；使用期限"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
malnourishment,营养不良
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
pile up,"na. 堆积；积聚；(汽车等)挤在一起；(使)(船)搁浅
 累积；堆起来；积累"
put up with,"na. 忍住
 忍受；容忍；忍耐"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
restrained,"v. 抑制；约束（restrain的过去分词）
adj. 克制的，受限制的；拘谨的"
slip into,"na. 急急穿上；痛殴；竞赛；攻击
 溜进；溜入；悄悄地溜进"
and so forth,"na. 等等；云云；“and so on/forth”的变体
 如此等等；诸如此类；诸如此类，如此等等"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
take into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
telling,"n. 命令；叙述；吐露真情
v. 告诉；讲述（tell的ing形式）；命令
adj. 有效的；生动的；显著的"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
virtually,adv. 事实上，几乎；实质上
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
transition,n. 过渡；转变； 转换；变调
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
tendency,n. 倾向，趋势；癖好
dedicate,vt. 致力；献身；题献
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
allege,vt. 宣称，断言；提出…作为理由
jury,"n.  陪审团；评判委员会
adj. 应急的"
liability,n. 责任；债务；倾向；可能性；不利因素
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
bonus,n. 奖金；红利；额外津贴
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
comply,vi. 遵守；顺从，遵从；答应
correspondence,n. 通信；一致；相当
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
rational,"n. 有理数
adj. 合理的；理性的"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
conservation,n. 保存，保持；保护
intervene,vi. 干涉；调停；插入
profound,adj. 深厚的；意义深远的；渊博的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
ideology,n. 意识形态；思想意识；观念学
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
chronic,adj. 慢性的；长期的；习惯性的
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
threshold,n. 入口；门槛；开始；极限；临界值
complement,"n. 补语；余角；补足物
vt. 补足，补助"
competent,adj. 胜任的；有能力的；能干的；足够的
complication,n. 并发症；复杂；复杂化；混乱
marginal,adj. 边缘的；临界的；末端的
monopoly,n. 垄断；垄断者；专卖权
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
unintelligible,adj. 莫名其妙的；无法了解的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
enzyme,n.  酶
variant,"n. 变体；转化
adj. 不同的；多样的"
pragmatic,adj. 实际的；实用主义的；国事的
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
mentor,"n. 指导者，良师益友
vt. 指导"
peripheral,"adj. 外围的；次要的；（神经）末梢区域的
n. 外部设备"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
optimal,adj. 最佳的；最理想的
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
affirm,"vt. 肯定；断言
vi. 确认；断言"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
contour,"n. 轮廓；等高线；周线；电路；概要
vt. 画轮廓；画等高线"
substitution,n. 代替； 置换；代替物
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
facet,"n. 面；方面；小平面
vt. 在…上琢面"
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
transcribe,vt. 转录；抄写
confound,vt. 使混淆；挫败；讨厌；使混乱
novice,n. 初学者，新手
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
parenthesis,"n. 插入语,插入成分
n. 圆括号
n. 间歇，插曲"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
recession,n. 衰退；不景气；后退；凹处
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
rumor,"n. 谣言；传闻
vt. 谣传；传说"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
testimony,n.  证词，证言；证据
tragedy,n. 悲剧；灾难；惨案
coalition,n. 联合；结合，合并
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
condemn,vt. 谴责；判刑，定罪；声讨
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
legacy,n. 遗赠，遗产
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
vendor,n. 卖主；小贩；供应商； 自动售货机
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
landlord,n. 房东，老板；地主
superb,adj. 极好的；华丽的；宏伟的
opt,vi. 选择
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
casualty,n. 意外事故；伤亡人员；急诊室
affection,n. 喜爱，感情；影响；感染
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
prohibit,vt. 阻止，禁止
heritage,n. 遗产；传统；继承物；继承权
demographic,adj. 人口统计学的；人口学的
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
grief,n. 悲痛；忧伤；不幸
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
archive,"n. 档案馆；档案文件
vt. 把…存档"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
disclosure,n.  披露；揭发；被揭发出来的事情
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
bureau,n. 局，处；衣柜；办公桌
anonymous,adj. 匿名的，无名的；无个性特征的
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
doctrine,n. 主义；学说；教义；信条
pharmaceutical,"n. 药物
adj. 制药（学）的"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
warranty,n. 保证；担保；授权；（正当）理由
miserable,adj. 悲惨的；痛苦的；卑鄙的
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
placement,n. 布置；定位球；人员配置
persistent,adj. 固执的，坚持的；持久稳固的
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
albeit,conj. 虽然；即使
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
faction,n. 派别；内讧；小集团；纪实小说
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
enact,vt. 颁布；制定法律；扮演；发生
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
assertion,n. 断言，声明；主张，要求；坚持；认定
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
temptation,n. 引诱；诱惑物
generic,adj. 类的；一般的；属的；非商标的
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
commence,v. 开始；着手；<英>获得学位
grim,adj. 冷酷的；糟糕的；残忍的
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
subscription,n. 捐献；订阅；订金；签署
reconcile,vt. 使一致；使和解；调停，调解；使顺从
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
benchmark,"n. 基准；标准检查程序
vt. 用基准问题测试（计算机系统等）"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
brutal,adj. 残忍的；野蛮的，不讲理的
precedent,"n. 先例；前例
adj. 在前的；在先的"
memoir,n. 回忆录；研究报告；自传；实录
contempt,n. 轻视，蔑视；耻辱
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
glorious,adj. 光荣的；辉煌的；极好的
heir,n.  继承人；后嗣；嗣子
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
accountable,adj. 有责任的；有解释义务的；可解释的
bob,"n. 短发；摆动；浮子；轻敲；悬挂的饰品
vt. 剪短；敲击；使上下快速摆动
vi. 上下跳动；振动"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
intimidate,vt. 恐吓，威胁；胁迫
impair,vt. 损害；削弱；减少
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
aftermath,n. 后果；余波
resent,vt. 怨恨；愤恨；厌恶
