abdicate,"vt. 退位；放弃
vi. 退位；放弃"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
fusion,n. 融合；熔化；熔接；融合物； 核聚变
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
gadgeteering,n. 精巧机件的发明(设计)
galactic,adj. 银河的；乳汁的
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
generalization,n. 概括；普遍化；一般化
generate,vt. 使形成；发生；生殖；产生物理反应
generational,adj. 一代的；生育的
generic,adj. 类的；一般的；属的；非商标的
genetic,adj. 遗传的；基因的；起源的
genial,adj. 亲切的，友好的；和蔼的；适宜的
gentry,n. 人们（多用贬义）；贵族们；（英）上流社会人士
genuine,adj. 真实的，真正的；诚恳的
geographic,adj. 地理的；地理学的
geological,adj. 地质的，地质学的
geologist,n. 地质学家，地质学者
geometric,adj. 几何学的； 几何学图形的
geophysical,adj. 地球物理学的
gimmick,"n. 暗机关；骗人的玩意；花招
vt. 使暗机关；搞骗人的玩意"
glacier,n. 冰河，冰川
gland,"n. 腺
密封压盖"
glean,"vt. 收集（资料）；拾（落穗）
vi. 收集；拾落穗"
gloomy,adj. 黑暗的；沮丧的；阴郁的
glucose,n. 葡萄糖；葡糖（等于dextrose）
gorilla,n. 大猩猩
gourmet,"n. 美食家
菜肴精美的"
gradient,"n.  梯度；坡度；倾斜度
adj. 倾斜的；步行的"
granite,n. 花岗岩；坚毅；冷酷无情
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
graphite,"n. 石墨；黑铅
n. 用石墨涂（或掺入等）"
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
gravitational,adj.  重力的， 引力的
gregarious,adj. 社交的；群居的
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
grove,n. 小树林；果园
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
gymnast,n. 体操运动员
gyroscope,n. 陀螺仪； 回转仪
habitat,n.  栖息地，产地
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
handlebar,n. 手把；（美）八字胡（等于handlebar mustache）
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
hardcover,"n. 精装书；硬封面的书
adj. 精装的；硬书皮的"
harden,"vi. 变硬，变坚固；变坚强；变冷酷
vt. 使…变硬；使…坚强；使…冷酷；使…麻木不仁"
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
harmonize,"vt. 使和谐；使一致；以和声唱
vi. 协调；和谐；以和声唱"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
hazardous,adj. 有危险的；冒险的；碰运气的
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
headquarters,n. 总部；指挥部；司令部
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
hedgehog,n. 刺猬
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心"
heist,"n. 抢劫；强夺
vt. 抢劫，拦劫；强夺
vi. 抢劫"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
helium,n.  氦（符号为He，2号元素）
hemoglobin,n.  血红蛋白（等于haemoglobin）；血红素
herbicide,n.  除草剂
herbivore,n.  食草动物
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
hereditary,"n. 遗传类
adj. 遗传的；世袭的；世代相传的"
heretical,adj. 异端的；异教的
heritage,n. 遗产；传统；继承物；继承权
hexagonal,adj. 六边的，六角形的
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
hierarchical,adj. 分层的；等级体系的
hierarchy,n. 层级；等级制度
hieroglyphic,"n. 象形文字；象形文字写的文章
adj. 象形文字的；难解的"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
hinterland,n. 内地；穷乡僻壤；靠港口供应的内地贸易区
Hispanic,adj. 西班牙的
historical,adj. 历史的；史学的；基于史实的
hitherto,adv. 迄今；至今
hoary,adj. 久远的，古老的；灰白的
homeostasis,n.  体内平衡； 内稳态
homestead,n. 宅地；家园；田产
homing,"n. 归航；动物的返回性
adj. 回家的；自动导引的；有返回性的
v. 回家（home的ing形式）"
hominid,"n. 原始人类；人科动物
adj. 人类及其祖先的"
homogeneity,n. 同质；同种；同次性（等于homogeneousness）
hone,"n. 磨刀石；想念；抱怨
vt. 用磨刀石磨"
hoof,"n. 蹄；人的脚
vt. 用蹄踢；步行
vi. 步行；踢；跳舞"
hormone,n.  激素，荷尔蒙
horseshoe,"n. 马蹄铁；U形物
vt. 装蹄铁于"
horticultural,adj. 园艺的
hospitable,adj. 热情友好的；（环境）舒适的
hostility,n. 敌意；战争行动
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
hue,n. 色彩；色度；色调；叫声
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
humane,adj. 仁慈的，人道的；高尚的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
humid,adj. 潮湿的；湿润的；多湿气的
humidity,n.  湿度；湿气
hurricane,n. 飓风，暴风
husk,"n. 皮；外壳；无价值之物
vt. 削皮；以粗哑的嗓音说
vi. 嗓音变得嘶哑"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
hydrogen,n.  氢
hydroponic,adj. 水栽的，水耕法的
hypertension,n. 高血压；过度紧张
hypnotize,"vt. 使着迷；对…施催眠术；使恍惚
vi. 施催眠术；使进入睡觉状态"
hypothesis,n. 假设
hypothesize,"vt. 假设，假定
vi. 假设，假定"
iconography,n. 肖像研究；肖像学；图解
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identifiable,adj. 可辨认的；可认明的；可证明是同一的
identification,n. 鉴定，识别；认同；身份证明
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
ideographic,adj. 表意的；表意字构成的
ideology,n. 意识形态；思想意识；观念学
idiosyncrasy,n. （个人独有的）气质，性格，习惯，癖好
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
illicit,adj. 违法的；不正当的
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
illustration,n. 说明；插图；例证；图解
imbalance,n. 不平衡；不安定
imitate,vt. 模仿，仿效；仿造，仿制
imitative,adj. 模仿的；仿制的
immigration,n. 外来移民；移居
immobilize,vt. 使固定；使不动；使停止流通
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
impartial,adj. 公平的，公正的；不偏不倚的
impeachment,n. 弹劾；控告；怀疑；指摘
impede,vt. 阻碍；妨碍；阻止
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
implausible,adj. 难以置信的，不像真实的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
implementation,n.  实现；履行；安装启用
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
implicit,adj. 含蓄的；暗示的；盲从的
imply,vt. 意味；暗示；隐含
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
imposition,n. 征收；强加；欺骗；不公平的负担
impoverished,"adj. 穷困的；用尽了的，无创造性的
v. 使贫困（impoverish的过去分词）"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
in lieu of,"作为...的替代, 代替...
 代替, 作为...的替代"
inability,n. 无能力；无才能
inaccessible,adj. 难达到的；难接近的；难见到的
inaccurate,adj. 错误的
inadequate,adj. 不充分的，不适当的
inalienable,adj. 不可分割的；不可剥夺的；不能让与的
incandescent,adj. 辉耀的；炽热的；发白热光的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
incinerate,"vt. 焚化；烧成灰
vi. 把……烧成灰；烧弃"
incineration,n. 焚化；烧成灰
incipient,adj. 初期的；初始的；起初的；发端的
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
inclusion,n. 包含；内含物
incompatible,"n. 互不相容的人或事物
adj. 不相容的；矛盾的；不能同时成立的"
inconclusive,adj. 不确定的；非决定性的；无结果的
inconsistent,adj. 不一致的；前后矛盾的
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
increment,n.  增量；增加；增额；盈余
incubate,"n. 孵育物
vt. 孵化；培养；温育；逐渐发展
vi. 孵化；酝酿"
incur,vt. 招致，引发；蒙受
incursion,n. 入侵；侵犯
indenture,"n. 契约；合同
vt. 以契约约束"
independence,n. 独立性，自立性；自主
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
indicator,n. 指示器； 指示剂； 指示符；压力计
indifference,n. 漠不关心；冷淡；不重视；中立
indigenous,adj. 本土的；土著的；国产的；固有的
indigent,adj. 贫困的；贫穷的（副词indigently）
indirect,adj. 间接的；迂回的；非直截了当的
indiscriminate,adj. 任意的；无差别的；不分皂白的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
indistinct,adj. 模糊的，不清楚的；朦胧的；难以清楚辨认的
indistinguishable,adj. 不能区别的，不能辨别的；不易察觉的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
individualism,n. 个人主义；利己主义；个人特征
induce,vt. 诱导；引起；引诱；感应
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
industrialization,n. 工业化
industrialize,"vt. 使工业化
vi. 实现工业化"
ineffective,adj. 无效的，失效的；不起作用的
inefficient,adj. 无效率的，效率低的；无能的
inequality,n. 不平等；不同；不平均
inertia,n.  惯性；惰性，迟钝；不活动
inescapable,adj. 不可避免的；逃脱不了的
inevitable,adj. 必然的，不可避免的
inextricably,adv. 逃不掉地；解不开地；解决不了地
infancy,n. 初期；婴儿期；幼年
infect,vt. 感染，传染
infectious,adj. 传染的；传染性的；易传染的
infer,"vi. 推断；作出推论
vt. 推断；推论"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
infest,vt. 骚扰；寄生于；大批出没；大批滋生
infirmary,n. 医务室；医院；养老院
inflammation,n.  炎症； 发炎；燃烧；发火
inflammatory,adj. 炎症性的；煽动性的；激动的
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
inflationary,adj. 通货膨胀的；通货膨胀倾向的；通货膨胀引起的
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
influx,n. 流入；汇集；河流的汇集处
infrared,"n. 红外线
adj. 红外线的"
infrastructure,n. 基础设施；公共建设；下部构造
infringement,n. 侵犯；违反
infringer,  侵权人
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
ingest,vt. 摄取；咽下；吸收；接待
ingrained,"adj. 根深蒂固的；彻头彻尾的；生染的
v. 使根深蒂固（ingrain的过去分词形式）；生染；就原料染色"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhalation,n. 吸入；吸入药剂
inherent,adj. 固有的；内在的；与生俱来的，遗传的
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inhibit,vt. 抑制；禁止
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
