recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
outflow,"n. 流出；流出量；流出物
vi. 流出"
fluent,adj. 流畅的，流利的；液态的；畅流的
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procedure,n. 程序，手续；步骤
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
precedent,"n. 先例；前例
adj. 在前的；在先的"
unprecedented,adj. 空前的；无前例的
exceed,"vt. 超过；胜过
vi. 超过其他"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
excessive,adj. 过多的，极度的；过分的
exceeding,"v. 超过；占优势（exceed的ing形式）
adj. 超越的；非常的；过度的"
exceedingly,adv. 非常；极其；极度地；极端
accede,vi. 加入；同意；就任
accession,"n. 增加；就职；到达
vt. 登记入册"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
concession,n. 让步；特许（权）；承认；退位
recede,"vi. 后退；减弱
vt. 撤回"
recession,n. 衰退；不景气；后退；凹处
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
predecessor,n. 前任，前辈
Catholic,
cathedral,n. 大教堂
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
parish,"n. 教区
地方行政区"
paradise,"n. 天堂
至福境地"
clergy,n. 神职人员；牧师；僧侣
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
bishop,n. （基督教的）主教；（国际象棋的）象
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
salvation,n. 拯救；救助
gospel,"n. 真理；信条
adj. 传播福音的；福音赞美诗的"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
sacred,adj. 神的；神圣的；宗教的；庄严的
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
etiquette,n. 礼节，礼仪；规矩
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
plaza,n. 广场；市场，购物中心
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
casino,n. 俱乐部，赌场；娱乐场
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
threshold,n. 入口；门槛；开始；极限；临界值
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
lime,"n. 石灰；酸橙；绿黄色
vt. 撒石灰于；涂粘鸟胶于
adj. 绿黄色的"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
duple,adj. 双重的；二倍的；双拍子的
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
diplomatic,adj. 外交的；外交上的；老练的
dual,"n. 双数；双数词
adj. 双的；双重的"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
tribe,n. 部落；族；宗族；一伙
tribunal,n. 法庭；裁决；法官席
trivial,adj. 不重要的，琐碎的；琐细的
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
multitude,n. 群众；多数
multilateral,adj.  多边的；多国的，多国参加的
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
appraise,vt. 评价，鉴定；估价
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
ply,"n. 厚度；板层；褶
vt. 使用，不住地使用；折，弯；从事
vi. 辛勤工作；定期地来往（船、车等）"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
imply,vt. 意味；暗示；隐含
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
implicit,adj. 含蓄的；暗示的；盲从的
explicate,vt. 说明，解释
explication,n. 说明；阐明；展开（花瓣、叶子等的）
explicit,adj. 明确的；清楚的；直率的；详述的
simplicity,n. 朴素；简易；天真；愚蠢
simplify,vt. 简化；使单纯；使简易
simplification,n. 简单化；单纯化
simplistic,adj. 过分简单化的；过分单纯化的
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
complicate,vt. 使复杂化；使恶化；使卷入
complicated,adj. 难懂的，复杂的
complication,n. 并发症；复杂；复杂化；混乱
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
complexity,n. 复杂，复杂性；复杂错综的事物
perplex,vt. 使困惑，使为难；使复杂化
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
election,n. 选举；当选；选择权；上帝的选拔
elector,n. 选举人；有选举权的人；总统选举人
electoral,adj. 选举的；选举人的
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
selection,n. 选择，挑选；选集；精选品
delegate,"n. 代表
vt. 委派…为代表"
delegation,n. 代表团；授权；委托
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
neglectful,adj. 疏忽的；忽略的；不小心的
negligent,adj. 疏忽的；粗心大意的
negligible,adj. 微不足道的，可以忽略的
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intelligent,adj. 智能的；聪明的；理解力强的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligible,adj. 可理解的；明了的；仅能用智力了解的
insect,n. 昆虫；卑鄙的人
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
intersection,n. 交叉；十字路口；交集；交叉点
segment,"n. 段；部分
vt. 分割
vi. 分割"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
homosexual,"n. 同性恋者
adj. 同性恋的"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
lofty,adj. 高的；崇高的；高级的；高傲的
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elevator,n. 电梯；升降机；升降舵；起卸机
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
alleviate,vt. 减轻，缓和
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
relief,n. 救济；减轻，解除；安慰；浮雕
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
gravity,n. 重力，地心引力；严重性；庄严
gravitation,n. 重力；万有引力；地心吸力
aggravate,vt. 加重；使恶化；激怒
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
grief,n. 悲痛；忧伤；不幸
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
imprison,vt. 监禁；关押；使…下狱
comprise,vt. 包含；由…组成
enterprise,n. 企业；事业；进取心；事业心
entrepreneur,n. 企业家；承包人；主办者
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
numerous,adj. 许多的，很多的
innumerable,adj. 无数的，数不清的
renaissance,n. 文艺复兴（欧洲14至17世纪）
symphony,n. 交响乐；谐声，和声
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
icon,n. 图标；偶像；肖像，画像；圣像
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
chord,n. 弦；和弦；香水的基调
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
scenario,n. 方案；情节；剧本；设想
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
debut,"n. 初次登台；开张
vi. 初次登台"
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
climax,n. 高潮；顶点；层进法；极点
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
botany,n. 植物学；地区植物总称
shrub,n. 灌木；灌木丛
meadow,n. 草地；牧场
thorn,n. 刺； 荆棘
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
porch,n. 门廊；走廊
porter,n. 门房；服务员；行李搬运工；守门人
