ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
anesthetic,"n. 麻醉剂，麻药
adj. 麻醉的；感觉缺失的"
cardiovascular,adj.  心血管的
clot,"n.  凝块
vi. 凝结
vt. 使凝结成块"
boisterous,adj. 喧闹的；狂暴的；猛烈的
booze,"n. 酒；酒宴
vi. 豪饮；痛饮"
clutter,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
disparate,"n. 无法相比的东西
adj. 不同的；不相干的；全异的"
coalesce,"vt. 使…联合；使…合并
vi. 合并；结合；联合"
conglomerate,"n.  砾岩；企业集团；聚合物
vi. 凝聚成团
adj. 成团的；砾岩性的
vt. 使聚结；凝聚成团"
sliver,"n. 梳毛，梳棉；裂片
vt. 使成薄片；使裂成小片
vi. 成为薄片；裂成小片"
incendiary,"n. 燃烧弹；纵火犯，放火者；煽动者
adj. 煽动的；放火的，纵火的"
crackle,"n. 裂纹；龟裂；爆裂声
vt. 使发爆裂声；使产生碎裂花纹
vi. 发劈啪声，发出细碎的爆裂声；表面形成碎裂花纹"
hepatitis,n. 肝炎
debilitate,vt. 使衰弱；使虚弱
obese,adj. 肥胖的，过胖的
patriarch,n. 家长；族长；元老；创始人
deflate,"vt. 放气；使缩小；紧缩通货；打击；使泄气
vi. 缩小；物价下降"
predicament,n. 窘况，困境；状态
boardroom,n. 会议室；交换场所
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
uproar,n. 骚动；喧嚣
stockpile,"n. 库存；积蓄
vt. 贮存；储蓄
vi. 积累；储备物资"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
deport,vt. 驱逐出境；举止；放逐
illicit,adj. 违法的；不正当的
ghetto,"n. 犹太人区；贫民区
vt. 使集中居住"
depose,"vt. 免职；作证；废黜
vi. 宣誓作证"
treason,n.  叛国罪；不忠
deportation,n. 驱逐出境；放逐
czar,n. （帝俄的）沙皇，皇帝；独裁者
enactment,n. 制定，颁布；通过；法令
devolve,"vt. 转移；移交；使滚下；衰落
vi. 被移交；转让"
cartel,n. 卡特尔；企业联合；垄断联盟；俘虏交换条约
disband,"vt. 解散；遣散
vi. 解散"
devaluation,n. 货币贬值
trooper,n. 骑兵；骑警；伞兵；部队运输船
drench,"n. 滂沱大雨；浸液
vt. 使湿透；给（牲畜）灌药"
frigid,adj. 寒冷的，严寒的；冷淡的
apostle,n. 信徒，使徒；最初的传道者
emanate,"vi. 发出；散发；发源
vt. 放射（过去式emanated，过去分词emanated，现在分词emanating，第三人称单数emanates，形容词emanative）；发散"
aura,n. 光环；气氛；（中风等的）预兆；气味
embroil,vt. 使卷入；使混乱
libel,"n. 诽谤罪；诋毁；毁坏名誉的东西；控诉书
vt. 中伤；控告；对…进行诽谤
vi. 进行文字诽谤"
entrench,"vt. 确立，牢固；用壕沟围住；挖掘
vi. 侵犯；挖掘壕沟"
arcane,adj. 神秘的；晦涩难解的；秘传的
tenet,n. 原则；信条；教义
allusion,n. 暗示；提及
exacerbate,vt. 使加剧；使恶化；激怒
animosity,n. 憎恶，仇恨，敌意
exhilarate,vt. 使高兴，使振奋；使愉快
mural,"adj. 墙壁的
n. 壁画；（美）壁饰"
asylum,n. 庇护；收容所，救济院
forestall,vt. 先发制人，预先阻止；垄断，屯积；领先；占先一步
loss of life," 使用寿命降低
 使用期缩短, 寿命缩短"
forgo,"vi. 放弃；停止；对…断念
vt. 放弃；停止；对…断念
"
diaper,"n. 尿布
vt. 给孩子换尿布"
galvanize,vt. 镀锌；通电；刺激
pivotal,"n. 关键事物；中心事物
adj. 关键的；中枢的；枢轴的"
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
gild,vt. 镀金；虚饰；供给钱
portal,n. 大门，入口
onslaught,n. 猛攻；突击
catapult,"n. 弹弓；石弩；飞机弹射器；（飞机上的）座椅弹射器
vt. 用弹弓射；用弹射器发射；猛投
vi. 用弹射器弹射；快速移动"
gouge,"n. 沟；圆凿；以圆凿刨
vt. 用半圆凿子挖；欺骗"
rampart,"n. 壁垒；垒；防御土墙
vt. 用壁垒围绕；防卫"
acquittal,n. 赦免；无罪开释；履行；尽职；（债务等的）清偿
hearten,"vt. 激励；鼓励；使振作
vi. 振作"
cutback,n. 减少，削减；情节倒叙
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
backlash,"n. 反冲；强烈抵制
vt. 强烈反对；发生后冲"
incriminate,vt. 控告；暗示...有罪
perjury,n. 伪证；伪誓；背信弃义
be suspected of ...,
ghastly,"adj. 可怕的；惨白的；惊人的；极坏的
adv. 恐怖地；惨白地"
conflagration,n. 大火；快速燃烧；突发；冲突
inundate,vt. 淹没；泛滥；浸水；（洪水般的）扑来
the dead and injured,
languish,vi. 憔悴；凋萎；失去活力；苦思
dearth,n. 缺乏；饥馑；粮食不足
pilgrimage,"n. 漫游；朝圣之行
vi. 朝拜；漫游"
meander,"n. 漫步；曲流（常用复数）
vt. 漫步；蜿蜒缓慢流动
vi. 漫步；漫谈"
the Holy Land,
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
antipathy,n. 反感；厌恶；憎恶；不相容
lineage,n. 血统；家系， 世系
turnout,n. 产量；出席者；参加人数；出动；清除； 岔道
outstrip,vt. 超过；胜过；比…跑得快
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
troupe,"n. 剧团；一班；一团
vi. 巡回演出"
ordinance,n. 条例；法令；圣餐礼
placate,vt. 抚慰；怀柔；使和解
apocalypse,n. 启示；天启；大灾难
proliferate,"vi. 增殖；扩散；激增
vt. 使激增"
in those days,"na. 那时；当时；在当时；在那时候
 当年；在那些日子里；那年头"
excise,"n. 消费税；货物税
vt. 切除；收税"
quadruple,"n. 四倍
adj. 四倍的；四重的
vt. 使…成四倍
vi. 成为四倍"
quash,vt. 撤销；镇压；宣布无效；捣碎
flagrant,adj. 公然的；不能容忍的；非常的；臭名远扬的；明目张胆的；恶名昭著的（名词flagrancy，副词flagrantly）
bogus,"n. 伪币
adj. 假的；伪造的"
rendezvous,"n. 约会；约会地点；集结地
vi. 会合；约会
vt. 在指定地点与…相会"
reverberate,"adj. 回响的；反射的
vt. 使回响；使反射；使弹回
vi. 回响；反响；弹回；不断发生后效"
hub,n. 中心；毂；木片
revitalize,vt. 使…复活；使…复兴；使…恢复生气
rivet,"n. 铆钉
vt. 铆接；固定；（把目光、注意力等）集中于"
edifice,n. 大厦；大建筑物
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
sag,"n. 松弛；下跌；漂流；萧条
vt. 使下垂
vi. 下垂；下降；萎靡"
seep,"n. 小泉；水陆两用的吉普车
vi. 漏；渗出"
duct,"n. 输送管，导管
vt. 用导管输送；以导管封住"
meltdown,n. 灾难；彻底垮台；熔化；暴跌
shackle,"n. 束缚；桎梏；脚镣
vt. 束缚；加枷锁"
moribund,"adj. 垂死的；停滞不前的
n. 垂死的人"
retribution,n. 报应；惩罚；报答；报偿
smite,"vt. 打；重击；毁灭；侵袭；使神魂颠倒
vi. 打；重击
n. 打；重击"
spook,"n. 鬼；幽灵
vt. 惊吓；鬼怪般地出没
vi. 受惊"
specter,n. 幽灵；妖怪；恐怖之物
garrison,"n. 要塞；卫戍部队
vt. 驻防；守卫"
foray,"n. 涉足，初次尝试；突袭；侵略；攻击
vi. 袭击
vt. 劫掠"
subvert,vt. 颠覆；推翻；破坏
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
supplant,vt. 代替；排挤掉
antiquated,"adj. 过时的；陈旧的；年老的
v. 使古旧；废弃（antiquate的过去分词）"
ethos,n. 民族精神；气质；社会思潮
Confucian,"n. 儒家，儒家学者；孔子的门徒
adj. 孔子的，儒家的；儒家学说的"
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
tarnish,"n. 晦暗，无光泽；污点
vt. 玷污；使……失去光泽；使……变灰暗
vi. 失去光泽；被玷污；变灰暗"
deft,adj. 灵巧的；机敏的；敏捷熟练的
teem,"vt. 倒出
vi. 大量出现；充满"
canine,"n. 犬； 犬齿
adj. 犬的；犬齿的；犬科的；似犬的"
acumen,n. 聪明，敏锐
stately,adj. 庄严的；堂皇的，宏伟的
wane,"n. 衰退；月亏；衰退期；缺损
vi. 衰落；变小；亏缺；退潮；消逝"
comptroller,n. 审计官；监查官
crony,n. 密友；好朋友
abet,vt. 煽动，教唆；支持
curator,n. 馆长；监护人；管理者
admonish,vt. 告诫；劝告
cleric,"n. 牧师；传教士
adj. 牧师的，教士的"
bask,"vt. 使…晒太阳；使暖和而舒适
vi. 晒太阳；取暖；愉快或舒适"
brazen,"adj. 厚颜无耻的；无所顾忌的；黄铜制的
vt. 使变得无耻；厚脸皮地做"
beguile,vt. 欺骗；使着迷；轻松地消磨
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
evangelist,n. 福音传道者；圣经新约福音书的作者
foreman,n. 领班；陪审团主席
blurt,vt. 未加思索地冲口说出；突然说出
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
defection,n. 背叛；缺点；变节；脱党
chasten,vt. 惩罚；磨炼；抑制
chide,"vt. 责骂；斥责
vi. 斥责；责骂"
upbringing,n. 教养；养育；抚育
corroborate,vt. 证实；使坚固
expatriate,"n. 被流放者；移居国外者
adj. 移居国外的；被流放的
vt. 使移居国外；流放，放逐；使放弃国籍
vi. 移居国外；放弃原国籍"
espionage,n. 间谍；间谍活动；刺探
combo,n. 联合体；结合物；小型爵士乐团
demur,"n. 异议；反对
vi. 反对；抗辩；提出异议"
deride,vt. 嘲笑；嘲弄
overture,"n. 前奏曲；提案；序幕
vt. 提议；为……奏前奏曲"
rapprochement,n. 友好；恢复邦交；友善关系的建立
ludicrous,adj. 滑稽的；荒唐的
connoisseur,n. 鉴赏家；内行
disparage,vt. 蔑视；毁谤
cooper,"n. 制桶工人；修桶匠
vi. 箍桶；修桶
vt. 箍桶；制桶"
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
gall,"n. 胆汁；五倍子；怨恨；苦味
vt. 烦恼；屈辱；磨伤
vi. 被磨伤"
extol,vt. 颂扬；赞美；赞颂
precinct,n. 选区；管理区；管辖区
philanthropy,n. 博爱，慈善；慈善事业
maverick,"n. 没打烙印的动物；持不同意见的人
vt. 用不正当手段获取
vi. 迷途；背离
adj. 未打烙印的；行为不合常规的；特立独行的"
fawn,"vi. 奉承
n. 小鹿；浅黄褐色；小动物
adj. 浅黄褐色的
vt. 生（小鹿或小动物）"
caste,n. （印度社会中的）种姓；（具有严格等级差别的）社会地位；（排他的）社会团体
choreographer,n. 编舞者，舞蹈指导
grouse,"n. 松鸡；雷鸟科的猎鸟；怨言
vi. 埋怨"
wayward,adj. 任性的；不规则的；刚愎的
scathing,"adj. 严厉的；损伤的
v. 损伤；伤害（scathe的ing形式）"
surcharge,"n. 超载；额外费
vt. 追加罚款；使…装载过多；使…负担过重"
grunt,"n. 咕哝；呼噜声
vt. 咕哝着说
vi. 作呼噜声；发哼声"
insinuate,"vt. 暗示；使逐渐而巧妙地取得；使迂回地潜入
vi. 暗讽；说含沙射影的话"
smug,"n. 书呆子；自命不凡的家伙
adj. 自鸣得意的；自以为是的；整洁的"
instill,vt. 徐徐滴入；逐渐灌输
austerity,n. 紧缩；朴素；苦行；严厉
civility,n. 礼貌；礼仪；端庄
laud,"vt. 赞美；称赞
n. 赞美；称赞；颂歌"
laureate,"adj. 戴桂冠的；荣誉的
n. 桂冠诗人；得奖者
vt. 使戴桂冠"
malign,"vt. 诽谤，污蔑；中伤，说坏话
adj. 恶意的，恶性的；有害的"
innocuous,adj. 无害的；无伤大雅的
communiqué,
nag,"n. 唠叨；老马；竞赛马
vt. 使烦恼；不断地唠叨
vi. 不断地唠叨"
jumble,"n. 混乱；杂乱的一堆东西
vi. 混杂；搀杂
vt. 使混乱；搞乱"
proffer,"n. 提供；提出；提议
vt. 提供；提出；奉献"
rationale,n. 基本原理；原理的阐述
contraceptive,"n. 避孕用具； 避孕剂
adj. 避孕的"
quip,"n. 妙语；嘲弄；讽刺语
vi. 嘲弄；讥讽
vt. 嘲弄"
rant,"n. 咆哮；激昂的演说
vt. 咆哮；痛骂
vi. 咆哮；痛骂；大声责骂"
defamation,n. 诽谤；中伤
reprimand,"n. 谴责；训斥；申诉
vt. 谴责；训斥；责难"
devious,adj. 偏僻的；弯曲的；不光明正大的
revile,"vt. 辱骂；斥责
vi. 辱骂；谩骂"
audacity,n. 大胆；厚颜无耻
slur,"n. 污点；诽谤；连音符
vi. 含糊地发音；潦草地写字；拖着脚走
vt. 忽视；草率地看过；含糊地念；诋毁"
overdose,"vt. 配药过量；使过分沉溺
n. 药量过多（等于overdosage）
vi. 服药过量；过分沉溺"
plagiarism,n. 剽窃；剽窃物
sputter,"n. 劈啪声；喷溅声；急切的言语
vt. 气急败坏地说；飞溅出；喷出
vi. 发劈啪声；唾沫飞溅；结结巴巴地讲"
squabble,"n. 争吵；口角
vt. 弄乱（排好的铅字）
vi. 发生口角；大声争吵"
dementia,n.  痴呆
goody,"n. 糖果；身份低微之老妇；吸引人的东西；伪君子
adj. 感伤的；伪善的；假正经的
int. 太好啦"
squeal,"n. 尖叫声
vt. 告密；长声尖叫
vi. 告密；尖声地说"
elf,
cynic,"adj. 犬儒学派的
n. 愤世嫉俗者；犬儒学派的人"
taunt,"n. 嘲弄；讥讽
adj. 很高的
vt. 奚落；逗弄"
crap,"n. 废话；废物；屎；拉屎
vi. 掷骰子；拉屎"
tout,"vt. 兜售；招徕；刺探赛马情报
vi. 兜售；招徕顾客；拉选票
n. 侦查者；兜售者"
sedative,"n.  镇静剂；能使安静的东西；止痛药
adj. 使镇静的；使安静的"
respiratory,adj. 呼吸的
at first,"na. 首先
 起先；最初；起初"
covert,"n. 隐藏处；树丛；蔽覆羽翮基部的羽毛
adj. 隐蔽的；隐密的；偷偷摸摸的；在丈夫保护下的"
penchant,n. 嗜好；倾向
unearth,vt. 发掘；揭露，发现；从洞中赶出
recalcitrant,"n. 顽抗者；不服从的人
adj. 反抗的；反对的；顽强的"
bombard,"n. 射石炮
vt. 轰炸；炮击"
squadron,"n. 空军中队；一群；骑兵中队；分遣队；小舰队
vt. 把…编成中队"
rowdy,"n. 粗暴的人；好吵闹的人
adj. 吵闹的；粗暴的"
brandish,"n. 挥舞
vt. 挥舞；炫耀"
sickle,n. 镰刀
withdrawn,"v. 取出；撤退（withdraw的过去分词）
adj. 偏僻的；沉默寡言的；孤独的"
goldsmith,n. 金匠
burnish,"n. 光泽；抛光；闪闪发光
vt. 擦亮；使…光亮；将…打磨光亮
vi. 磨光发亮"
rodent,"n.  啮齿动物
adj. 啮齿类的；咬的，嚼的；侵蚀性的"
burrow,"n. （兔、狐等的）洞穴，地道；藏身处，住处
vt. 挖掘，挖出；在…挖洞（或通道）；使躲入洞穴
vi. 探索，寻找；挖地洞，挖通道；住入地洞，躲藏起来；钻进某处；偎依著"
magnolia,"n.  木兰；玉兰类的植物
adj. 木兰科的"
conjure,"vt. 念咒召唤；用魔法驱赶；提出，想象；恳求
vi. 施魔法；变魔术"
jay,n. 鸟；松鸡；喋喋不休的人
stein,n. （容量约为一品脱的）啤酒杯
crumple,"n. 皱纹；褶皱
vi. 起皱；倒坍；一蹶不振
vt. 弄皱；使一蹶不振"
lingerie,n. 女用贴身内衣裤
drape,"n. 窗帘；褶裥
vt. 用布帘覆盖；使呈褶裥状
vi. 成褶皱状垂下"
commando,n. 突击队，突击队员
anthem,"n. 赞美诗；圣歌
vt. 唱圣歌庆祝；唱赞歌"
the national anthem, 国歌；集-国歌；英国国歌
dredge,"n. 挖泥船，疏浚机；拖捞网
vt. （用挖泥船等）疏浚；（用拖捞网等）捞取；（在食物上）撒（面粉等）
vi. 疏浚，挖掘；采捞"
carcass,n. （人或动物的）尸体；残骸；（除脏去头备食用的）畜体
pneumonia,n. 肺炎
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
suffer from ...,
tenor,"n. 男高音；要旨，大意；票据的限期；稳定的进程
adj. 男高音的"
fiddle,"n. 小提琴
vt. 虚度时光；拉小提琴
vi. 瞎搞；拉小提琴"
fondle,"vt. 爱抚；抚弄
vi. 爱抚；调戏"
irate,adj. 生气的；发怒的
rebuff,"n. 断然拒绝；回绝；漠不关心
vt. 断然拒绝"
