solve,"vt. 解决；解答；溶解
vi. 作解答"
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
horn,"n. 喇叭，号角；角
vt. 装角于"
hypocrisy,n. 虚伪；伪善
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
sly,adj. 狡猾的；淘气的；诡密的
locality,n. 所在；位置；地点
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
stool,"n. 凳子；粪便；厕所
vt. 引诱，诱捕
vi. 长新枝；分檗"
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
hospitality,n. 好客；殷勤
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
abnormal,adj. 反常的，不规则的；变态的
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
linear,adj. 线的，线型的；直线的，线状的；长度的
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
successor,n. 继承者；后续的事物
contaminate,vt. 污染，弄脏
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
poultry,"n. 家禽
家禽肉"
robust,adj. 强健的；健康的；粗野的；粗鲁的
spectrum,n. 光谱；频谱；范围；余象
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
