criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
presence,n. 存在；出席；参加；风度；仪态
campus,n. （大学）校园；大学，大学生活；校园内的草地
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
adapt,"vi. 适应
vt. 使适应；改编"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
celebration,n. 庆典，庆祝会；庆祝；颂扬
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
ancestor,n. 始祖，祖先；被继承人
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
religion,n. 宗教；宗教信仰
radically,adv. 根本上；彻底地；以激进的方式
linguistic,adj. 语言的；语言学的
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
tradition,n. 惯例，传统；传说
atmosphere,n. 气氛；大气；空气
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
retain,vt. 保持；雇；记住
gateway,n. 门；网关；方法；通道；途径
network,n. 网络；广播网；网状物
dynasty,n. 王朝，朝代
reunion,n. 重聚；（班级或学校的）同学会，同窗会
advent,n. 到来；出现；基督降临；基督降临节
region,n. 地区；范围；部位
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
moreover,adv. 而且；此外
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
civilization,n. 文明；文化
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
tribe,n. 部落；族；宗族；一伙
indication,n. 指示，指出；迹象；象征
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
rhythm,n. 节奏；韵律
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
unusual,adj. 不寻常的；与众不同的；不平常的
stillness,n. 静止；沉静
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
immensity,n. 巨大；无限；广大
horizon,n.  地平线；视野；眼界；范围
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
commanding,"v. 指挥；统帅；负责（command的ing形式）
adj. 指挥的；居高临下的；威风凛凛的"
bestow,vt. 使用；授予；放置；留宿
abundant,adj. 丰富的；充裕的；盛产
inspiration,n. 灵感；鼓舞；吸气；妙计
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
concept,n. 观念，概念
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
regardlessly,"adv. 不受注意地, 毫无价值地"
embody,vt. 体现，使具体化；具体表达
inevitably,adv. 不可避免地；必然地
origin,n. 起源；原点；出身；开端
grief,n. 悲痛；忧伤；不幸
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
modernization,n. 现代化
ecology,n. 生态学；社会生态学
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
arrangement,n. 布置；整理；准备
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
wretchedness,n. 可怜；悲惨；不幸
sufficient,adj. 足够的；充分的
prosperous,adj. 繁荣的；兴旺的
planet,n. 行星
comparison,n. 比较；对照；比喻；比较关系
between,"prep. 在…之间
adv. 在中间"
adjoining,"adj. 邻接的；毗连的
v. 邻接（adjoin的ing形式）"
instructive,adj. 有益的；教育性的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
genetics,n. 遗传学
ethics,n. 伦理学；伦理观；道德标准
extension,n. 延长；延期；扩大；伸展；电话分机
violent,adj. 暴力的；猛烈的
debauchery,n. 放荡；纵情酒色；堕落
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
version,n. 版本；译文；倒转术
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
be aware of,"na. 知道
 意识到；觉察；了解"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
self-consciousness,n. 自觉意识
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
platform,n. 平台；月台，站台；坛；讲台
logical,adj. 合逻辑的，合理的；逻辑学的
conclusion,n. 结论；结局；推论
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
subsidy,n. 补贴；津贴；补助金
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
linguistically,adv. 语言的；语言学方面
notion,n. 概念；见解；打算
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
cohere,vi. 凝聚；连贯；粘着；一致
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
assess,vt. 评定；估价；对…征税
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
transgressor,n. 违背者；犯规者；罪人
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
dilemma,n. 困境；进退两难；两刀论法
enforce,vt. 实施，执行；强迫，强制
turn a blind eye,"un. 掌上明珠；轮流；睁一只眼；不闻不问
 熟视无睹；视而不见；故意视而不见"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
royalty,n. 皇室；版税；王权；专利税
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
organ,n.  器官；机构；风琴；管风琴；嗓音
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
correspond,vi. 符合，一致；相应；通信
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
rapidly,adv. 迅速地；很快地；立即
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
abdomen,n. 腹部；下腹；腹腔
distend,"vt. 使…膨胀；使…扩张
vi. 扩张；膨胀"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
precisely,adv. 精确地；恰恰
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
validate,vt. 证实，验证；确认；使生效
verify,vt. 核实；查证
strength,n. 力量；力气；兵力；长处
novel,"adj. 新奇的；异常的
n. 小说"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
framework,n. 框架，骨架；结构，构架
negotiation,n. 谈判；转让；顺利的通过
settlement,n. 解决，处理； 结算；沉降；殖民
status,n. 地位；状态；情形；重要身份
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
coalition,n. 联合；结合，合并
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
moisturizer,n. 润肤膏
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
infect,vt. 感染，传染
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
allegedly,adv. 依其申述；据说，据称
retiree,n. （美）退休人员；歇业者
entitle,vt. 称做…；定名为…；给…称号；使…有权利
hostility,n. 敌意；战争行动
proposal,n. 提议，建议；求婚
toxic,adj. 有毒的；中毒的
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
diplomatic,adj. 外交的；外交上的；老练的
ultimatum,n. 最后通牒；最后结论；基本原理
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
targeted,"v. 把…作为目标（target的过去分词）
adj. 定向的；被定为攻击目标的"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
operation,n. 操作；经营； 手术； 运算
versatile,adj. 多才多艺的；通用的，万能的；多面手的
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
accommodation,n. 住处，膳宿；调节；和解；预订铺位
liberate,vt. 解放；放出；释放
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
instance,"n. 实例；情况；建议
vt. 举...为例"
infer,"vi. 推断；作出推论
vt. 推断；推论"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
mythologist,n. 神话学者；神话作者
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
triumphant,adj. 成功的；得意洋洋的；狂欢的
upbeat,"n. 兴旺；上升；弱拍
adj. 乐观的；上升的"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
scattered,adj. 分散的；散乱的
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
temperature,n. 温度；体温；气温；发烧
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
property,n. 性质，性能；财产；所有权
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
kingdom,n. 王国；界；领域
notoriously,adv. 众所周知地；声名狼藉地；恶名昭彰地
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
congress,n. 国会；代表大会；会议；社交
spook,"n. 鬼；幽灵
vt. 惊吓；鬼怪般地出没
vi. 受惊"
constrained,"v. 驱使；强迫；勉强（constrain的过去分词）
adj. 拘泥的；被强迫的；不舒服的"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
department,n. 部；部门；系；科；局
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
heritage,n. 遗产；传统；继承物；继承权
tenure,"n. 任期；占有
vt. 授予…终身职位"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
controversial,adj. 有争议的；有争论的
departure,n. 离开；出发；违背
curator,n. 馆长；监护人；管理者
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
