looter,n. 抢劫者
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
messaging,"n. 消息传送；通知；信息传送
v. 发送；报信（message的ing形式）"
spear,"n. 矛，枪
vt. 用矛刺"
look-alike,"n. 外形酷似之人
adj. 极为相像的"
yoke,"n. 轭；束缚；牛轭
vt. 结合；给…上轭
vi. 结合；匹配"
scrambled,"n. 密码形式；扰频
v. 争夺；攀登；搅拌（scramble的过去分词）"
fostering,v. 养育（foster的现在分词）；哺育
troll,"n. 轮唱；钓鱼；北欧神话中的巨人
vt. 轮唱，使转动；放声高唱；拖饵钓鱼
vi. 参加轮唱；宏亮地唱；拖饵钓鱼"
molding,n. 模塑；铸造；装饰用的嵌线
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
leaguer,"n. 围攻；盟员
vt. 围攻"
cardigan,n. 羊毛衫，开襟羊毛衫（等于cardigan sweater）
rescind,vi. 解除；废除；撤回
tanned,"adj. 被晒成棕褐色的；深褐色的；已鞣制的
v. 晒黑（tan的过去分词）"
gruff,"adj. 粗暴的；粗哑的；脾气坏的
vt. 粗鲁地说；生硬地说
vi. 粗鲁地说；生硬地说话
n. 格拉夫（英国珠宝品牌）"
unintentionally,adv. 无意地；非故意地；非存心地
tainted,adj. 污染的；感染的
sweatshop,n. 血汗工厂；剥削劳力的工厂
slog,"n. 苦干；跋涉
vi. 猛击；顽强行进
vt. 猛击；步履艰难地行"
moot,"adj. 无实际意义的；未决议的
vt. 提出…供讨论
n. 大会；辩论会；假设案件"
expiration,n. 呼气；终结；届期
corrosive,"n. 腐蚀物
adj. 腐蚀的；侵蚀性的"
silverware,n. 银器；镀银餐具
expletive,"n. 填补物；咒骂语
adj. 附加的；填补的"
lettering,"n. 刻字；印字；书写的文字
v. 用字母写；用印刷体写（letter的ing形式）"
judgmental,adj. 审判的
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
mythological,adj. 神话的；神话学的；虚构的
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
allegorical,adj. 讽喻的；寓言的，寓意的
wholeness,n. 完整；完全；全体
exiled,"v. 放逐（exile的过去分词）
adj. 流亡的；放逐的"
bereft,"adj. 丧失的；被剥夺的；失去亲人的
v. 失去…的（bereave的过去式）"
self-respect,n. 自重，自尊
imprint,"n. 印记；痕迹；特征；版本说明
vt. 加特征；刻上记号"
tax-exempt,"n. 免收利息所得税的债券
adj. 免税的"
multiracial,adj. 多民族的
indeterminate,adj. 不确定的；模糊的；含混的
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
cross-examination,n. 盘问；交互讯问
tracker,n. 拉纤者，纤夫；追踪系统， 跟踪装置；追踪者
bequeath,vt. 遗赠；把…遗赠给；把…传下去
long-awaited,adj. 被期待已久的
parasitic,adj. 寄生的（等于parasitical）
vintage,"n. 葡萄收获期；葡萄酒酿造期
adj. 古老的；最佳的；过时的
vt. 采葡萄；用葡萄酿酒
vi. 采葡萄"
taxing,"v. 征税（tax的ing形式）
adj. 费力的；繁重的"
baroque,"n. 巴洛克风格；巴洛克艺术
adj. 巴洛克式的；结构复杂的，形式怪样的"
disingenuous,adj. 虚伪的；不诚实的；不老实的；狡猾的
shrivel,"vt. 使枯萎；使皱缩；使束手无策
vi. 枯萎；皱缩"
motley,"adj. 杂色的；混杂的；五颜六色的
n. 混杂；杂色衣服；小丑"
shameless,adj. 无耻的；不要脸的；伤风败俗的
leaving,"n. 离开；残余；渣滓
v. 离开；留下；舍弃（leave的ing形式）"
forestall,vt. 先发制人，预先阻止；垄断，屯积；领先；占先一步
resettlement,n. 重新安置
laity,n. 俗人；外行人；门外汉
backup,"n. 支持；后援；阻塞
adj. 支持的；候补的
vt. 做备份"
trembling,"adj. 发抖的；战栗的；哆嗦的
n. 发抖；战栗；担心
v. 颤抖（tremble的ing形式）；战悚"
womanhood,n. 女人；女人气质；女子成年期
filtration,n. 过滤；筛选
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
elaborately,adv. 精巧地；苦心经营地
tasting,"n. 品尝，尝味
v. 品尝（taste的ing形式）"
convection,n.  对流；传送
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
three-fourths,四分之三
teasing,n. 戏弄
retailing,"n. 零售业
v. 零售（retail的ing形式）"
midpoint,n. 中点；正中央
touchy,adj. 过敏的；易生气的；难以取悦的
eroding,"v. 侵蚀；磨损（erode的ing形式）
adj. 侵蚀的"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
illusory,adj. 错觉的；幻影的；虚假的；产生幻觉的
hydroelectric,adj. 水力发电的；水电治疗的
Chechen,n. 车臣
heretofore,adv. 直到此时，迄今为止；在这以前
sojourn,"n. 逗留；旅居
vi. 逗留；旅居"
inappropriately,adv. 不适当地
sordid,adj. 肮脏的；卑鄙的；利欲熏心的；色彩暗淡的
ventilator,n. 通风设备；换气扇；呼吸机
colorless,adj. 无色的；苍白的；无趣味的
harbinger,"n. 先驱；前兆；预告者
vt. 预告；充做…的前驱"
vagaries,n. 异常行为（vagary的复数形式）；奇特
bondage,n. 奴役，束缚；奴役身份
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
kimono,n. 和服
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
unmistakably,adv. 明白地
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
superfluous,adj. 多余的；不必要的；奢侈的
congenial,adj. 意气相投的；性格相似的；适意的；一致的
graphically,adv. 生动地；活灵活现地；用图表表示；轮廓分明地
itinerant,"n. 巡回者；行商
adj. 巡回的；流动的"
astrophysicist,n. 天体物理学家
eviction,n. 逐出；赶出；收回
banjo,n. 班卓琴；五弦琴
fanatical,adj. 狂热的
noisily,adv. 吵闹地，喧闹地
asymmetrical,adj.  非对称的（等于asymmetric）；不均匀的；不匀称的
papaya,n. 木瓜； 番木瓜树
starkly,adv. 严酷地；明显地；毫无掩饰地
motherfucker,混账东西
nutshell,"n. 坚果的外壳；小的东西，小容器
vt. 概括"
slaughterhouse,n. 屠宰场（等于abattoir）；屠杀场
enterprising,adj. 有事业心的；有进取心的；有魄力的；有胆量的
starlight,"n. 星光
adj. 有星光的；星光照耀的"
banal,adj. 陈腐的；平庸的；老一套的
affable,adj. 和蔼可亲的；友善的
derby,n. 德比（英国中部的都市）；德比赛马；大赛马
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
undercurrent,n. 暗流；潜流
catwalk,n. 猫步；狭小通道；桥上人行道
largemouth,n. 黑鲈
doomed,"adj. 注定的；命定的
v. 注定；宣判（doom的过去分词）"
agreed,"v. 同意；赞成（agree的过去式）
adj. 同意的；通过协议的"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
arbitrator,n. 公断人，仲裁人
monastic,"adj. 修道院的；僧尼的；庙宇的
n. 僧侣；修道士"
normalization,n. 正常化；标准化；正规化；常态化
purportedly,adv. 据称，据称地
hitting,n. 击中；压缩；拉伸
unwieldy,adj. 笨拙的；笨重的；不灵便的；难处理的
brine,"n. 卤水；盐水；海水
vt. 用浓盐水处理（或浸泡）"
uneasiness,n. 不安；担忧；局促
meringue,n. 调合蛋白（蛋白拌糖打硬后置于饼或蛋糕上）
barbershop,"n. 理发店
adj. 有男声合唱之和声的"
jaded,"adj. 厌倦的；疲倦不堪的
v. 厌倦（jade的过去分词）；变得疲倦；精疲力竭"
vindication,n. 辩护；证明无罪
self-consciously,adv. 自觉地；不自然地
lazily,adv. 懒洋洋地；怠惰地，懒散地
Salvadoran,"n. 萨尔瓦多人
adj. 萨尔瓦多的；萨尔瓦多人的"
lull,"vt. 使平静；使安静；哄骗
vi. 平息；减弱；停止
n. 间歇；暂停；暂时平静"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
tryout,n. 试验；选拔赛；预赛
at-large,详尽的；未被捕的，整个的
outstrip,vt. 超过；胜过；比…跑得快
reposition,"n. 复位；贮藏；放回
vt. 使复位；改变…的位置；使变换阵地"
indignity,n. 侮辱；轻蔑；有伤尊严；无礼举动
trapped,"adj. 捕获的；陷入困境的；收集的；受到限制的
vt. 诱捕（trap的过去分词）"
eminently,adv. 突出地；显著地
sweetener,n. 甜料；好处；脱硫设备
contending,"adj. 争先的
v. 奋斗（contend的ing形式）"
gymnast,n. 体操运动员
adoration,n. 崇拜；爱慕
uncharted,adj. 未知的；图上未标明的
falsify,"vt. 伪造；篡改；歪曲；证明...虚假
vi. 撒谎"
ministerial,adj. 部长的；内阁的；公使的；牧师的
combative,adj. 好战的；好事的
worshiper,n. 崇拜者；礼拜者（等于worshipper）
affront,"n. 轻蔑；公开侮辱
vt. 冒犯，有意冒犯；面对；公开侮辱"
encroachment,n. 侵入，侵犯；侵蚀
mutt,n. 杂种狗；笨蛋
principled,adj. 有原则的；有操守的
magnate,n. 巨头；大资本家；要人；富豪；……大王
stigmatize,vt. 诬蔑；玷污；给…打上烙印
fullback,n. 后卫
okra,n. 秋葵荚，秋葵
corduroy,"n.  灯芯绒，楞条花布；灯芯绒裤子；用灯芯绒布制的衣服
adj. 灯芯绒做的；泥地上用木头铺排成的"
misrepresent,"vt. 歪曲，误传；不合适地代表
vi. 虚伪陈述；歪曲报道"
two-part,n. 三分之二
antagonistic,adj. 敌对的；对抗性的；反对的
authorship,n. （书等的）原创作者，来源；作者的身份；著述业
cheeseburger,n. 牛肉饼；干酪汉堡包；杀伤炸弹
blue-green,n. 蓝绿色
curbside,n. 路边；靠近路缘的人行道部分
kiln,"vt. 烧窑；在干燥炉干燥
n. （砖，石灰等的）窑；炉；干燥炉"
dissimilar,adj. 不同的
abatement,n. 减少；消除；减轻
Mexican-American, 墨西哥裔美国人；墨美
deluge,"n. 洪水；泛滥；暴雨
vt. 使泛滥；压倒"
how-to,adj. 指引的；解释作法的
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
heartache,n. 心痛；悲叹
airspace,n. 空域；领空；空间
hated,"vt. 憎恨；厌恶；遗憾
vi. 仇恨
n. 憎恨；反感"
manicure,"vt. 修剪，美甲
n. 修指甲，美甲"
raven,"n. 掠夺，劫掠；大乌鸦
adj. 乌黑的
vt. 掠夺；狼吞虎咽
vi. 掠夺；狼吞虎咽"
storybook,n. 故事书；小说
cleanly,"adj. 干净的；爱清洁的
adv. 干净地；清洁地"
rabid,adj. 激烈的；狂暴的；偏激的；患狂犬病的
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
indecent,adj. 下流的；不礼貌的；不得体的
deconstruction,n. 解构；拆析
dandelion,n. 蒲公英
shuttered,"adj. 有百叶窗的
v. 以百叶窗遮闭（shutter的过去式和过去分词）"
settled,"v. 解决；定居（settle的过去分词）
adj. 稳定的；固定的"
buttress,"n. 扶壁；拱壁；支撑物
vt. 支持；以扶壁支撑"
cacophony,n. 刺耳的音调；不和谐音
ground-based,adj. 陆基的；以地面为基础的
long-running,adj. 长期上演的；连续上演很长时间的
detest,vt. 厌恶；憎恨
wager,"n. 赌注；赌博；赌物
vi. 打赌
vt. 下赌注"
woolly,"adj. 羊毛的；模糊的；似羊毛的
n. 羊；毛织衣服"
fervently,adv. 热心地；热诚地
roost,"n. 栖木；鸟窝；群栖的禽鸟
vi. 栖息；安歇
vt. 使…栖息；为…提供歇息处"
subversion,n. 颠覆；破坏
virtuoso,"n. 艺术品鉴赏家；古董收藏家；艺术大师
adj. 行家里手的；艺术爱好者的"
mutate,"vi. 变化，产生突变
vt. 改变，使突变"
all-night,adj. 通宵的；通宵营业的
burdensome,adj. 繁重的；累赘的；恼人的
sauna,"n. 桑拿浴
vi. 洗桑拿浴"
unattended,adj. 无侍从的；没人照顾的，未被注意的；（会议等）无人出席的；（疾病）未治疗的；无伴的
lightness,n. 轻盈；轻松；明亮；（颜色）浅淡
invading,"侵入
入侵"
spotless,adj. 无可挑剔的；无瑕疵的；纯洁的
rousing,"adj. 活泼的；使奋起的；使感动的
v. 唤醒；激怒；唤起（rouse的ing形式）"
upsetting,"n. 缩锻，镦锻；倾复，倒转
adj. 令人心烦意乱的，令人苦恼的"
tote,"n. 手提；负担；总数；装载；拖
vt. 手提；携带；背负；合计"
dialog,n. 对话；会话
incessantly,adv. 不停地，不间断地
diagonally,adv. 对角地；斜对地
gelatin,n. 明胶；动物胶；胶制品
urinary,"adj. 尿的；泌尿的
n. 尿壶；小便池（等于urinal）"
duality,n. 二元性； 二象性
wandering,"n. 闲逛；离题；神志恍惚
v. 漫游；闲逛（wander的ing形式）
adj. 流浪的；漫游的，徘徊的；蜿蜒的"
bash,"n. 猛烈的一击，痛击
vt. 猛击，痛击；怒殴"
schoolyard,n. 校园；运动场
interfaith,adj. 不同宗教信仰者的；多种信仰的
student-athlete,n. 学生运动员
earshot,n. 听力所及之范围
weariness,n. 疲倦，疲劳；厌倦
high-resolution,n. 高分辨率
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
citywide,adj. 全市的，全市性的
stoic,
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
redden,"vt. 使变红
vi. 变红；脸红"
Darwinian,"n. 进化论者；达尔文主义者
adj. 达尔文的；达尔文学说的"
indiscriminate,adj. 任意的；无差别的；不分皂白的
co-chair,n. 共同主席；联合组长
rapture,"n. 兴高采烈
vt. 使…狂喜"
granulate,"vt. 使成粒状；使表面变粗糙
vi. 成为粒状；表面变粗糙"
ordered,"adj.  有序的；整齐的；安排好的
v. 命令；点餐（order的过去式和过去分词）"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
squawk,"n. 抗议；叫声；诉苦；故障
vt. 粗声叫出；诉苦
vi. 抗议；发出响而粗的叫声；大声抱怨"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
goldfish,n. 金鱼
brook,"n. 小溪；小河
vt. 忍受；容忍"
experimentally,adv. 实验上；用实验方法；实验式地
squeak,"n. 吱吱声；机会
vi. 告密；吱吱叫；侥幸成功
vt. 以短促尖声发出"
audacious,adj. 无畏的；鲁莽的
exasperated,"v. 使恼怒；激怒；恶化（exasperate的过去式）
adj. 激怒的；恼火的"
skiff,n. 小艇；小型帆船；轻舟
trying,"v. 尝试（try的ing形式）；试验
adj. 难受的；难堪的；费劲的；令人厌烦的"
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
crewman,n. 机组成员
belatedly,adv. 延迟地；延续地
respirator,n. 口罩； 呼吸器；防毒面具
flounder,"n. 挣扎，辗转；比目鱼
vi. 挣扎，折腾；错乱地做事或说话"
geothermal,adj.  地热的； 地温的
aggravated,"v. 加重；恶化（aggravate的过去分词）；刺激
adj. 加重的；恶化的"
galvanized,"adj. 镀锌的，电镀的
v. 电镀；刺激（galvanize的过去式和过去分词形式）"
abrasive,"adj. 粗糙的；有研磨作用的；伤人感情的
n. 研磨料"
high-stakes,adj. 高风险
interlude,"n. 插曲；穿插；幕间节目； 插算
vt. 使中断
vi. 插入"
despicable,adj. 卑劣的；可鄙的
sprinter,n. 短跑选手
preventable,adj. 可预防的；可阻止的；可防止的
barometer,n.  气压计；晴雨表；显示变化的事物
chum,"n. 室友；密友
vi. 结为密友"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
canola,n. 一种菜籽油
dietitian,n. （美）营养学家；饮食学家
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
inflection,n. 弯曲，变形；音调变化
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
maneuvering,"v.  机动；操纵；演习（maneuver的ing形式）
n.  机动"
