the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
village,n. 村庄；村民；（动物的）群落
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
adapt,"vi. 适应
vt. 使适应；改编"
neighbourhood,n. 邻近；周围；邻居关系；附近一带
difficulty,n. 困难，困境
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
language,n. 语言；语言文字；表达能力
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
loss,n. 减少；亏损；失败；遗失
sale,n. 销售；出售；拍卖；销售额；廉价出售
various,adj. 各种各样的；多方面的
motivation,n. 动机；积极性；推动
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
organization,n. 组织；机构；体制；团体
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
bee,n. 蜜蜂，蜂；勤劳的人
expensive,adj. 昂贵的；花钱的
growth,n. 增长；发展；生长；种植
bit,"n.  比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
adj. 很小的；微不足道的
vt. 咬（bite的过去式和过去分词）
vt. 控制
adv. 有点儿；相当"
decade,n. 十年，十年期；十
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
medal,n. 勋章，奖章；纪念章
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
consumer,n. 消费者；用户，顾客
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
competition,n. 竞争；比赛，竞赛
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
although,conj. 尽管；虽然；但是；然而
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
magazine,n. 杂志；弹药库；胶卷盒
classmate,n. 同班同学
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
request,"n. 请求；需要
vt. 要求，请求"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
unless,"conj. 除非，如果不
prep. 除…之外"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
maybe,"adv. 也许；可能；大概
n. 可能性；不确定性"
window,n. 窗；窗口；窗户
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
community,n. 社区； 群落；共同体；团体
suitable,adj. 适当的；相配的
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
o'clock,abbr. …点钟（等于of the clock）
president,n. 总统；董事长；校长；主席
actor,n. 男演员；行动者；作用物
employee,n. 雇员；从业员工
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
production,n. 成果；产品；生产；作品
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
himself,pron. 他自己；他亲自，他本人
hill,n. 小山；丘陵；斜坡；山冈
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
river,n. 河，江
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
path,n. 道路；小路；轨道
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
birthday,n. 生日，诞辰；诞生的日子
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
user,"n. 用户
n. 使用者"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
disaster,n. 灾难，灾祸；不幸
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
upon,prep. 根据；接近；在…之上
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
possibility,n. 可能性；可能发生的事物
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
movement,n. 运动；活动；运转；乐章
director,n. 主任，主管；导演；人事助理
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
basketball,n. 篮球；篮球运动
turning,"n. 转向；旋转；回转；转弯处
v. 旋转（turn的ing形式）"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
airport,n. 机场；航空站
degree,n. 程度，等级；度；学位；阶层
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
discovery,n. 发现，发觉；被发现的事物
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
huge,adj. 巨大的；庞大的；无限的
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
advice,n. 建议；忠告；劝告；通知
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
responsibility,n. 责任，职责；义务
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
dollar,n. 美元
comfortable,"n. 盖被
adj. 舒适的，舒服的"
importance,n. 价值；重要；重大；傲慢
hardly,adv. 几乎不，简直不；刚刚
song,n. 歌曲；歌唱；诗歌；鸣声
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
kitchen,n. 厨房；炊具；炊事人员
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
strength,n. 力量；力气；兵力；长处
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
status,n. 地位；状态；情形；重要身份
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
speech,n. 演讲；讲话； 语音；演说
human being,"adj. 人的；有人性的；显示人类特点的
n. 人类
 是人；指人类；泛指人"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
exist,vi. 存在；生存；生活；继续存在
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
