identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
quaint,adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
rye,"n. 黑麦；吉卜赛绅士
adj. 用黑麦制成的"
sinuous,adj. 蜿蜒的；弯曲的；迂回的
sterling,"n. 英国货币；标准纯银
adj. 纯正的；英币的；纯银制的"
thud,"n. 砰的一声；重击
vi. 砰的一声掉下；发出砰声
vt. 砰地击中"
wag,"n. 摇摆；爱说笑打趣的人
vt. 摇摆；摇动；饶舌
vi. 摆动；喋喋不休；蹒跚而行"
balk,"n. 障碍；错误
vi. 犹豫；突然止步不前
vt. 阻止；推诿；错过"
caliber,n.  口径；才干；水准（等于calibre）；器量
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
dialectic,"n. 辩证法；逻辑论证
adj. 辩证的；辩证法的；方言的"
dialectics,n. 辩证法; 辩证的( dialectic的名词复数 )
allege,vt. 宣称，断言；提出…作为理由
allegedly,adv. 依其申述；据说，据称
allegory,n. 寓言
legend,n. 传奇；说明；图例；刻印文字
legendary,"adj. 传说的，传奇的
n. 传说集；圣徒传"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
eject,vt. 喷射；驱逐，逐出
inject,vt. 注入；注射
injection,n. 注射；注射剂；充血；射入轨道
interject,vt. 突然插入；插嘴
interjection,n.  感叹词；插入语；突然的发声
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
projection,n. 投射；规划；突出；发射；推测
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
subjection,n. 隶属；服从；征服
subjective,adj. 主观的；个人的；自觉的
subjectivity,n. 主观性，主观
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
abject,adj. 卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的
conjecture,"n. 推测；猜想
vt. 推测
vi. 推测；揣摩"
ejaculate,"n. 一次射出的精液
vt. 突然说出；射出
vi. 射精；射出液体"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
jetty,"n. 码头；防波堤
adj. 乌黑发亮的，煤玉似的
vi. 伸出"
limit,"n. 限制；限度；界线
vt. 限制；限定"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
delimit,vt. 划界；定界限
eliminate,vt. 消除；排除
elimination,n. 消除；淘汰；除去
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
sublime,"n. 崇高；顶点
adj. 庄严的；令人崇敬的；极端的；超群的
vt. 使…纯化；使…升华；使…变高尚
vi. 升华；纯化；变高尚"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
outnumber,vt. 数目超过；比…多
enumerate,vt. 列举；枚举；计算
numeral,"n. 数字
adj. 数字的；表示数字的"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
numerous,adj. 许多的，很多的
innumerable,adj. 无数的，数不清的
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
inordinate,adj. 过度的；无节制的；紊乱的
ordinal,"adj. 顺序的，依次的
n.  序数"
ordinance,n. 条例；法令；圣餐礼
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
subordination,n. 从属；附属；主从关系
ordain,"vt. 任命某人为牧师；授某人以圣职；（上帝、法律等）命令；注定
vi. 颁布命令"
oracle,n. 神谕；预言；神谕处；圣人
orator,n. 演说者；演讲者；雄辩家；原告
ordeal,n. 折磨；严酷的考验；痛苦的经验
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
beset,vt. 困扰；镶嵌；围绕
inset,"n. 插图，插页；插入物
vt. 嵌入；插入"
onset,n. 开始，着手；发作；攻击，进攻
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
setback,n. 挫折；退步；逆流
setter,n.  调节器；作曲者；排字工人；安装员，从事安装的人
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
settlement,n. 解决，处理； 结算；沉降；殖民
unsettle,"vt. 使动摇；使不安定；使心神不宁
vi. 不安；动荡不定"
unsettled,adj. 未决定的；怀疑的；未处理的；不整齐的
settler,n. 移居者；殖民者
sediment,n. 沉积；沉淀物
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
cyclic,adj. 环的；循环的；周期的
cyclical,adj. 周期的，循环的
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
cyclone,n. 旋风； 气旋；飓风
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
encircle,vt. 包围；围绕；环绕
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circulation,n. 流通，传播；循环；发行量
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
short-circuit,"vt. 使短路；缩短；使…不工作；使简短
vi. 发生短路"
circus,n. 马戏；马戏团
circumference,n. 圆周；周长；胸围
circumstance,n. 环境，情况；事件；境遇
circumstantial,adj. 依照情况的；详细的，详尽的；偶然的
circumvent,v. 包围；智取；绕行，规避
legal,adj. 法律的；合法的；法定的；依照法律的
legalize,vt. 使合法化；公认；法律上认为…正当
legacy,n. 遗赠，遗产
allegiance,n. 效忠，忠诚；忠贞
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
legislation,n. 立法；法律
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
legislature,n. 立法机关；立法机构
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
illegitimate,"n. 非嫡出子；庶子
adj. 私生的；非法的；不合理的
vt. 认做私生子；认为违法"
legitimize,vt. 使…合法；立为嫡嗣
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
consecutive,adj. 连贯的；连续不断的
execute,vt. 实行；执行；处死
execution,n. 执行，实行；完成；死刑
executioner,n. 刽子手，死刑执行人
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
persecute,vt. 迫害；困扰；同…捣乱
persecution,n. 迫害；烦扰
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
prosecution,n. 起诉，检举；进行；经营
consequence,n. 结果；重要性；推论
consequent,"n. 结果
adj. 随之发生的；作为结果的"
consequently,adv. 因此；结果；所以
sequel,n. 续集；结局；继续；后果
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
subsequence,n. 后继；随后发生的事情
subsequent,adj. 后来的，随后的
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
suitable,adj. 适当的；相配的
suitability,n. 适合；适当；相配
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
suitor,n. 求婚者；请愿者； 起诉人
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
sue,"vt. 控告；请求
vi. 控告；提出请求"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
dung,"n. 粪
vt. 施粪肥于"
fin,"n. 鳍；鱼翅；鳍状物
vt. 切除鳍；装上翅
vi. 猛挥鳍；潜泳"
giddy,"adj. 头晕的；眼花的；令人眼花缭乱的；轻浮的
vt. 使晕眩；使眼花缭乱
vi. 眼花；眩晕"
hiccup,"n. 打嗝
vi. 打嗝
vt. 呃逆着（或间断地）说出"
jagged,"adj. 锯齿状的；参差不齐的
v. 使成缺口；使成锯齿状（jag的过去式）"
marquee,n. 选取框；大天幕；华盖
opal,n. 猫眼石，蛋白石；乳白玻璃
quail,"n. 鹌鹑
vi. 畏缩，胆怯；感到恐惧"
quail,"n. 鹌鹑
vi. 畏缩，胆怯；感到恐惧"
ruthless,adj. 无情的，残忍的
singe,"n. 烧焦；烤焦
vt. 烧焦；烤焦
vi. 烧焦；烤焦"
stench,"n. 恶臭；臭气
vt. 使…散发恶臭
vi. 发恶臭"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
wafer,"n. 圆片，晶片；薄片，干胶片；薄饼；圣饼
vt. 用干胶片封"
baleful,adj. 恶意的；有害的
calamity,n. 灾难；不幸事件
crouch,"n. 蹲伏
vt. 低头；屈膝
vi. 蹲伏，蜷伏；卑躬屈膝"
dune,n. （由风吹积而成的）沙丘
filial,adj. 孝顺的；子女的，当做子女的
gibbon,n.  长臂猿
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
jade,"n. 翡翠； 碧玉；老马
adj. 玉制的；绿玉色的
vt. 使疲倦
vi. 疲倦"
marijuana,n. 大麻；大麻毒品
ooze,"vt. 渗出；泄漏
vi. 渗出；泄漏
n.  软泥"
quack,"n. 庸医；鸭叫声
adj. 骗人的；冒牌医生的
vi. （鸭子）嘎嘎叫；吹嘘；大声闲聊"
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
simmer,"vt. 炖
vi. 炖；内心充满；即将爆发
n. 炖；即将沸腾的状态；即将发作"
staunch,"adj. 坚定的；忠诚的；坚固的
vt. 止住；止血"
thrush,n. 画眉； 鹅口疮；蹄叉腐疽
vulture,n. 秃鹰，秃鹫；贪婪的人
bale,"n. 包；捆；灾祸；不幸
v. 将 ... 打包"
cajole,vt. 以甜言蜜语哄骗；勾引
crotch,n. （人的）胯部，分叉处；丫叉
dunce,n. 傻瓜；劣学生
ghetto,"n. 犹太人区；贫民区
vt. 使集中居住"
hiatus,n. 裂缝，空隙；脱漏部分
jab,"n. 戳；猛击；注射
vi. 戳；刺；用拳猛击
vt. 戳；猛击；用拨火棒等捅"
margarine,n. 人造黄油；人造奶油
omelet,"n. 煎蛋卷, 煎蛋饼, 炒蛋"
omelette,n. 煎蛋卷
python,n. 巨蟒；大蟒
russet,"n. 赤褐色，黄褐色；冬季粗皮苹果（黄色苹果之一种）
adj. 黄褐色的，赤褐色的"
silo,"n. 筒仓；青贮窖；飞弹发射井
vt. 把…存入青贮窖；把…储存在筒仓内"
stanza,n. 演出期；局；场；诗的一节
throttle,"n. 节流阀； 风门；喉咙
vt. 压制，扼杀；使……窒息；使……节流
vi. 节流，减速；窒息"
voucher,"n. 收据；证人；保证人；证明者；代金
vt. 证实...的可靠性"
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
cadre,n. 干部；基础结构；骨骼
croak,"n. 呱呱叫声；低沉沙哑的说话声
vt. 用嘶哑的声音说；死亡
vi. 呱呱地叫；发牢骚；死"
dumbfound,vt. 使惊呆；使人惊愕失声
fig,"n. 无花果；无花果树；少许，一些；无价值的东西；服装
vt. 打扮；使马跑快"
gerund,n. 动名词
hew,"vt. 砍；劈；砍倒
vi. 砍；劈；坚持"
iterate,vt. 迭代；重复；反复说；重做
mare,n. 母马；母驴；月球表面阴暗部
omega,"n. 最后；终了；希腊字母的最后一个字Ω
n. 欧米茄（品牌名称）"
pun,"n. 双关语；俏皮话
vt. 捣实敲打
vi. 说双关语；说俏皮话"
rummage,"n. 翻找；检查；查出的物件；零星杂物
vt. 检查；搜出；仔细搜查；翻找出
vi. 翻找；仔细搜查"
silica,n. 二氧化硅； 硅土
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
throb,"n. 悸动；脉搏
vi. 悸动；抽动；颤动；跳动着作痛；充满活力"
vomit,"n. 呕吐；呕吐物；催吐剂
vi. 呕吐；吐出
vt. 吐出；使……呕吐"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
cadet,n. 幼子，次子；实习生；候补军官；陆海军官学校的学员
crease,"n. 折痕；折缝
vt. 弄皱；使起折痕
vi. 起皱"
crinkle,"n. 皱纹；波纹；沙沙声
vt. 起皱；使沙沙作响
vi. 起皱；卷曲"
duff,"n. 水果布丁；揉好的面团；笨拙的人
vt. 把…改头换面；虚饰以欺骗人"
fidget,"n. 烦躁；坐立不安；烦躁不安的人
vt. 使不安；使烦乱
vi. 烦躁；坐立不安；玩弄"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
decoration,n. 装饰，装潢；装饰品；奖章
decorative,adj. 装饰性的；装潢用的
decor,n. 装饰，布置
decent,adj. 正派的；得体的；相当好的
decency,n. 正派；体面；庄重；合乎礼仪；礼貌
indecent,adj. 下流的；不礼貌的；不得体的
decorous,adj. 有礼貌的，高雅的；端正的
decorum,n. 礼仪；礼貌；端正；恪守礼仪
adorn,vt. 装饰；使生色
ornate,adj. 华丽的；装饰的；（文体）绚丽的
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
accident,n. 事故；意外； 意外事件；机遇
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
incidentally,adv. 顺便；偶然地；附带地
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
accidentally,adv. 意外地；偶然地
incidence,n. 发生率；影响； 入射；影响范围
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
coincidence,n. 巧合；一致；同时发生
decadent,"adj. 颓废的；衰微的
n. 颓废者"
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
liberation,n. 释放，解放
liberate,vt. 解放；放出；释放
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
liberty,n. 自由；许可；冒失
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
deliverer,n. 拯救者；交付者；投递者
delivery,n.  交付；分娩；递送
deliverance,n. 释放，解救；救助；判决
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
deliberately,adv. 故意地；谨慎地；慎重地
deliberation,n. 审议；考虑；从容；熟思
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
determination,n. 决心；果断；测定
determiner,n.  限定词；决定因素
indeterminate,adj. 不确定的；模糊的；含混的
exterminate,vt. 消灭；根除
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
interminable,adj. 冗长的；无止尽的
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
terminology,n. 术语，术语学；用辞
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
disuse,"n. 不被使用
vt. 停止使用"
